row-number,field,issue-type,value
20,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
20,"GeoX,GeoY",Failed to convert point to decimal %s,"['584,901.90', '263,896.29']"
21,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
21,"GeoX,GeoY",Failed to convert point to decimal %s,"['584,868.86', '265,739.97']"
22,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
22,"GeoX,GeoY",Failed to convert point to decimal %s,"['585,023.00', '265,260.00']"
23,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
23,"GeoX,GeoY",Failed to convert point to decimal %s,"['566,812.69', '245,502.29']"
24,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
24,"GeoX,GeoY",Failed to convert point to decimal %s,"['564,831.83', '263,377.86']"
25,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
25,"GeoX,GeoY",Failed to convert point to decimal %s,"['563,488.48', '263,451.68']"
26,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
26,"GeoX,GeoY",Failed to convert point to decimal %s,"['567,209.25', '245,590.87']"
27,OrganisationURI,opendatacommunities-uri,https://opendatacommunities.org/atlas/resource?uri=http%3a%2f%2fopendatacommunities.org%2fid%2fgeography%2fadministration%2fnmd%2fe07000245&inactive=false
27,"GeoX,GeoY",Failed to convert point to decimal %s,"['567,572.99', '245,751.57']"
