row-number,field,issue-type,value
129,LastUpdatedDate,default,2017-12-15
130,PlanningHistory,uri,http://publicaccess.
130,LastUpdatedDate,default,2017-12-15
131,PlanningHistory,uri,http://publicaccess.
131,LastUpdatedDate,default,2016-06-24
132,PlanningHistory,uri,http://publicaccess.
132,LastUpdatedDate,default,2016-06-24
133,PlanningHistory,uri,http://publicaccess.
133,LastUpdatedDate,default,2017-12-15
134,PlanningHistory,uri,http://publicaccess.
134,LastUpdatedDate,default,2016-06-24
135,LastUpdatedDate,default,2016-06-24
136,PlanningHistory,uri,http://publicaccess.
136,LastUpdatedDate,default,2017-12-15
137,PlanningHistory,uri,http://publicaccess.
137,LastUpdatedDate,default,2016-06-24
138,PlanningHistory,uri,http://publicaccess.
138,LastUpdatedDate,default,2016-06-24
139,PlanningHistory,uri,http://publicaccess.
139,LastUpdatedDate,default,2016-06-24
140,PlanningHistory,uri,http://publicaccess.
140,LastUpdatedDate,default,2017-12-15
141,LastUpdatedDate,default,2017-12-15
142,PlanningHistory,uri,http://publicaccess.
142,LastUpdatedDate,default,2016-06-24
143,PlanningHistory,uri,http://publicaccess.
143,LastUpdatedDate,default,2017-12-15
144,PlanningHistory,uri,http://publicaccess.
144,LastUpdatedDate,default,2016-06-24
145,PlanningHistory,uri,http://publicaccess.
145,LastUpdatedDate,default,2016-06-24
146,LastUpdatedDate,default,2016-06-24
147,LastUpdatedDate,default,2016-06-24
148,PlanningHistory,uri,http://publicaccess.
148,LastUpdatedDate,default,2016-06-24
149,PlanningHistory,uri,http://publicaccess.
149,LastUpdatedDate,default,2017-12-15
150,PlanningHistory,uri,http://publicaccess.
150,LastUpdatedDate,default,2017-12-15
151,PlanningHistory,uri,http://publicaccess.
151,LastUpdatedDate,default,2017-12-15
152,LastUpdatedDate,default,2016-06-24
153,LastUpdatedDate,default,2016-06-24
154,PlanningHistory,uri,http://publicaccess.
154,LastUpdatedDate,default,2016-06-24
155,PlanningHistory,uri,http://publicaccess.
155,LastUpdatedDate,default,2017-12-15
156,PlanningHistory,uri,http://publicaccess.
156,LastUpdatedDate,default,2016-06-24
157,PlanningHistory,uri,http://publicaccess.
157,LastUpdatedDate,default,2016-06-24
158,LastUpdatedDate,default,2016-06-24
159,PlanningHistory,uri,http://publicaccess.
159,LastUpdatedDate,default,2016-06-24
160,PlanningHistory,uri,http://publicaccess.
160,LastUpdatedDate,default,2016-06-24
161,PlanningHistory,uri,http://publicaccess.
161,LastUpdatedDate,default,2017-12-15
162,LastUpdatedDate,default,2016-06-24
163,LastUpdatedDate,default,2017-12-15
164,PlanningHistory,uri,http://publicaccess.
164,LastUpdatedDate,default,2016-06-24
165,LastUpdatedDate,default,2017-12-15
166,LastUpdatedDate,default,2016-06-24
167,LastUpdatedDate,default,2016-06-24
168,PlanningHistory,uri,http://publicaccess.
168,LastUpdatedDate,default,2016-06-24
169,PlanningHistory,uri,http://publicaccess.
169,LastUpdatedDate,default,2016-06-24
170,PlanningHistory,uri,http://publicaccess.
170,LastUpdatedDate,default,2017-12-15
171,PlanningHistory,uri,http://publicaccess.
171,LastUpdatedDate,default,2017-12-15
172,PlanningHistory,uri,http://publicaccess.
172,LastUpdatedDate,default,2017-12-15
173,LastUpdatedDate,default,2016-06-24
174,PlanningHistory,uri,http://publicaccess.
174,LastUpdatedDate,default,2016-06-24
175,LastUpdatedDate,default,2017-12-15
176,PlanningHistory,uri,http://publicaccess.
176,LastUpdatedDate,default,2016-06-24
177,PlanningHistory,uri,http://publicaccess.
177,LastUpdatedDate,default,2016-06-24
178,LastUpdatedDate,default,2017-12-15
179,PlanningHistory,uri,http://publicaccess.
179,LastUpdatedDate,default,2016-06-24
180,LastUpdatedDate,default,2016-06-24
181,PlanningHistory,uri,http://publicaccess.
181,LastUpdatedDate,default,2016-06-24
182,LastUpdatedDate,default,2017-12-15
183,PlanningHistory,uri,http://publicaccess.
183,LastUpdatedDate,default,2016-06-24
184,LastUpdatedDate,default,2017-12-15
185,PlanningHistory,uri,http://publicaccess.
185,LastUpdatedDate,default,2017-12-15
186,PlanningHistory,uri,http://publicaccess.
186,LastUpdatedDate,default,2016-06-24
187,PermissionDate,date,//
187,PlanningHistory,uri,http://publicaccess.
187,LastUpdatedDate,default,2016-06-24
188,PlanningHistory,uri,http://publicaccess.
188,LastUpdatedDate,default,2016-06-24
189,LastUpdatedDate,default,2017-12-15
190,PlanningHistory,uri,http://publicaccess.
190,LastUpdatedDate,default,2017-12-15
191,PlanningHistory,uri,http://publicaccess.
