row-number,field,issue-type,value
47,PlanningHistory,uri,Permission reference 6/2017/0546/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=83973
48,PlanningHistory,uri,Permission reference S6/2014/1403/OP | http://planning.welhat.gov.uk/plandisp.aspx?recno=59518
49,PlanningHistory,uri,Permission reference N6/2015/1131/FP | http://planning.welhat.gov.uk/plandisp.aspx?recno=29578
50,PlanningHistory,uri,Assessed in 2016 HELAA - Site Hol20
51,PlanningHistory,uri,Permission reference 6/2016/1778/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=65463
52,PlanningHistory,uri,Permission reference 6/2017/1253/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=84720
53,PlanningHistory,uri,Permission reference 6/2015/1983/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=63108
54,PlanningHistory,uri,Permission reference 6/2015/1984/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=63109
55,PlanningHistory,uri,Permission reference 6/2018/0534/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=87090
56,PlanningHistory,uri,Permission reference 6/2017/1242/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=84709
57,PlanningHistory,uri,Permission reference 6/2016/2699/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=83384
58,PlanningHistory,uri,Permission reference 6/2015/2125/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=63250
59,PlanningHistory,uri,Permission reference 6/2016/1998/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=65683
60,PlanningHistory,uri,Permission reference N6/2013/1994/DE | http://planning.welhat.gov.uk/plandisp.aspx?recno=54877
62,PlanningHistory,uri,Permission reference 6/2016/1118/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=64803
63,PlanningHistory,uri,Permission reference 6/2017/2703/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=86255
