site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Guild Heritage House Braggs Lane Bristol BS2 0DN,yes,,2018-12-19,,0.07,20,20,20 dwellings,local-authority-eng:BST,,2017-01-16,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH1VR7DN11U00,permissioned,other,16/06382/COU,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OH1VR7DN11U00,2018-12-19
215 -217 Church Road Redfield Bristol BS5 9HL,yes,,2017-12-19,,0.04,7,7,7 Dwellings,local-authority-eng:BST,,2017-02-24,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH5DINDNFYB00,permissioned,full planning permission,16/06434/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OH5DINDNFYB00,2017-12-19
47 Park Street (and 1 Great George Street) City Centre Bristol BS1 5NL,yes,,2018-12-19,,0.03,6,6,6 Dwellings,local-authority-eng:BST,,2017-01-20,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHCS7YDNG6100,permissioned,full planning permission,16/06491/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHCS7YDNG6100,2017-12-19
"(Land At The Adjoining Callowhill Court, Broadmead & The Horsefair) Bristol BS1 3HE",yes,,2018-12-19,,3.50,150,150,150 dwellings,local-authority-eng:BST,owned by a public authority,,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHLQCODNGHR00,pending decision,outline planning permission,16/06594/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHLQCODNGHR00,2018-12-19
13-19 Vassall Court Straits Parade Bristol BS16 2LE,yes,,2018-12-19,,0.05,34,34,34 dwellings,local-authority-eng:BST,,2017-06-28,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIH7QFDNHGL00,permissioned,full planning permission,16/06890/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIH7QFDNHGL00,2018-12-19
(Land Adjacent To) 12 Duncombe Road Bristol BS15 1EL,yes,,2018-12-19,,0.06,9,9,9 dwellings,local-authority-eng:BST,,2017-05-22,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIHR9VDNHHL00,permissioned,full planning permission,16/06909/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIHR9VDNHHL00,2018-12-19
7 Frome Valley Road Bristol BS16 1HD,yes,,2018-12-19,,0.06,10,10,10 dwellings,local-authority-eng:BST,,2017-05-18,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIMXQWDNHOP00,permissioned,full planning permission,16/06984/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIMXQWDNHOP00,2018-12-19
13-21 Baldwin Street Bristol BS1 1NA,yes,,2018-12-19,,0.08,92,92,92 dwellings,local-authority-eng:BST,,2017-04-20,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIN3FRDNHPL00,permissioned,full planning permission,16/06999/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIN3FRDNHPL00,2018-12-19
Land On Corner Of Herbert Street And Catherine Mead Street Bristol,yes,,2017-12-19,,0.05,6,6,6 Dwellings,local-authority-eng:BST,,2017-03-14,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OK0TORDN06900,permissioned,full planning permission,17/00305/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OK0TORDN06900,2017-12-19
7 - 9 Woodstock Road Bristol BS6 7EN,yes,,2018-12-19,,0.08,6,6,6 dwellings,local-authority-eng:BST,,2017-04-06,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKUEE3DNLOR00,permissioned,full planning permission,17/00628/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKUEE3DNLOR00,2018-12-19
The Bed Workshop Braunton Road Bristol BS3 3AA,yes,,2018-12-19,,0.03,7,7,7 dwellings,local-authority-eng:BST,,2017-07-03,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKZYE4DNLU900,permissioned,full planning permission,17/00658/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKZYE4DNLU900,2018-12-19
32-38 St Johns Lane Bristol BS3 5AD,yes,,2018-12-19,,0.09,9,9,9 dwellings,local-authority-eng:BST,,2018-03-15,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLBDJODNMKK00,permissioned,reserved matters approval,17/00764/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OLBDJODNMKK00,2018-12-19
Broomhill Elderly Persons Home 92 Eastwood Road Bristol BS4 4RS,yes,,2018-12-19,,0.26,13,13,13 dwellings,local-authority-eng:BST,owned by a public authority,2017-05-25,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLGMFGDNFHO00,permissioned,full planning permission,17/00821/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OLGMFGDNFHO00,2018-12-19
Fillwood House Charlton Road St George Bristol BS15 1HB,yes,,2018-12-19,,0.21,10,10,10 dwellings,local-authority-eng:BST,,2017-09-14,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLRT65DNGSQ00,permissioned,full planning permission,17/00955/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OLRT65DNGSQ00,2018-12-19
130 Four Acres Bristol BS13 8RE,yes,,2018-12-19,,0.16,10,10,10 dwellings,local-authority-eng:BST,,2018-02-19,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM1IVADNHW800,permissioned,reserved matters approval,17/01053/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM1IVADNHW800,2018-12-19
Wilder House Wilder Street Bristol BS2 8PH,yes,,2018-12-19,,0.11,42,42,42 dwellings,local-authority-eng:BST,,2017-12-13,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMDXMODN06900,permissioned,full planning permission,17/01191/COU,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMDXMODN06900,2018-12-19
