site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Harvey Combe, Station Road Industrial Estate, Killingworth",,,2020-04-15,,11,240,144,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,354,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tanners Bank West (N), North Shields",,,2020-04-15,,2.18,49,49,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,355,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Devonshire Drive, Whitley Road, Holystone",yes,,2020-04-15,,1.69,76,46,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,366,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Ash Court, Rake Lane, North Shields",,,2020-04-15,,0.2,6,6,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,389,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tynemouth Court, Hawkey's Lane, North Shields",,,2020-04-15,,0.5,14,14,,local-authority-eng:NTY,owned by a public authority,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PZH344BHJ7N00,pending decision,,390,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Whitley Bay Police Station, Laburnum Avenue, Whitley Bay",,,2020-04-15,,0.11,3,3,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,392,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Drift Inn, Front Street, Seaton Burn",,,2020-04-15,,0.28,14,8,,local-authority-eng:NTY,,2012-02-17,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LVQO60BH06V00,permissioned,full planning permission,404,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Grasmere Court, Swindale Drive, Killingworth (Former West House PH)",yes,,2020-04-15,,0.16,8,5,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),local-authority-eng:NTY,,2020-04-15,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&keyVal=PWJC7ABH09D00&previousCaseNumber=000KWIBHBU000&previousCaseUprn=000047040651&activeTab=summary&previousKeyVal=PGHG1YBH00601,permissioned,permission in principle,407,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Rosehill Social Club, Tynemouth Road, Wallsend",yes,,2020-04-15,,0.2,10,10,,local-authority-eng:NTY,not owned by a public authority,2015-11-03,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKS9D9BHJLA00,permissioned,full planning permission,408,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Cosalt Factory, Liddell Street, North Shields",yes,,2020-04-15,,0.11,22,22,,local-authority-eng:NTY,,2015-03-31,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N6W6GMBHGN600,permissioned,full planning permission,409,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Coleman NE Ltd, Walker Place, North Shields",,,2020-04-15,,0.28,27,27,,local-authority-eng:NTY,not owned by a public authority,2017-02-07,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKMX7BHL4000,permissioned,full planning permission,411,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Trinity United Reformed Church & Hall, Esplanade, Whitley Bay",,,2020-04-15,,0.16,5,5,,local-authority-eng:NTY,,,,not permissioned,,412,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
