site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Black Bull Inn, Front Street, Benton",yes,,2017-12-22,,0.6,9,9,Extension of time limit for implementation of planning consent 09/03175//FUL - Erection of 9 dwellings and new public house car park,local-authority-eng:NTY,,2013-03-25,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MHG3LHBH09700,permissioned,full planning permission,438,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Earsdon Garage, Bank Top, Earsdon",yes,,2017-12-22,,0.15,8,8,Demolition of existing structure and erection of 7no dwelling houses and 1no apartment,local-authority-eng:NTY,,2011-04-20,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LELR6XBHDX000,permissioned,full planning permission,440,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Former Clousden Hill Filling Station, Great Lime Road, Forest Hall",yes,,2017-12-22,,0.28,8,8,"Erection of a terrace of 8 two-storey dwelling houses with associated access, hard-standings, boundary enclosures, gardens, amenity spaces and 12 car parking spaces",local-authority-eng:NTY,,2013-09-02,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MPMGHZBHDX000,permissioned,full planning permission,441,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"West Farm, 44 Front Street, Earsdon",yes,,2017-12-22,,0.25,6,6,"Refurbishment of existing farmhouse and farm buildings, with associated demolition and two storey and single storey new build extensions, in order to provide 6no. new dwellings",local-authority-eng:NTY,,2016-03-09,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZ0HWMBHMQC00,permissioned,full planning permission,443,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tynemouth Motor Company, Albion Road, North Shields",yes,,2017-12-22,,0.1,6,6,Extension of time limit for implementation of planning consent 08/01528/OUT (approved on appeal APP/W4515/A/08/2092486/NWF) for Demolition of existing garage outbuildings and the construction of a 2 and a half storey block of apartments containing 6 units with associated parking and landscaping (Re-submission of 07/01204/OUT),local-authority-eng:NTY,,2012-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LWI8J4BH0GZ00,permissioned,outline planning permission,445,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land and buildings at Bedford Street and Clive Street, North Shields",,,2017-12-22,,0.4,16,16,"Change of use from office/warehouse to 14no. residential units(3no. 1 bed with bed decks, 11no. 2 beds) and associated car parking.Erection of 16no.residential units and associated car parking",local-authority-eng:NTY,,1998-11-19,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9801386FUL,permissioned,full planning permission,486,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Backworth Primary School,,,2017-12-22,,0.52,14,14,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,552,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"16 John Street, Cullercoats",yes,,2017-12-22,,0.09,10,10,Demolition of existing building and erection of apartment block containing 10 apartments,local-authority-eng:NTY,,2016-09-26,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O20UVXBHFPF00,permissioned,full planning permission,558,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Westholme Farm Social Club, Mullen Road, Wallsend",yes,,2017-12-22,,0.17,6,6,Construction of 6no terraced town houses with associated access road and landscaping,local-authority-eng:NTY,,2015-08-19,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,559,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"New Winning Tavern, Church Bank, Wallsend",,,2017-12-22,,0.1,3,3,,local-authority-eng:NTY,,,,permissioned,,560,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
