site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Site at Clarenden Road East, Blackburn",yes,,2017-09-07,,1.69,101,51,,local-authority-eng:BBD,owned by a public authority,2017-12-19,,permissioned,permission in principle,1,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/01%20Clarendon%20Road%20East.pdf,2017-09-07
"Queens Park Flats Site, Queens Road, Blackburn",yes,,2017-09-07,,0.98,59,29,SPD prepared to guide development of the site for new housing,local-authority-eng:BBD,owned by a public authority,2017-12-19,,permissioned,permission in principle,2,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/02%20Queen's%20Park%20Flats%20Site.pdf,2017-09-07
"Rockliffe Works, Paterson Street, Blackburn",yes,,2017-09-07,,1.22,73,36,"Land allocated in Local Plan Part 2 for residential development. Canal & River Trust requires the following to be addressed at Technical Details Consent stage: structural integrity of the retaining wall to the canal, impact on lock nos.52&53 and by-wash, site layout to provide a positive waterside frontage, construction traffic over bridge no. 100 and need for a Construction Management Plan, ecologcial assessment, land contamination & pollution prevention to the canal, towpath improvements.",local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,3,"http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/03%20Rockcliffe%20Works,%20Paterson%20Street.pdf",2017-09-07
"Former East Lancs Coachbuilders, Whalley New Road, Blackburn",,,2017-12-19,,1.29,77,39,Land allocated as development opportunity site in Local Plan Part 2,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,4,"http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/04%20East%20Lancs%20Coachbuilders,%20Whalley%20New%20Road.pdf",2017-09-07
"Land off Queen Victoria Street, Blackburn",yes,,2017-12-19,,1.33,80,40,Technical details application to include asset protection measures to ensure safe operation and integrity of the railway. Has outline planning permission for up to 60 homes. Erection of 60 no. houses,local-authority-eng:BBD,not owned by a public authority,2017-12-19,http://planning.blackburn.gov.uk/northgate/documentexplorer/application/folderview.aspx?type=PLNP11_DC_PLANAPP&key=48622&iWgrnzsWW4I=aH8Pp24Bn4U=,permissioned,permission in principle,5,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/05%20Land%20off%20Queen%20Victoria%20Street.pdf,2017-09-07
"Land at SAPPI, Preston Old Road,Blackburn",,,2017-09-07,,2.70,81,81,Land allocated as development opportunity site in Local Plan Part 2.. Erection of up to 500 dwellings,local-authority-eng:BBD,not owned by a public authority,2015-11-19,http://planning.blackburn.gov.uk/northgate/documentexplorer/application/folderview.aspx?type=PLNP11_DC_PLANAPP&key=48456&iWgrnzsWW4I=aH8Pp24Bn4U=,permissioned,outline planning permission,6,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/06%20Land%20at%20SAPPI.pdf,2017-09-07
"Land to the south of Plane Street, Blackburn",,,2017-12-19,,0.20,12,6,Coal mining risk assessment required for technical details application,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,7,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/07%20Land%20south%20of%20Plane%20Street.pdf,2017-09-07
"Garage site, Harcourt Road, Blackburn",,,2017-12-19,,0.31,19,9,,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,8,"http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/08%20Garage%20Site,%20Harcourt%20Road.pdf",2017-09-07
"Site off Shorrock Lane, Blackburn",yes,,2017-12-19,,0.33,20,10,"Coal mining risk assessment required for technical details application. Canal & River Trust requires the following to be addressed at Technical Details Consent stage: proposed layout and potential canal access, land contamination assessment considering the canal.",local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,9,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/09%20Site%20off%20Shorrock%20Lane.pdf,2017-09-07
"Alaska Street Housing Site, Alaska Street, Blackburn",yes,,2017-12-19,,1.29,77,39,Land allocated in Local Plan Part 2 for residential development. Issues relating to construction traffic over bridge owned by Canal & River Trust and need for a Construction Management Plan need to be addressed at Technical Details Consent stage.,local-authority-eng:BBD,owned by a public authority,2017-12-19,,permissioned,permission in principle,10,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/10%20Alaska%20Street%20Houisng%20Site.pdf,2017-09-07
"Mill at Scotland Bank Terrace, Blackburn",,,2017-12-19,,0.62,37,19,,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,11,"http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/11%20Mill,%20Scotland%20Bank%20Terrace.pdf",2017-09-07
"Site at Eleanor Street, Blackburn",yes,,2017-12-19,,0.32,19,10,"Pre determination assessment may be required at technical details stage due to potential issues with noise, odour and light. Canal & River Trust require the following to be addressed at Technical Details Consent stage: structural integrity of the retaining wall to the canal, site layout to provide a positive waterside frontage and the setting of heritage assets, Eanam footbridge 103 and towpath access and improvements, ecological assessment, land contamination and pollution prevention to the canal. Also has outline planning permission for 88 bed care home. Erection of 88 no. bed care home",local-authority-eng:BBD,not owned by a public authority,2017-12-19,http://planning.blackburn.gov.uk/northgate/documentexplorer/application/folderview.aspx?type=PLNP11_DC_PLANAPP&key=48271&iWgrnzsWW4I=aH8Pp24Bn4U=,permissioned,permission in principle,12,http://www.blackburn.gov.uk/Brownfield%20land%20register%20plans/12%20Site%20at%20Eleanor%20Street.pdf,2017-09-07
