site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"The Junction Tavern Ph, 641 Kingston Road SW20 8SA",,,2020-01-10,,0.04,,,Alterations and extensions to change from a Public House (Use Class A4) to a 21-room hotel (Use Class C1) including 1 x 1 bed managers flat including demolition of existing taxi business within curtil,local-authority-eng:MRT,,2017-04-24,,permissioned,full planning permission,16/P4741,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
183 Streatham Road CR4 2AG,,,2020-01-10,,0.02,,,Part change of use of ground floor from Class A2 (financial and professional services) to residential use with retention of part of ground floor for continued use within Class A2 (financial and profes,local-authority-eng:MRT,,2017-03-17,,permissioned,full planning permission,16/P4780,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
577 Kingston Road SW20 8SA,,,2020-01-10,,0.25,15,15,Demolition of existing church building (No.577 Kingston Road - Use Class D1) and erection of a part 5 storey building (to Kingston Road) and part 3 storey building (to Abbott Avenue) to provide replac,local-authority-eng:MRT,,2018-11-29,,permissioned,full planning permission,17/P0763,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
2d Drax Avenue SW20 0EH,,,2020-01-10,,0.08,,,DEMOLITION OF DWELLINGHOUSE AND ERECTION OF A NEW DETCAHED HOUSE WITH HABITABLE ROOMS IN ROOFSPACE AND BASEMENT LEVEL,local-authority-eng:MRT,,2017-12-07,,permissioned,full planning permission,17/P0916,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Durham House, 12 - 16 2nd Floor Upper Green West CR4 3AA",,,2020-01-10,,0.79,11,11,PRIOR APPROVAL IN RESPECT OF THE PROPOSED CHANGE OF USE OF SECOND FLOOR FROM OFFICE SPACE (CLASS B1a) TO RESIDENTIAL (C3),local-authority-eng:MRT,,2017-05-06,,permissioned,other,17/P1383,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
"Belverdere Court, 1a Courthope Road SW19 7RH",,,2020-01-10,,0.06,9,9,DEMOLITION OF EXISTING BUILDING AND ERECTION OF THREE STOREY BUILDING (WITH ACCOMMODATION AT BASEMENT LEVEL AND WITHIN THE ROOFSPACE) COMPRISING 9 X 2 BED SELF CONTAINED FLATS TOGETHER WITH ASSOCIATED,local-authority-eng:MRT,,2018-10-07,,permissioned,full planning permission,17/P2332,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
123-125 Merton Road SW19 1ED,,,2020-01-10,,0.09,23,23,Application for outline planning permission for the demolition of the existing hotel and the erection of a five storey building comprising 21 flats (11 x 1 bedroom and 10 x two bedroom) and 1 x two be,local-authority-eng:MRT,,2018-06-27,,permissioned,full planning permission,17/P3551,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
12 Ravensbury Terrace SW18 4RL,,,2020-01-10,,0.04,6,6,PRIOR APPROVAL IN RESPECT OF THE PROPOSED CHANGE OF USE OF EXISTING OFFICE SPACE (CLASS B1a) TO RESIDENTIAL (CLASS C3),local-authority-eng:MRT,,2017-12-21,,permissioned,other,17/P3735,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Phoenix House, 2a Amity Grove SW20 0LJ",,,2020-01-10,,0.05,11,11,PRIOR APPROVAL IN RESPECT OF THE PROPOSED CHANGE OF USE OF OFFICE SPACE (CLASS B1a) TO PROVIDE 11 RESIDENTIAL UNITS (CLASS C3),local-authority-eng:MRT,,2018-01-31,,permissioned,other,17/P4083,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
50 Marryat Road SW19 5BD,,,2020-01-10,,0.12,,,"DEMOLITION OF EXISTING BUILDING AND ERECTION OF NEW 3 STOREY DWELLINGHOUSE WITH ADDITIONAL ACCOMMODATION AT BASEMENT LEVEL TOGETHER WITH ASSOCIATED CAR PARKING, LANDSCAPING AND FRONT BOUNDARY TREATMEN",local-authority-eng:MRT,,2018-02-23,,permissioned,full planning permission,17/P4158,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
