site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"153 And 155 Middleton Road, Banbury",yes,,2018-12-03,,0.051,8,8,,local-authority-eng:CHR,not owned by a public authority,2017-04-21,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR35,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Inside Out Interiors Ltd, 85 - 87 Churchill Road, Bicester",yes,,2018-12-03,,0.19,10,10,,local-authority-eng:CHR,not owned by a public authority,2017-05-19,https://planningregister.cherwell.gov.uk/Search,permissioned,outline planning permission,BLR39,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Land Adjacent 83 And 85 Part Of Car Park Sheep Street, Bicester",yes,,2018-12-03,,0.1,9,9,,local-authority-eng:CHR,not owned by a public authority,2018-02-19,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR40,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"Gurkha Village, 174 Oxford Road, Kidlington",yes,,2018-12-03,,0.23,5,5,,local-authority-eng:CHR,not owned by a public authority,2017-04-18,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR42,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"44 Banbury Road, Kidlington",yes,,2018-12-03,,0.07,5,5,,local-authority-eng:CHR,not owned by a public authority,2017-08-29,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR43,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03
"2A - 4 Broad Street, Banbury",yes,,2019-10-30,,0.02,6,6,,local-authority-eng:CHR,not owned by a public authority,2018-08-16,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR44,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Land to the rear of 45 to 53 Hightown Road, Banbury",yes,,2019-10-30,,1.5,8,8,,local-authority-eng:CHR,not owned by a public authority,2018-11-01,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR45,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Banbury Cycles, 56 - 58 Broad Street, Banbury",yes,,2019-10-30,,0.04,7,7,,local-authority-eng:CHR,not owned by a public authority,2019-01-08,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR46,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Ilbury Farm, Nether Worton Road, Hempton, Deddington",yes,,2019-10-30,,0.35,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-02-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR47,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"76 Bicester Road, Kidlington",yes,,2019-10-30,,0.09,6,6,,local-authority-eng:CHR,not owned by a public authority,2019-01-14,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR48,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Land adjacent Braeside Rope Way, Hook Norton",yes,,2019-10-30,,0.25,3,3,,local-authority-eng:CHR,not owned by a public authority,2018-09-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR49,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"Brymbo Bungalows, Station Road, Hook Norton",yes,,2019-10-30,,0.49,-1,-1,,local-authority-eng:CHR,not owned by a public authority,2018-10-26,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR50,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
"British Waterways Site, Langford Lane, Kidlington",yes,,2019-10-30,,0.4,10,10,,local-authority-eng:CHR,not owned by a public authority,2018-11-23,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR51,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30
