site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Brentwood Hotel, 7 - 8 Marlborough Terrace",yes,,2018-03-31,,0.04,14,14,15/02959/PLF,local-authority-eng:ERY,not owned by a public authority,2016-09-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02959/PLF,permissioned,full planning permission,197,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02959/PLF,2017-12-04
10 Trinity Mews,yes,,2018-03-31,,0.13,8,8,16/01371/PLF,local-authority-eng:ERY,not owned by a public authority,2017-02-28,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01371/PLF,permissioned,full planning permission,198,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01371/PLF,2017-12-04
22-24 Promenade,yes,,2018-03-31,,0.03,9,9,16/02921/PLF,local-authority-eng:ERY,not owned by a public authority,2016-11-16,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02921/PLF,permissioned,full planning permission,200,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02921/PLF,2017-12-04
62A Middle Street North,yes,,2018-03-31,,0.2,9,9,15/03211/PLF,local-authority-eng:ERY,not owned by a public authority,2017-03-16,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03211/PLF,permissioned,full planning permission,201,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03211/PLF,2017-12-04
"Riverhead Centre, Bishop Burton College, River Head",yes,,2018-03-31,,0.18,7,7,16/02368/PLF,local-authority-eng:ERY,not owned by a public authority,2016-09-21,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02368/PLF,permissioned,full planning permission,202,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02368/PLF,2017-12-04
"Beechwood House, Main Street",yes,,2018-03-31,,0.35,5,5,15/00440/PLF,local-authority-eng:ERY,not owned by a public authority,2015-06-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00440/PLF,permissioned,full planning permission,203,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/00440/PLF,2017-12-04
Old School House Cottingham Street Old Goole,yes,,2018-03-31,,0.2,13,13,11/01331/PLF,local-authority-eng:ERY,not owned by a public authority,2012-05-14,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/11/01331/PLF,permissioned,full planning permission,204,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/11/01331/PLF,2017-12-04
Little Rascals First Avenue,yes,,2018-03-31,,0.13,7,7,14/01749/PLF,local-authority-eng:ERY,not owned by a public authority,2014-09-24,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/01749/PLF,permissioned,full planning permission,205,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/01749/PLF,2017-12-04
Land To The North East of 52 St Johns Court,yes,,2018-03-31,,0.07,9,9,15/03558/PLF,local-authority-eng:ERY,not owned by a public authority,2016-11-11,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03558/PLF,permissioned,full planning permission,206,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03558/PLF,2017-12-04
Edinburgh Street Development Site,yes,,2018-03-31,,0.09,7,7,16/01720/PLF,local-authority-eng:ERY,not owned by a public authority,2017-01-13,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01720/PLF,permissioned,full planning permission,207,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01720/PLF,2017-12-04
