site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
LAND BETWEEN NOS 10-30 NEW HENDERSON STREET L8,,,2018-05-22,,0.130715,,,,local-authority-eng:LIV,,,,permissioned,,4205,,
LAND BETWEEN SPEKELANDS & 70 OAKHILL PARK,,,2018-05-22,,0.163848,,,,local-authority-eng:LIV,,,,permissioned,,4222,,
LAND BETWEEN UPTON CLOSE & LITTLE HEATH ROAD L24,,,2018-05-22,,0.13595,,,,local-authority-eng:LIV,,,,permissioned,,4225,,
LAND ON THE CORNER OF MILL STREET/BERESFORD ROAD AND TO THE REAR OF THE FLORENCE INSTITUTE L8,,,2018-05-22,,0.1878,,,,local-authority-eng:LIV,,,,permissioned,,4267,,
SITE AT WESTWINSTER ROAD / FOLEY STREET,,,2018-05-22,,0.052174,,,,local-authority-eng:LIV,,,,permissioned,,4320,,
"BELEM TOWER & BELEM CLOSE, AIGBURTH DRIVE",,,2018-05-22,,0.602316,,,,local-authority-eng:LIV,,,,permissioned,,4368,,
137-139 KENSINGTON (AT JUNCTION WITH FARNWORTH STREET),,,2018-05-22,,0.0310917,,,,local-authority-eng:LIV,,,,permissioned,,4399,,
"SITE OF FORMER CROWN P.H., 2 STOPGATE LANE, LIVERPOOL, L9",,,2018-05-22,,0.154198,,,,local-authority-eng:LIV,,,,permissioned,,4464,,
"FORMER DOG AND GUN PUBLIC HOUSE, CROXTETH HALL LANE/CARR LANE EAST, LIVERPOOL, L12",,,2018-05-22,,0.179982,,,,local-authority-eng:LIV,,,,permissioned,,4475,,
"FORMER GARAGE PREMISES AT 94 TOWNSEND LANE, (ON CORNER OF DARMONDS GREEN AVENUE), LIVERPOOL, L6",,,2018-05-22,,0.179306,,,,local-authority-eng:LIV,,,,permissioned,,4535,,
"LAND ADJACENT TO LINNET HOUSE,LINNET LANE LIVERPOOL, L8",,,2018-05-22,,0.149147,,,,local-authority-eng:LIV,,,,permissioned,,4536,,
"ALDER GRANGE, CENTRAL DRIVE. SANDFIELD PARK L12.",,,2018-05-22,,0.952634,,,,local-authority-eng:LIV,,,,permissioned,,4584,,
LAND TO THE REAR OF 563-565 AIGBURTH ROAD L19,,,2018-05-22,,0.051367,,,,local-authority-eng:LIV,,,,permissioned,,4659,,
SITE AT LONG LANE,,,2018-05-22,,0.198287,,,,local-authority-eng:LIV,,,,permissioned,,4661,,
"LEIGHTON DENE NURSING HOME, LONG LANE",,,2018-05-22,,0.541241,,,,local-authority-eng:LIV,,,,permissioned,,4790,,
LAND AT MILL LANE AT REAR OF 7-21 CUNNINGHAM ROAD L13.,,,2018-05-22,,0.149034,,,,local-authority-eng:LIV,,,,permissioned,,4965,,
"ST. MARGARET'S PARISH HALL, 2 BELMONT ROAD L6.",,,2018-05-22,,0.102668,,,,local-authority-eng:LIV,,,,permissioned,,5007,,
LAND AT WINDSOR STREET / UPPER WARWICK STREET L8.,,,2018-05-22,,0.0800773,,,,local-authority-eng:LIV,,,,permissioned,,5037,,
25-27 DEANE ROAD L7.,,,2018-05-22,,0.112202,,,,local-authority-eng:LIV,,,,permissioned,,5064,,
LIVERPOOL WATERS - CLARENCE DOCK,,,2018-05-22,,12.9668,,,,local-authority-eng:LIV,,,,permissioned,,5158,,
170A DELAMORE STREET L4.,,,2018-05-22,,0.0799723,,,,local-authority-eng:LIV,,,,permissioned,,5225,,
OLIVIA'S BAR (FORMERLY DEVONSHIRE ARMS P.H) ST. DOMINGO ROAD L5.,,,2018-05-22,,0.041566,,,,local-authority-eng:LIV,,,,permissioned,,5236,,
49A RODNEY STREET L1.,,,2018-05-22,,0.0211018,,,,local-authority-eng:LIV,,,,permissioned,,5293,,
"FORMER ODEON PICTURE HOUSE, 28 LONDON ROAD L3.",,,2018-05-22,,0.243836,,,,local-authority-eng:LIV,,,,permissioned,,5384,,
15 NORTH DRIVE L15.,,,2018-05-22,,0.106138,,,,local-authority-eng:LIV,,,,permissioned,,5433,,
35 RENSHAW STREET,,,2018-05-22,,0.174438,,,,local-authority-eng:LIV,,,,permissioned,,5523,,
111 MILL LANE L12.,,,2018-05-22,,0.158084,,,,local-authority-eng:LIV,,,,permissioned,,5544,,
16-18 GRINFIELD STREET L7,,,2018-05-22,,0.0617428,,,,local-authority-eng:LIV,,,,permissioned,,5556,,
5 MYRTLE STREET L7,,,2018-05-22,,0.046804,,,,local-authority-eng:LIV,,,,permissioned,,5706,,
CATS WHISKERS P.H. HARTSBOURNE AVENUE L25,,,2018-05-22,,0.159986,,,,local-authority-eng:LIV,,,,permissioned,,5714,,
"CHANCERY HOUSE, 96 PARADISE STREET",,,2018-05-22,,0.10512,,,,local-authority-eng:LIV,,,,permissioned,,5783,,
19 FULWOOD PARK L17,,,2018-05-22,,0.422193,,,,local-authority-eng:LIV,,,,permissioned,,5790,,
11 FONTENOY STREET L3,,,2018-05-22,,0.158686,,,,local-authority-eng:LIV,,,,permissioned,,5798,,
"LAND ADJACENT TO WAVERTREE HOUSE, 145 LAWRENCE ROAD L15",,,2018-05-22,,0.0133473,,,,local-authority-eng:LIV,,,,permissioned,,5834,,
THE OLD POLICE STATION 1B-1D DERBY LANE L13.,,,2018-05-22,,0.180578,,,,local-authority-eng:LIV,,,,permissioned,,5866,,
45 & 51-79 LIME STREET L1,,,2018-05-22,,0.346588,,,,local-authority-eng:LIV,,,,permissioned,,5881,,
BELLERIVE COLLEGE SITE,,,2018-05-22,,0.512503,,,,local-authority-eng:LIV,,,,permissioned,,5887,,
"BERESFORD ARMS, 158 BERESFORD ROAD",,,2018-05-22,,0.0515258,,,,local-authority-eng:LIV,,,,permissioned,,5888,,
"SITE OF FORMER BREWERY, GATEACRE BROW",,,2018-05-22,,0.158942,,,,local-authority-eng:LIV,,,,permissioned,,5889,,
"FORMER VAUXHALL COMMUNITY CENTRE, 29 SILVESTER STREET",,,2018-05-22,,0.0856422,,,,local-authority-eng:LIV,,,,permissioned,,5890,,
"GATEACRE GARDEN CENTRE, ACREFIELD ROAD",,,2018-05-22,,0.548327,,,,local-authority-eng:LIV,,,,permissioned,,5895,,
"FORMER CLARENCE HOTEL, UTTING AVENUE, L$",,,2018-05-22,,0.467417,,,,local-authority-eng:LIV,,,,permissioned,,5908,,
"FORMER AGED PERSONS HOSTEL, BOALER STREET",,,2018-05-22,,0.534465,,,,local-authority-eng:LIV,,,,permissioned,,5920,,
31 RODNEY STREET,,,2018-05-22,,0.043306,,,,local-authority-eng:LIV,,,,permissioned,,5931,,
10 DENMAN DRIVE L6,,,2018-05-22,,0.0354247,,,,local-authority-eng:LIV,,,,permissioned,,5932,,
80-82 KENSINGTON L7,,,2018-05-22,,0.017394,,,,local-authority-eng:LIV,,,,permissioned,,5944,,
LAND AT VAUXHALL ROAD L3,,,2018-05-22,,0.106121,,,,local-authority-eng:LIV,,,,permissioned,,5946,,
13A QUARRY STREET L25,,,2018-05-22,,0.104838,,,,local-authority-eng:LIV,,,,permissioned,,5963,,
44 HALL LANE,,,2018-05-22,,0.045179,,,,local-authority-eng:LIV,,,,permissioned,,6036,,
"Former Robinson Willey Site, Mill Lane, Liverpool, L13",,,2018-05-22,,2.37767,,,,local-authority-eng:LIV,,,,permissioned,,1691A,,
FORMER JFK HEIGHTS / EVERTON BROW / SALISBURY ST / HAIGH ST,,,2018-05-22,,0.26492,,,,local-authority-eng:LIV,,,,permissioned,,1936C,,
GREAT GEORGE ST DEVELOPMENT AREA,,,2018-05-22,,2.47997,,,,local-authority-eng:LIV,,,,permissioned,,3204A,,
