site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"LIFT site, 551-555 Canterbury Street, Gillingham",,,2017-12-18,,0.28,13,9,Upto 13 dwellings,local-authority-eng:MDW,mixed ownership,,http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_148102,pending decision,,707,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Communal areas, John Street, Rochester",,,2017-12-18,,0.9,8,8,6 one bedroom and 2 two bedroom flats,local-authority-eng:MDW,not owned by a public authority,2016-02-11,http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_133721,permissioned,full planning permission,740,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Between Cross Street & The Brook, Chatham",,,2017-12-18,,0.79,118,26,"Expired outline planning permission for 14 houses, 104 flats and 3,375sqm retail floorspace.. http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_117157",local-authority-eng:MDW,,,,not permissioned,,757,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Junction of Pier Road and Medway Road, Gillingham",,,2017-12-18,,0.59,82,20,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,810,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"101 Beacon Road, Chatham",,,2017-12-18,,0.41,14,14,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,1052,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"6-11 New Road Avenue, Chatham",,,2017-12-18,,0.28,39,9,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,1056,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Greatfield Lodge, Darnley Road, Strood",,,2017-12-18,,0.34,24,21,Expired planning permission for extension to facilitate conversion to 14 one bed and 10 two bed flats.. http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_129666,local-authority-eng:MDW,,,,not permissioned,,1100,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Miles Place, Delce Road, Rochester",,,2017-12-18,,0.31,43,10,,local-authority-eng:MDW,,,,not permissioned,,1106,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
"Lennox Wood, Petham Green, Twydall",,,2017-12-18,,0.43,20,20,20 two and 3 bedroomed houses,local-authority-eng:MDW,not owned by a public authority,2015-07-09,http://publicaccess.medway.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_MEDWA_DCAPR_132466,permissioned,full planning permission,1136,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30
