site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Greens Yard, High Street (Tithe Barn Close), Compton",yes,,2017-10-17,,0.95,25,25,Approval of Reserved Matters following Outline planning permission 11/01159/XOUTMA - Development of 25 residential units with ancillary buildings,local-authority-eng:WBK,not owned by a public authority,2015-04-14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N4L0L4RD04Z00,permissioned,reserved matters approval,BR/2017/03,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4L0L4RD04Z00,2017-10-17
"Pirbright Institute site (formerly Institute For Animal Health), Compton",,,2017-10-17,,9.1,140,140,The site is included as an allocation within the adopted Housing Site Allocations Development Plan Document. A Supplementary Planning Document has also been prepared for the site. http://info.westberks.gov.uk/hsa | http://info.westberks.gov.uk/CHttpHandler.ashx?id=36532&p=0,local-authority-eng:WBK,owned by a public authority,,,not permissioned,,BR/2017/04,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,2017-10-17
"Crookham House, Crookham Hill, Crookham Common, Thatcham",yes,,2017-10-17,,7.32,8,8,"Change of use and redevelopment to provide a mixed-use scheme incorporating 2 stables buildings and 1 new vehicular access, 13 new dwellings, and the change of use of the existing Crookham House by its conversion to a further single dwelling and including associated demolition of existing extensions and outbuildings and the change of use of playing fields to ancillary recreation and equestrian uses. Alternatively, and notwithstanding the implementation of the rest of the proposed development, in the event that the residential use of the converted building is not brought into use or does not continue; the change of use of the Crookham House building to offices (Use Class B1(a))",local-authority-eng:WBK,not owned by a public authority,2015-03-26,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MPQ9R4RD04Z00,permissioned,full planning permission,BR/2017/05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MPQ9R4RD04Z00,2017-10-17
"St Johns Hall, Station Road, Hungerford",yes,,2017-10-17,,0.05,6,6,"Demolition of existing Hall and erection of 6 flats (4 x one bed and 2 x two bed) plus parking, access and landscaping",local-authority-eng:WBK,not owned by a public authority,2014-07-31,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MUAU7KRD0EA00,permissioned,full planning permission,BR/2017/06,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MUAU7KRD0EA00,2017-10-17
"Three Swans Hotel, 117 High Street, Hungerford",yes,,2017-10-17,,0.2,13,13,"Comprehensive redevelopment of land to the rear of Three Swans Hotel, involving the construction of 13 residential units including 10 apartments and 3 houses, parking, landscaping, access from Park Street and associated works. To include partial demolition of non listed wall",local-authority-eng:WBK,not owned by a public authority,2011-12-28,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LRVR39RD09N00,permissioned,full planning permission,BR/2017/07,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRVR39RD09N00,2017-10-17
"39 London Road, Newbury",yes,,2017-10-17,,0.05,6,6,Change of Use from B1 (a) into six flats,local-authority-eng:WBK,not owned by a public authority,2017-01-06,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OGQRWNRD0K500,permissioned,full planning permission,BR/2017/10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGQRWNRD0K500,2017-10-17
"Sherwood House, 78 London Road, Newbury",yes,,2019-01-08,,0.12,27,27,Application to determine if Prior Approval is required for the Change of Use of offices (B1a) to 27 studio apartments.,local-authority-eng:WBK,not owned by a public authority,2017-10-05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OUIYNGRD0KD00,permissioned,other,BR/2017/13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OUIYNGRD0KD00,2017-10-17
"11-17 and land to side of Mill Lane, Newbury",yes,,2017-10-17,,0.23,12,12,Demolition of existing four almshouses and the erection of 16 No. one and two bedroom affordable flats together with associated external works,local-authority-eng:WBK,not owned by a public authority,2015-09-10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NIY0PKRD04Z00,permissioned,full planning permission,BR/2017/14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NIY0PKRD04Z00,2017-10-17
"St Marys Surgery, St Marys Road, Newbury",yes,,2017-10-17,,0.1,12,12,Demolition of existing building and the erection of 12 no. flats and associated works,local-authority-eng:WBK,not owned by a public authority,2015-05-13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NTKXTRRD0EF00,permissioned,full planning permission,BR/2017/15,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NTKXTRRD0EF00,2017-10-17
"Centrix House, 5 Oxford Road, Newbury",yes,,2019-01-08,,0.16,42,42,"Application to determine if Prior Approval is required for conversion of existing office building to 42 flats, with 40 allocated parking spaces.",local-authority-eng:WBK,not owned by a public authority,2018-08-16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P1MJITRD01V00,permissioned,other,BR/2017/16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1MJITRD01V00,2017-10-17
