site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Victoria Mills, Macclesfield Road, Holmes Chapel",yes,,2019-11-15,,4.18,160,160,Planning permission Ref: 08/0492/OUT: Outline application for residential development including means of access,local-authority-eng:CHE,not owned by a public authority,2012-08-30,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=08/0492/OUT&query=7e096956-f6a3-4b6a-b5d3-a7caa9a966b8,permissioned,outline planning permission,406,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"Woodend, Homestead Road, Disley",yes,2019-11-15,2019-11-15,,0.34,11,11,Site is under construction. Planning permission ref: 16/0429M: Reserved Matters for 11 dwellings,local-authority-eng:CHW,not owned by a public authority,2016-04-28,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0429M&query=247c8b13-27a1-4893-bf2e-1454cc96e7a0,permissioned,reserved matters approval,749,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"49-51 Palmerston Street, Bollington",yes,,2019-11-15,,0.05,8,8,Prior approval ref: 18/2672M - change of use from B1(a) offices to 8 No. Class C3 apartments.,local-authority-eng:CHE,not owned by a public authority,2018-08-08,https://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=18/2672M&query=c7e2c85a-b589-48c8-a934-f8ca337efde1,permissioned,other,761,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2019-11-15
"Ivy House Farm, Longhill Lane, Hankelow",yes,,2019-11-15,,0.22,5,5,"Planning permission ref: 16/3456N: Demolition of existing dwelling and commercial building and erection of five detached dwelling, access and associated works",local-authority-eng:SHR,not owned by a public authority,2016-10-31,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3456N&query=4fe1ffd1-f7ce-4767-82c3-25b6dad56ca9,permissioned,outline planning permission,993,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"Land At Mill Street And, Lockitt Street, Crewe",yes,,2019-11-15,,3.59,70,70,"Planning permission granted subject to the completion of a S106 legal agreement. Planning application ref: 18/5040N - Hybrid Planning Application comprising (1) Full Planning Application for the erection of two Class A1 retail units and one Class A1/A3 unit with associated car parking and servicing areas, access, landscaping and associated works, including relocation of electricity sub-station, following demolition of existing structures and (2) Outline Planning Application with all matters reserved except for access for the erection of up to 70 dwellings with associated infrastructure.",local-authority-eng:CHE,not owned by a public authority,,https://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=18/5040N&query=d458ea04-1cda-4255-9a2d-cb277fdf61c0,pending decision,,2061,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2019-11-15
"9 Old Middlewich Road, Sandbach",yes,,2019-11-15,,0.1,13,13,15/3379C: Construction of 13 one and two bedroom apartments,local-authority-eng:CON,not owned by a public authority,2016-04-11,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3379C&query=744c1af9-7d8d-45d5-838c-52e4face093e,permissioned,full planning permission,2340,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"Haulage depot rear of 13 Congleton Road, Sandbach",yes,2019-11-15,2019-11-15,,0.34,14,14,Site is under construction. Planning permission Ref: 15/2134C: Demolition of workshop and haulage yard and erection of 14 dwellings,local-authority-eng:IOS,not owned by a public authority,2016-08-12,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/2134C&query=f4ed61d7-12e7-497e-a433-624a9e9b7639,permissioned,full planning permission,2355,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"Cardway Business Park, LINLEY LANE, ALSAGER, ST7 2UX",yes,,2019-11-15,,4.47,104,104,15/2101C: Outline planning application for a phased development of up to 105 dwellings,local-authority-eng:WIL,not owned by a public authority,2017-07-06,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/2101C&query=1d2c76fe-3a61-42d2-b6d4-585a83d3ae8b,permissioned,outline planning permission,2371,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"Dunwood, Homestead Road, Disley",yes,2019-11-15,2019-11-15,,0.24,6,6,Site is under construction. Planning permission ref: 15/3617M: Demolition of existing dwelling and erection of 6 apartments,local-authority-eng:BDF,not owned by a public authority,2015-11-12,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3617M&query=b97203e1-3001-4a81-8b1e-598e9c447ee3,permissioned,full planning permission,2421,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19
"TRAINING CENTRE, HILL STREET, SANDBACH",yes,,2019-11-15,,0.25,26,26,"Planning permission granted subject to the completion of a S106 agreement. Planning application ref: 18/3220C: Erection of a three storey residential development comprising 26 apartments (Use Class C3), parking, associated access, landscaping and servicing.",local-authority-eng:CHE,not owned by a public authority,,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=18/3220C&query=df0c06c5-1ea8-43ae-a075-5e52e6652aae,pending decision,,2601,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2019-11-15
