point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,18,42 to 45 Nile Street,-1.376472,54.906179,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.06298,not owned by a public authority,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,54,54,,Application expired not considered developable within 15 yr period.,2017-11-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,54,"Former Eagle Public House, Portsmouth Road",-1.441783,54.89645,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.194351,not owned by a public authority,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,8,9,,Permitted application ref. 16/00509/FUL expired.,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,70,"Site of Foundry (The Forge, Pallion)",-1.411003,54.910395,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,1.319401,not owned by a public authority,,permissioned,full planning permission,2016-09-21,https://www.sunderland.gov.uk/online-applications,,22,22,,Permitted application ref. 17/02370/FUL. Site completed,2017-11-30,2018-11-30,2019-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,080A,"Stadium Village, Sheepfolds Central",-1.386577,54.912467,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,1.25,mixed ownership,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,238,265,,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,080B,"Stadium Village, Sheepfolds South",-1.384731,54.912772,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.89,mixed ownership,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,,,,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,2017-11-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,080C,"Stadium Village, Sheepfolds Cliff Top",-1.385584,54.911051,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.91,mixed ownership,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,166,185,,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,85,"Former Groves Site, Woodbine Terrace, Pallion",-1.424707,54.914136,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,31.21,owned by a public authority,,pending decision,,,https://www.sunderland.gov.uk/online-applications,,630,700,yes,Part of Groves Development Framework. Live outline application ref. 17/02430/OU4 for up to 700 units.,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,86,Former Easington Lane Primary School Building,-1.432274,54.805212,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2.946587,mixed ownership,,permissioned,full planning permission,2019-05-02,https://www.sunderland.gov.uk/online-applications,,116,116,yes,Part of Easington Lane Development Framework SPD and Development Brief,2017-11-30,2018-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,87,"Former Dubmire Primary School, Britannia Terrace",-1.500423,54.842598,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.297393,owned by a public authority,,permissioned,full planning permission,2019-04-02,https://www.sunderland.gov.uk/online-applications,,17,17,yes,Full permission for 17 units: 18/02002/FU4. Site largely completed.,2019-11-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,98,"Ayton Village Primary School, Dunlin Drive, Ayton",-1.55298,54.889873,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,1.57777,not owned by a public authority,,permissioned,full planning permission,2019-12-18,https://www.sunderland.gov.uk/online-applications,,56,56,yes,Permitted application ref. 19/01484/FU4,2016-06-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,104,"Carley Hill School, Emsworth Road",-1.399579,54.927575,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,4.20343,owned by a public authority,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,36,40,,Pre-application enquiry ref. 16/01431/P1 expired,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,107,"Phases 2-6, Chester Road",-1.445092,54.892781,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,16.718468,mixed ownership,,permissioned,full planning permission,2019-06-28,https://www.sunderland.gov.uk/online-applications,,450,500,yes,Permitted application ref. 18/00255/FU4,2017-11-30,2018-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,109,Glebe Parkway,-1.527058,54.898914,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,1.638369,not owned by a public authority,,permissioned,full planning permission,2016-11-23,https://www.sunderland.gov.uk/online-applications,,43,43,,Permitted application ref. 16/01045/FUL,2017-11-30,2018-11-30,2019-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,112,Site of former Broomhill Estate.,-1.457422,54.832565,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,3.90161,not owned by a public authority,,permissioned,full planning permission,2017-08-18,https://www.sunderland.gov.uk/online-applications,,148,148,yes,Permitted application ref. 16/01161/FU4. Site completed.,2016-06-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,194,"Lambton Lane, land at",-1.504737,54.849984,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,4.43,mixed ownership,,pending decision,,,https://www.sunderland.gov.uk/online-applications,,184,205,yes,Live application pending ref. 17/00589/FUL - proposed combined total 271 dwellings. Numbers reflect proposed allocation in Draft A&D Plan,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,312,"Former Junglerama, Victoria Road",-1.522537,54.912052,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.285331,mixed ownership,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,12,12,,Permitted application ref. 16/00115/FU4. Permission expired. Alternative uses proposed. Not considered developable within 15 yr period,2016-06-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,328,Hetton Downs Phase 2,-1.447475,54.830192,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,3.97,mixed ownership,,permissioned,full planning permission,2019-04-18,https://www.sunderland.gov.uk/online-applications,,101,101,yes,Permitted application ref. 17/02178/FU4,2017-11-30,2020-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,380,Grangetown Autos and land to the South. East side of Ryhope Road,-1.359341,54.876147,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,1.27,not owned by a public authority,,permissioned,full planning permission,2016-08-08,https://www.sunderland.gov.uk/online-applications,,46,46,,"Permitted outline application ref. 15/01629/OUT, with live application pending ref. 17/00386/FUL for 48 units on land to the north",2017-11-30,2018-11-30,2019-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,469,Site of former Kentmere House,-1.482169,54.850061,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.639303,owned by a public authority,,permissioned,full planning permission,2018-03-07,https://www.sunderland.gov.uk/online-applications,,19,19,,"Pre-application ref. 13/01367/P7 - proposed 20 dwellings, development acceptable in principle. Concise brief prepared. Full application for 19 17/02296/FUL. Site complete",2017-11-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,470,Site of former Gilpin House,-1.481507,54.850616,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.335415,owned by a public authority,,not permissioned,,,https://www.sunderland.gov.uk/online-applications,,11,12,,"Pre-application ref. 13/01367/P7 - proposed 12 dwellings, development acceptable in principle. Not considered developable within 15 yr period",2017-11-30,2020-11-30,2020-11-30
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,502,"Vane Arms, Silksworth",-1.402311,54.872735,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.090798,not owned by a public authority,,permissioned,full planning permission,2017-09-20,https://www.sunderland.gov.uk/online-applications,,7,7,yes,Permitted application ref. 17/01168/FUL - proposed conversion to 7 self-contained apartments,2017-11-30,2018-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,504,Doxford Park Phase 6,-1.411645,54.869555,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,3.985862,not owned by a public authority,,permissioned,full planning permission,2019-06-13,https://www.sunderland.gov.uk/online-applications,,100,100,yes,Part of South Sunderland Growth Area masterplan and draft SPD. Permitted application: 18/00438/FUL for 100,2017-11-30,2018-11-30,
,http://opendatacommunities.org/id/metropolitan-district-council/sunderland,,531,"Council Yard, North St, Silksworth",-1.405567,54.875987,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,0.139217,mixed ownership,,permissioned,full planning permission,2011-11-01,https://www.sunderland.gov.uk/online-applications,,3,6,yes,Permitted application ref. 11/01908/FUL - under construction,2017-11-30,2018-11-30,2019-11-30
