point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR1 - Blakelock Road,"Blakelock Road, Blakelock Rd, Foggy Furze Ward",-1.231234,54.675333,,0.6,owned by a public authority,,not permissioned,,,,,10,15,yes,Former colleague buildings.,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR2 - Brenda Road East,"Brenda Road East, Brenda Rd, Seaton Ward",-1.206668,54.657138,,4.72,not owned by a public authority,,not permissioned,,,,,100,140,yes,A mix of industrial buildings a hardstanding. Land is included in a minded to grant permission which is still awaiting the s106 to be signed.. http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR6 - The Former Ambulance Station,"Former Ambulance Station, Elwick Road",-1.236061,54.68258,,0.28,owned by a public authority,,not permissioned,,,,,,,yes,"Former ambulance station and paddock, paddock not included on spreadsheet. Heritage asset, ideally for conversion.",2019-12-11,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR7 - Close Farm Cottage,"Close Farm Cottage, Wolviston, Rural West Ward",-1.336851,54.653795,,3.01,not owned by a public authority,,permissioned,full planning permission,2012-10-26,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=95894,3,3,3,yes,Conversion of old farm buildings. Work ongoing.. Conversion of existing outbuildings into 3 dwellings,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,"BR9 - 9,11 Hutton Avenue","9, 11 Hutton Avenue, Hartlepool",-1.220992,54.684605,,0.049,not owned by a public authority,,permissioned,full planning permission,2017-09-14,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114093,13,13,13,yes,Currently has permission for 13.. Change of use of former care home to 13no. residential flats.,2019-12-11,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR10 - Former King Oswy Public House,"Former King Oswy Public House, KingOswy Dr,DeBruce",-1.234304,54.710806,,0.25,not owned by a public authority,,permissioned,full planning permission,2017-05-15,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=117039,8,8,8,yes,Former pub site. Development started but has stalled.. 8 semi detached bungalows,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR11 - Former Mas Agraa Palace,"Former Mas Agraa Palace, Lynn St, Headland&Harbour",-1.205011,54.684843,,0.45,not owned by a public authority,,not permissioned,,,,,6,9,yes,Previously had permission which has expired.,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR12 - Garden Centre & Amenity Block,"GardenCentre&AmenityBlock,TanfieldRd, Foggy Furze",-1.221009,54.668348,,0.47,not owned by a public authority,,not permissioned,,,,,8,12,yes,Former garden centre.,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR13 - Hartlepool Hospital,"Hartlepool Hospital, Holdforth Rd, De Bruce Ward",-1.225712,54.703112,,3.38,not owned by a public authority,,not permissioned,,,,,80,100,yes,Vacant land at hospital site. Previously had permission but expired.,2017-12-17,2020-12-14,
,http://opendatacommunities.org/id/unitary-authority/hartlepool,Hartlepool Borough Council,BR14 - Inspirations Coffee House,"InspirationsCoffeeHouse, Tanfield RD, Foggy Furze",-1.22194,54.668282,,0.41,owned by a public authority,,not permissioned,,,,,6,10,yes,Former coffee shop and council offices,2017-12-17,2020-12-14,
