point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1146,"Land Junc Wood Street/Factory Street, Middleton",,,,0.07,,,Not Permissioned,,,,22,22,22,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1156,"Manchester Street/ Hardfield Street, Heywood",,,,0.27,,,Not Permissioned,,,,18,18,18,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1218,"Providence United Reformed Church, Market Place",,,,0.2,,,Not Permissioned,,,,16,16,16,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1226,"Site Of New Jerusalem Church, Manchester Old Road, Middleton",,,,0.09,,,Not Permissioned,,,,8,8,8,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1236,"22-26 Bridge Street, Heywood",,,,0.06,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1244,"613 Manchester Old Road, Middleton",,,,0.02,not owned by a public authority,,Not Permissioned,,,,5,5,5,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1253,"Site Of Keb Packaging, Mills Hill Road, Middleton",,,,0.47,,,Not Permissioned,,,,34,34,34,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1397,"Land On The Corner Of Ash Street And Peel Lane, Heywood",,,,0.37,not owned by a public authority,,Not Permissioned,,,,14,14,14,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1398,"Land At Juntion Of Clay Bank Street, Cedar Avenue And Kirkstall Avenue, Heywood",,,,0.58,not owned by a public authority,,Not Permissioned,,,,23,23,23,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1467,"Gowers Street, Rochdale",,,,1.3,,,Not Permissioned,,,,52,52,52,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1469,"Land At Boothroyden Road And Factory Brow, Middleton",,,,1.68,,,Not Permissioned,,,,67,67,67,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1473,"Land At Newchurch Street, Rochdale",,,,2.49,,,Not Permissioned,,,,116,116,116,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1524,"Royal Spice, 68 Stanycliffe Lane, Middleton",,,,0.1,,,Not Permissioned,,,,5,5,5,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1528,"Land Off Fielding Street, Middleton",,,,0.8,,,Not Permissioned,,,,49,49,49,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1530,"153, Ramsden Road, Rochdale",,,,0.01,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1550,"Former Akzo Nobel Site, Hollingworth Road, Littleborough",,,,7.5,,,permissioned,,,,174,174,174,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1556,"Queensway Neighbourhood Centre, Well'I'Th Lane, Rochdale",,,,1.46,,,Not Permissioned,,,,58,58,58,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1599,"Spotland Bridge, New Mill, Mellor Street, Rochdale",,,,0.82,,,Not Permissioned,,,,84,84,84,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1635,"West Street Baptist Church, West Street (Western Part), Rochdale",,,,0.04,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1639,"9-11 Todmorden Road, Littleborough",,,,0.05,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1690,"Site Of Oddfellows Arms Ph, 78 Peel Lane, Heywood",,,,0.32,not owned by a public authority,,Not Permissioned,,,,13,13,13,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1693,"Alderman Kay School (School Site), Tintern Road, Middleton",,,,0.86,not owned by a public authority,,permissioned,,,,38,38,38,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1717,"Conservative Club, Newchurch Street, Rochdale",,,,0.02,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1722,"Land At Bridgefold Road, Rochdale",,,,0.7,,,Not Permissioned,,,,24,24,24,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1739,"Burnedge Mill, Broad Lane, Rochdale",,,,0.24,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1745,"Land Between Lincoln Street And Hare Street, Rochdale",,,,1.04,,,Not Permissioned,,,,41,41,41,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1750,"Land To South Of Clay Bank Street, Heywood",,,,0.31,not owned by a public authority,,Not Permissioned,,,,12,12,12,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1755,"Angel Meadow Phase 2, Heywood",,,,0.33,not owned by a public authority,,Not Permissioned,,,,13,13,13,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1756,"Angel Meadow Phase 1, Heywood",,,,0.84,not owned by a public authority,,Not Permissioned,,,,34,34,34,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1775,"Land At Greenbooth Road, Rochdale",,,,5.3,,,Not Permissioned,,,,60,60,60,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1778,"Warwick Mill, Oldham Road, Middleton",,,,0.92,,,Not Permissioned,,,,147,147,147,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1779,"201 Shaw Road, Rochdale",,,,0.12,,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1780,"33-41 Maclure Road, Rochdale",,,,0.05,,,Not Permissioned,,,,15,15,15,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1791,"Norton Grange Hotel, Manchester Road, Rochdale",,,,0.48,,,Not Permissioned,,,,14,14,14,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1793,"Kings Arms, Higher Wood Street, Middleton",,,,0.08,not owned by a public authority,,Not Permissioned,,,,6,6,6,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1811,"Site Of Former Sunbank, Shawclough Road, Rochdale",,,,0.4,,,Not Permissioned,,,,14,14,14,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 1840,"206-208 Drake Street, Rochdale",,,,0.33,,,Not Permissioned,,,,17,17,17,,,2017-11-29,2017-11-29,
