point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/swindon,,19HMR030,"The Former Cycle Club, 33 Dixon Street, Swindon",-1.729012,51.586939,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,0.03,not owned by a public authority,,permissioned,full planning permission,2019-02-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,,8,8,yes,19HMR030 - S/18/1523 | Demolition of existing building and erection of 8 no. flats,2019-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,19HMR038,"Land Adjacent to Co-operative Convenience Store, Moormead Road, Wroughton, Swindon",-1.780691,51.554122,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,0.07,not owned by a public authority,,permissioned,outline planning permission,2019-02-28,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,,5,5,yes,19HMR038 - S/OUT/17/1693 | Outline application for the erection of 2no. apartments and 3 dwellings,2019-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,19HMR039,"409 - 411 Cricklade Road, Swindon, SN2 1AQ",-1.801562,51.565596,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,0.09,not owned by a public authority,,permissioned,full planning permission,2019-03-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,,6,6,yes,19HMR039 - S/18/1569 | Demolition of 409 Cricklade Road and erection of 6no. dwellings ( one 1 bed flat and five 2 bed houses),2019-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,19HMR041,"98 Redcliffe Street, Swindon, SN2 2BZ",-1.762084,51.570294,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,0.04,not owned by a public authority,,permissioned,full planning permission,2019-02-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,,6,6,yes,19HMR041 - S/18/1072 | Erection of a three storey block of 6 no. flats,2019-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181901,Crown Timber Site Unit A Thornhill Industrial Estate South Marston Swindon,-1.782897,51.564644,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,2.05,not owned by a public authority,,permissioned,outline planning permission,2018-05-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,,47,47,yes,PP181901 - S/OUT/14/2058 | Outline application for the erection of up to 47no. dwellings,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181915,"Bus Depot Eastcott Road, Old Town, SwindonSN1 3LS",-1.782661,51.55904,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,0.61,not owned by a public authority,,permissioned,full planning permission,2018-11-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,,45,45,yes,"PP181915 - S/17/1777 | Demolition of existing buildings, erection of new buildings and conversion of existing buildings to form 45no. residential units",2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181917,Morris Street Club 20-22 Morris Street Rodbourne Swindon SN2 2HU,-1.777846,51.555757,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,0.04,not owned by a public authority,,permissioned,full planning permission,2018-10-22,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,,5,5,yes,PP181917 - S/18/0380 | Partial demolition with two storey extension and alterations to allow for the conversion of the existing social club to form 4 no. 1 bedroom flats and 1 no.2 bedroom flat,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181918,Coachbuilders House Stratton Road Stratton St Margaret Swindon,-1.77671,51.553074,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,0.23,not owned by a public authority,,permissioned,full planning permission,2018-09-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,,8,8,yes,PP181918 - S/18/0256 | Erection of a mansard roof with dormer windows to create 8no. additional flats ( 7 one bed flats and 1 two bed flat),2018-12-31,2020-12-23,2020-12-23
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181920,175 - 176 Manchester Road Swindon SN1 1TU,-1.727288,51.555305,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,0.02,not owned by a public authority,,permissioned,full planning permission,2018-12-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,,6,6,yes,PP181920 - S/17/1707 | Change of use of 2no. dwellings to 6no. self contained apartments,2018-12-31,2020-12-23,2020-12-23
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181922,"2 Temple Chambers Temple Street, Swindon, SN1 1SQ",-1.826729,51.569192,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,0.01,not owned by a public authority,,permissioned,full planning permission,2018-05-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,,5,5,yes,"PP181922 - S/18/0406 | Change of use of ground, first and second floor and roof space from Class A1/A2/B1 to Class C3 to provide 5no. dwellings",2018-12-31,2020-12-23,2020-12-23
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181923,"53 Victoria Road, Old Town, Swindon, SN1 3AY",-1.741264,51.565407,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,0.01,not owned by a public authority,,permissioned,permission in principle,2018-08-22,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,,5,5,yes,PP181923 - S/PRIORC/18/1149 | Prior notification application for the change of use from office (Class B1a) to 5no. flats (Class C3),2018-12-31,2020-12-23,2020-12-23
,http://opendatacommunities.org/id/unitary-authority/swindon,,PP181924,99-100 Victoria RoadOld TownSwindonSN1 3BE,-1.744905,51.550565,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,0.27,not owned by a public authority,,permissioned,permission in principle,2018-05-24,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,,31,31,yes,PP181924 - S/PRIORC/18/0544 | Prior notification application for the change of use from office (Class B1) to 31no. dwellinghouses (Class C3).,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0006,"Land north of Edison Road, Dorcan",-1.774146,51.548621,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,1.67,not owned by a public authority,,permissioned,full planning permission,2019-04-10,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,,,,yes,s0006 - S/18/1906 | Change of use of land from former factory site (use class B1) to lorry park (sui generis).,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0024,"Oak House, Rivermead Drive, Swindon",-1.830491,51.5782,https://pa1.swindon.gov.uk/publicaccess/,2.52,not owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,0,0,yes,s0024 - s0024 | No Recent Planning History,2018-12-31,2020-12-23,
,http://opendatacommunities.org/id/unitary-authority/swindon,,s0070,Nythe Complex,-1.792698,51.568885,https://pa1.swindon.gov.uk/publicaccess/,0.93,owned by a public authority,,not permissioned,,,https://pa1.swindon.gov.uk/publicaccess/,,35,35,,s0070 - s0070 | No Recent Planning History,2018-12-31,2020-12-23,
