point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/13/00317,YACHT HAVEN DEVELOPMENT SITE COPSE LAND HAYLING ISLAND,-0.966525,50.811262,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_229891,2.9,not owned by a public authority,,permissioned,full planning permission,2015-11-27,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_42111_1,6,6,6,yes,ERECTION OF 6NO. 5 BED HOUSES. 2NO. BOAT STORES AND COASTAL IMPROVEMENTS.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/14/00043,REAR OF 13-21 MENGHAM ROAD HAYLING ISLAND,-0.975659,50.788195,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_231834,0.07,not owned by a public authority,,permissioned,full planning permission,2014-07-24,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_65803_1,7,7,7,yes,ERECTION OF 2 STOREY BLDG CONTAINING 7NO. 1 AND 2 BED FLATS WITH ACCESS FROM ELM GROVE.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/14/00576,9 EAST STREET HAVANT,-0.980808,50.851523,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_232898,0.05,not owned by a public authority,,permissioned,full planning permission,2015-04-10,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_1917_1,11,11,11,yes,DEMO OF EXISTING A2 PROPERTY AND OUTBLDGS. ERECTION OF 4 STOREY BLDG COMPRISING 8NO. 1 BED AND 3NO. 2 BED FLATS.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/10/00992,44-54 WEST STREET HAVANT,-0.984037,50.851991,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_57061,0.13,not owned by a public authority,,permissioned,full planning permission,2011-02-25,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_61971_1,14,14,14,yes,DEMOLITION OF EXISITING BUILDINGS AND ERECTION OF 14NO FLATS AND 650SQM OF RETAIL,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/15/00303,FORMER OAK PARK SCHOOL LEIGH ROAD LEIGH PARK,-0.977798,50.85923,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_234893,1.96,,,permissioned,full planning permission,2015-12-18,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,99,179,179,yes,"80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48NO. AFFORDABLE AND PRIVATE SUPPORTED LIVING FLATS",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00156,EASTLEIGH HOUSE BARTONS ROAD HAVANT,-0.961663,50.86603,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_239274,0.79,not owned by a public authority,,permissioned,full planning permission,2017-01-27,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_48913_1,9,9,9,yes,9NO. DWELLINGS AND CONTINUED USE OF EASTLEIGH HOUSE AS B1(A) OFFICES. DEMOLITION OF OUTBUILDINGS TO REAR,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/15/01425,FORMER WESSEX SITE NEW LANE HAVANT,-0.97665,50.854562,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_237016,0.33,not owned by a public authority,,permissioned,full planning permission,2016-07-07,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_42923_1,41,41,41,yes,RESIDENTIAL DEVELOPMENT OF 41NO. 1 AND 2 BED APARTMENTS,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/14/01225,MARKET PARADE DEVELOPMENT SITE MARKET PARADE HAVANT,-0.981453,50.853884,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_234125,0.21,mixed ownership,,permissioned,outline planning permission,2016-08-19,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_70355_1,130,130,130,yes,(OUTLINE) DEMO OF EXISTING BUILDINGS AND ERECTION OF 130NO. FLATS AND 1126M2 OF COMMERCIAL/RETAIL SPACE AT GF,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/15/00896,38-44 LAND AT LONDON ROAD WATERLOOVILLE,-1.044285,50.867248,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_236053,0.39,not owned by a public authority,,permissioned,full planning permission,2016-08-25,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_62322_1,42,42,42,yes,DEMO OF EXISTING BLDGS AND ERECTION OF 42NO. RETIREMENT APARTMENTS AND 2NO. COMMERCIAL/RETAIL UNITS,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/16/00859,2-4 PARK PARADE LEIGH PARK,-0.983358,50.866905,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_238828,0.04,not owned by a public authority,,permissioned,full planning permission,2016-12-16,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_38122_1,6,6,6,yes,"COU PART GF INTO 2NO. A1/A2/A3 MIXED USE, PART GF INTO 1NO. 2 BED FLAT, CONV AT 2F TO FORM 2NO. 2 BED AND 2NO. 3BED FLATS",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/16/00963,81C THE CLOCK HOUSE LONDON ROAD WATERLOOVILLE,-1.032839,50.879249,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_239030,0.26,not owned by a public authority,,permissioned,full planning permission,2017-03-31,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2809_1,30,30,30,yes,REDEV TO PROVIDE 19NO. 1 BED AND 11NO. 2 BED FLATS WITH COMMERCIAL UNIT AT GF. 3F EXTN TO PRINCIPAL FRONTAGE BLDG.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/16/00921,"DOLPHIN QUAY, QUEEN STREET EMSWORTH",-0.933265,50.84635,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_238943,0.13,not owned by a public authority,,permissioned,full planning permission,2018-12-13,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_52589_1,6,6,6,yes,"Demolition of the single storey shop, two-storey office building and associated outbuildings. Erection of 4No. houses (3x 3No. bedrooms and 1x 2No. bedrooms) fronting onto Queen Street and associated parking and erection of 2No. detached dwellings (4No. bedrooms) fronting onto to the Mill Pond with associated parking and access from Queen Street. (13.12.18). Request to discharge condition No.s 3,4,6,10 and 13. (31.01.19). Request to discharge condition No. 7 (25.02.19). Request to discharge condition No. 5 (20.3.19). Request to discharge condition nos 15 and 17 (12.7.19). Request to discharge condition nos 6, 7 and 17 (27.2.2020).",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/18/00897,"15 LANGSTONE ROAD, HAVANT",-0.983686,50.845262,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_244417,0.3,not owned by a public authority,,permissioned,full planning permission,2018-12-07,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_35953_1,8,9,9,yes,"The demolition of an existing dwelling and construction of 9No. 2 bedroom flats; including associated access, landscaping and parking",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/17/01088,"THE WHITE HART, 1 EAST STREET, HAVANT",-0.981279,50.851446,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_246262,0.02,not owned by a public authority,,permissioned,full planning permission,2019-08-15,https://planningpublicaccess.havant.gov.uk/online-applications/propertySearchResults.do?action=firstPage,5,5,5,yes,Variation of Condition 2 of Planning Permission APP/17/01088 to account for the as built variations requested by Building Inspector.,2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/17/00694,"11 EAST STREET, HAVANT",-0.98074,50.851369,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_241216,0.12,not owned by a public authority,,permissioned,full planning permission,2017-09-08,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_36393_1,6,6,6,yes,Demolition of existing buildings and erection of 6 no. town houses with associated access and car parking.,2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/17/00061,"5-7 EAST STREET, HAVANT",-0.981038,50.851381,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_239862,0.04,not owned by a public authority,,permissioned,full planning permission,2017-04-26,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_37565_1,9,9,9,yes,"Demolition of existing retail units and erection of part 4-storey, part 5-storey building with 9no. flats (3no. 1-bed and 6no. 2-bed); cycle and refuse store (Approved 26/04/2017). Request to Discharge Conditions 3, 4, 8, 9, 10, 11, 12 & 13 (26.01.2018).",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/17/00529,"380 SEA FRONT, HAYLING ISLAND",-1.000472,50.788213,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_240860,0.44,not owned by a public authority,,permissioned,full planning permission,2017-11-29,https://planningpublicaccess.havant.gov.uk/online-applications/propertySearchResults.do?action=firstPage,13,13,13,yes,"Erection of 13 residential apartments including parking and landscaping following demolition of existing building (Approved 29/11/2017). Request to Discharge Conditions 8 and 11 (Condition No 8 25/01/2018). Request to Discharge Conditions 4, 6, 13, 15, 16 and 18 (02.02.2018).Request to Discharge Condition No.s 14 and 17 (23.02.18). Request to Discharge Condition 3 (09.03.2018).",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00722,"WARD COURT, 65 SEA FRONT, HAYLING ISLAND",-0.99307,50.786072,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_246483,0.4,not owned by a public authority,,permissioned,full planning permission,2019-12-09,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_1429_1,5,5,5,yes,"Form 5 no. 2 bed flats at roof level and provide new cladding and render finish to existing building. [Note: Grampian Condition applies, contact LPA for details]",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/17/01042,"THE ROTUNDA, NORTHNEY MARINA, HAYLING ISLAND",-0.969475,50.833321,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_241931,0.43,not owned by a public authority,,permissioned,other,2017-11-30,https://planningpublicaccess.havant.gov.uk/online-applications/propertySearchResults.do?action=firstPage,21,21,21,yes,"Prior notification for change of use from class B1(a) office use to C3 residential use subject to prior approval covering flooding, highways and transport issues and contamination.",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00324,"5-7 STATION ROAD, HAYLING ISLAND",-0.988638,50.790287,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_245769,0.13,not owned by a public authority,,permissioned,full planning permission,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_65182_1,19,19,19,yes,Demolition of existing dwelling and business units and construction of a 2/3 storey building to provide 19 flats and 2 commercial units with vehicle and bicycle parking and a bin store.,2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00060,"71 FORESTSIDE AVENUE, LEIGH PARK",-0.973016,50.870591,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_245276,0.06,not owned by a public authority,,permissioned,full planning permission,2019-10-16,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_47613_1,5,5,5,yes,"Addition of a second storey; internal alterations and revised fenestration to create 1 No. studio flat, 2 No. 1 bed flats and 2 No. 2 bed flats with associated refuse facilities, cycle storage and parking. [Note: Grampian Condition applies, contact LPA for details]",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00394,"157 MILTON ROAD, WATERLOOVILLE, COWPLAIN",-1.032634,50.893276,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_245880,0.09,not owned by a public authority,,permissioned,full planning permission,2019-11-08,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_21423_1,9,9,9,yes,"Erection of 9 No. 2 bed flats in two blocks with associated parking, boundary treatment, landscaping, cycle and refuse storage (08.11.19). Request to discharge conditions 3,5 and 18 (19.12.19). [Note: Grampian Condition applies, contact LPA for details]",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/19/00533,"FERNWOOD HOUSE, 45-47 LONDON ROAD, WATERLOOVILLE",-1.019485,50.893814,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_246108,0.16,not owned by a public authority,,permissioned,other,2019-12-02,https://planningpublicaccess.havant.gov.uk/online-applications/propertySearchResults.do?action=firstPage,8,8,8,yes,"Prior notification for change of use of first floor from class B1(a) office use to C3 residential use (8No 1 bed flats) subject to prior approval covering flooding, highways and transport issues and contamination.",2021-01-21,2021-01-21,
,http://opendatacommunities.org/id/district-council/havant,Havant Borough Council,APP/18/00530,"NORTH STREET ARCADE, 1-3 NORTH STREET",-0.98095,50.853475,https://planningpublicaccess.havant.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=DCAPR_243677,0.15,not owned by a public authority,,permissioned,full planning permission,2019-12-13,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_70498_1,21,21,21,yes,"Construction of 21No. one and two bed apartments in a 2 storey extension fronting onto Prince George Street, together with the provision of infill flexible use (Classes A1/A2/A3) commercial floorspace to North Street frontage, following the demolition of existing 1 and 2 storey retail development to rear. [Note: Grampian Condition applies, contact LPA for details]",2021-01-21,2021-01-21,
