point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR28,"Aviemore, 65 Lower Road, Chorleywood",-0.517654,51.652944,http://www.planvu.co.uk/trdc/,0.2,not owned by a public authority,,permissioned,full planning permission,2019-10-24,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PN7SZSQFME300&activeTab=summary,6,6,7,yes,Demolition of existing detached bungalow and garage and erection of a two storey detached building with further accommodation in the roofspace containing 7 apartments,2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR29,"Scotsbridge House, Scots Hill, Croxley Green",-0.46124,51.643784,http://www.planvu.co.uk/trdc/,0.17,not owned by a public authority,,permissioned,full planning permission,2020-10-16,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PXCJJ5QFGKG00&activeTab=summary|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PFX17EQF0CU00&activeTab=summary,30,30,59,yes,"18/1988/PDR - full planning permission, granted 2018-11-23. Demolition of offices and erection of new development of 59 flats with underground parking (matters of appearance and landscaping reserved) | Prior Approval: Proposed change of use from Use Class B1 (Office) to Use Class C3 (Residential) to form 30 residential units",2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR30,"36 Eastbury Avenue, Northwood",-0.413808,51.616383,http://www.planvu.co.uk/trdc/,0.03,not owned by a public authority,,permissioned,full planning permission,2019-05-16,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PBA3H5QFKF000&activeTab=summary,9,9,9,yes,"Demolition of existing buildings and redevelopment to provide a total of 9 self-contained apartments within a three storey building including accommodation in roof space and basement car parking, a revised vehicular access, landscaping and associated development",2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR31,"34 Eastbury Avenue, Northwood",-0.414108,51.616477,http://www.planvu.co.uk/trdc/,0.03,not owned by a public authority,,permissioned,full planning permission,2019-08-28,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PSCWVLQFFKV00&activeTab=summary,7,7,7,yes,Demolition of existing dwelling and erection of 7 apartments with basement parking,2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR32,"Three Acres, Toms Lane, Kings Langley",-0.439459,51.715324,http://www.planvu.co.uk/trdc/,0.22,not owned by a public authority,,permissioned,full planning permission,2017-11-17,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=OVLA5PQFHRT00&activeTab=summary,3,3,7,yes,Permission for net gain of 3 dwellings. Potential to increase density on brownfield part of site. Site put forward to Call for Sites (CFS2). Demolition of existing dwelling and builders yard buildings and redevelopment of the site with four detached dwellings and associated gardens and car parking with access to the dwellings via existing entrance to the site from Toms Lane,2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR33,"Garages, The Garth, Abbots Langley",-0.429417,51.696406,http://www.planvu.co.uk/trdc/,0.04,not owned by a public authority,,permissioned,full planning permission,2020-02-11,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=Q2E3MUQFHIR00,4,4,5,yes,"Permission for net gain of 4 dwellings. Potential to increase density on brownfield part of site.. Demolition of existing garages and erection of two, two storey buildings each consisting of two, two bedroom flats with associated parking and landscaping and change of use of grass verge opposite and additional parking by junction with Long Elms",2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR34,"24 Denham Way and land to rear of, Maple Cross",-0.509511,51.625757,http://www.planvu.co.uk/trdc/,0.34,not owned by a public authority,,not permissioned,,,,12,12,17,yes,Site put forward to Call for Sites (CFS31),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR35,"Heath House, Rickmansworth Road, Chorleywood",-0.502706,51.65823,http://www.planvu.co.uk/trdc/,0.1,not owned by a public authority,,not permissioned,,,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=PQ3FGWQFMWO00&activeTab=summary,5,5,10,yes,Application for redevelopment of existing dwelling into 10 apartments withdrawn in 2019. Site put forward to Call for Sites (ACFS1),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR36,"Flowerhouse, Station Road, Kings Langley",-0.438917,51.706271,http://www.planvu.co.uk/trdc/,0.13,not owned by a public authority,,not permissioned,,,,7,7,10,yes,Site put forward to Call for Sites (ACFS8a),2020-12-01,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR37,"Bedmond Road, Abbots Langley",-0.416334,51.712632,http://www.planvu.co.uk/trdc/,0.44,not owned by a public authority,,not permissioned,,,,9,9,13,yes,Site put forward to Call for Sites (ACFS9d),2020-12-01,2020-12-01,
