point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-045,York Central Leeman Road,-1.094592,53.95952,https://www.york.gov.uk/downloads/download/4172/brownfield_register,35,not owned by a public authority,,,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,1700,1700,1700,yes,"See planning application: 18/01884/OUTM The associated reserved matters application 20/00710/REMM is currently pending consideration.. Outline planning application with all matters reserved primarily comprising up to 2,500 homes (Class C3). This is a draft housing allocation site (ST5)",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-047,"Castle Mills Car Park, Piccadilly, York",-1.077239,53.955272,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.27,owned by a public authority,,,other,,,108,108,108,yes,"Not permissioned, however, application 19/02415/FULM for 106 Apartments submitted by CYC in November 2019 and is currently pending consideration. Agreed by CYC Executive for residential development at April 2018 meeting",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-048,"Site Of 17 To 21, Piccadilly, York",-1.077525,53.956803,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.11,owned by a public authority,,,other,,,23,23,23,yes,not permissioned N.B. This site has temporary mixed use consent through 17/00274/FUL - a more recent application 20/00561/FUL varied condition 2 of this consent and extended the duration of permission to 31.03.2022.. Agreed by CYC Executive for residential development at April 2018 meeting.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-025c,Hungate Development Site (Block D),-1.075113,53.959076,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.37,not owned by a public authority,,permissioned,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,196,196,196,yes,"See planning application: 18/02946/FULM. Erection of a residential apartment block, landscaping and associated works (Block D) (196 Apartments).",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-025b,Hungate Development Site (Block H),-1.075113,53.959076,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.73,not owned by a public authority,,permissioned,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,179,179,179,yes,"See planning application: 15/01709/OUTM N.B. Block F (101 units) now complete. Outline consent for Blocks G (see BR-026 for Reserved matters approval) and H (179 homes TBC) for either C3/C2 and flexible commercial uses. Full application for Block D (186 homes); and Block F (101homes), community centre and multi-storey car park",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-051,Macmillan Cancer Relief Hamilton House 3 Fawcett Street,-1.075741,53.953409,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.04,not owned by a public authority,,,other,,,9,9,9,yes,See planning application: 19/00129/ORC. N.B. This proposal may not proceed as the tennants have recently agreed a new lease for continued use.. Proposed change of use from offices to 9 no. flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-052,Z Curry & Sons Ltd Workshop R/O 2 Hawthorne Street,-1.068734,53.963566,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.09,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,10,10,10,yes,See planning application: 19/01328/FUL. Variation of condition 2 of permitted application 19/00075/FUL to allow additional flat within massing of approved building.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-024b,The Cocoa Works Haxby Road (Phase II),-1.080091,53.974565,https://www.york.gov.uk/downloads/download/4172/brownfield_register,4.7,not owned by a public authority,,,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,425,425,425,yes,"18/01011/OUTM Approved at November 15th 2018 Planning Committee - Decision Notice issued on 18th February 2020. This is a draft housing allocation site (Part of ST17) Outline planning application with all matters reserved except for means of access for a mix of uses including 425no. dwellings, offices, retail, a crèche and community uses",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-037,British Sugar Corporation Ltd Plantation Drive (CYC Boundary),-1.179833,51.202792,https://www.york.gov.uk/downloads/download/4172/brownfield_register,38.64,not owned by a public authority,,,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,1100,1100,1100,yes,"See planning application: 15/00524/OUTM. Outline application for the development of the site comprising up to 1,100 residential units, community uses (D1/D2) and new public open space with details of access and demolition of the Former Manor School buildings. This is a draft housing allocation",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-053,62 Balmoral Terrace,-1.088824,53.945339,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.03,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,7,7,7,yes,See planning application 19/01424/FUL. Proposed change of use from retail (use class A1) to no. 7 apartments (use class C3).,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-054,Rougier House 5 Rougier Street,-1.087236,53.958755,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.03,not owned by a public authority,,,other,,,10,10,10,yes,See planning application 19/02401/ORC. Proposed change of use from offices to 10 no. flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-055,Northern House Rougier Street,-1.087477,53.958901,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.22,not owned by a public authority,,,other,,,58,58,58,yes,See planning application 19/02402/ORC. Proposed change of use from offices to 58 no. flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-056,Priory Hotel 126-128 Fulford Road,-1.074909,53.949682,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.1,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,7,7,7,yes,See planning application 18/01308/FUL. Conversion of guest house to 7no. residential units.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-057,Frederick House Fulford Road,-1.073616,53.94685,https://www.york.gov.uk/downloads/download/4172/brownfield_register,1,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,232,232,232,yes,"See planning application 19/00603/FULM. Erection of 6no. purpose-built 4 storey student accommodation buildings (providing 368 bedrooms/232 cluster flats), associated change of use of and alterations to existing 'Guard House' building to multi-amenity use associated with the accommodation.",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-058,Vacant Site Eboracum Way,-1.07076,53.963599,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.236,not owned by a public authority,,,full planning permission,,,62,62,62,yes,"See planning application 19/01467/FULM. Erection of a 5 storey apartment building with basement comprising 62 residential units (Use Class C3), associated car parking and landscaping works.",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-059,Fishers Catering Ltd Unit 4 Thorn Hill Stamford Bridge Road Dunnington,-1.003333,53.958889,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.24,not owned by a public authority,,,full planning permission,,,5,5,5,yes,"See planning application 20/00591/FUL. Conversion of light industrial unit to 5 no. dwellings (Use Class C3) including car parking, landscaping and associated works.",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-060,Dean Court Secure Car Park R/O Portland Street,-1.085172,53.964654,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.067,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,9,9,9,yes,See planning application 20/00505/FUL. Erection of two storey block of 9no. apartments with associated cycle and refuse stores. Part retention of existing car park.,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-061,Overland Underwater Fawcett House 201 Acomb Road,-1.120046,53.956007,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.05,not owned by a public authority,,,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,6,6,6,yes,"See planning application 19/02099/FUL. Conversion of ground floor retail (A1) and first floor flat, two storey rear extension and 2no. dormers to side resulting in 7no. Flats",,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-062,Puss N Boots 81 Hamilton Drive,-1.107754,53.951422,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.117,not owned by a public authority,,,outline planning permission,,https://www.york.gov.uk/SearchPlanningApplications,5,5,5,yes,See planning application 20/00284/OUT. Outline application for erection of 5 dwellings following demolition of public house,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-063,Duncombe Barracks Burton Stone Lane,-1.089224,53.970329,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.66,owned by a public authority,,,other,,,34,34,34,yes,This site forms part of City of York Councils Housing Delivery Programme - planning application 20/01902/FULM pending consideration at December 2020.. Erection of 34 dwellings (Use class C3) N.B. This site forms part of the City of York Council's Housing Delivery Programme,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-064,Hospital Fields Road and Ordnance Lane,-1.076564,53.945812,https://www.york.gov.uk/downloads/download/4172/brownfield_register,1.29,owned by a public authority,,,other,,,105,105,105,yes,This site forms part of City of York Councils Housing Delivery Programme - submission of planning application is imminent. This site forms part of the City of York Council's Housing Delivery Programme,,2020-12-18,
,http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-024a,The Cocoa Works Haxby Road (Phase I),-1.07857,53.974409,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2.35,not owned by a public authority,,permissioned,full planning permission,,https://www.york.gov.uk/SearchPlanningApplications,279,279,279,yes,See planning application: 17/00284/FULM and 19/01509/FULM. Application 19/01509/FULM approved for variation of condition 2 of permitted application 17/00284/FULM to make the following changes - increase the number of dwellings from 258 to 279; change the mix of dwellings; changes to the external appearance of th,,2020-12-18,
