row-number,field,issue-type,value
47,OrganisationURI,opendatacommunities-uri,
47,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
48,OrganisationURI,opendatacommunities-uri,
48,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
49,OrganisationURI,opendatacommunities-uri,
49,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
50,OrganisationURI,opendatacommunities-uri,
50,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
51,OrganisationURI,opendatacommunities-uri,
51,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
52,OrganisationURI,opendatacommunities-uri,
52,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
53,OrganisationURI,opendatacommunities-uri,
53,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
54,OrganisationURI,opendatacommunities-uri,
54,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
55,OrganisationURI,opendatacommunities-uri,
55,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
56,OrganisationURI,opendatacommunities-uri,
56,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
57,OrganisationURI,opendatacommunities-uri,
57,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
58,OrganisationURI,opendatacommunities-uri,
58,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
59,OrganisationURI,opendatacommunities-uri,
59,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
60,OrganisationURI,opendatacommunities-uri,
60,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
61,OrganisationURI,opendatacommunities-uri,
61,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
62,OrganisationURI,opendatacommunities-uri,
62,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
63,OrganisationURI,opendatacommunities-uri,
63,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
64,OrganisationURI,opendatacommunities-uri,
64,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
65,OrganisationURI,opendatacommunities-uri,
65,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
66,OrganisationURI,opendatacommunities-uri,
66,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
67,OrganisationURI,opendatacommunities-uri,
67,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
68,OrganisationURI,opendatacommunities-uri,
68,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
69,OrganisationURI,opendatacommunities-uri,
69,PermissionDate,date,2017-02-29
69,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
70,OrganisationURI,opendatacommunities-uri,
70,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
71,OrganisationURI,opendatacommunities-uri,
71,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
72,OrganisationURI,opendatacommunities-uri,
72,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
73,OrganisationURI,opendatacommunities-uri,
73,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
74,OrganisationURI,opendatacommunities-uri,
74,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
75,OrganisationURI,opendatacommunities-uri,
75,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
76,OrganisationURI,opendatacommunities-uri,
76,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
77,OrganisationURI,opendatacommunities-uri,
77,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
78,OrganisationURI,opendatacommunities-uri,
78,NetDwellingsRangeTo,integer,`5
78,NetDwellingsRangeTo,default,5
78,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
79,OrganisationURI,opendatacommunities-uri,
79,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
80,OrganisationURI,opendatacommunities-uri,
80,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
81,OrganisationURI,opendatacommunities-uri,
81,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
82,OrganisationURI,opendatacommunities-uri,
82,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
83,OrganisationURI,opendatacommunities-uri,
83,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
84,OrganisationURI,opendatacommunities-uri,
84,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
85,OrganisationURI,opendatacommunities-uri,
85,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
86,OrganisationURI,opendatacommunities-uri,
86,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
87,OrganisationURI,opendatacommunities-uri,
87,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
88,OrganisationURI,opendatacommunities-uri,
88,OrganisationURI,default,http://opendatacommunities.org/id/unitary-authority/bedford
