row-number,field,issue-type,value
49,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,920.65', '402,682.36']"
50,LastUpdatedDate,default,2014-12-01
50,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,156.59', '399,831.90']"
51,LastUpdatedDate,default,2017-11-20
51,"GeoX,GeoY",Failed to convert point to decimal %s,"['369,141.42', '403,017.16']"
52,LastUpdatedDate,default,2017-11-20
52,"GeoX,GeoY",Failed to convert point to decimal %s,"['366,304.66', '399,733.37']"
53,LastUpdatedDate,default,2017-11-20
53,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,645.44', '403,685.60']"
54,LastUpdatedDate,default,2017-11-20
54,"GeoX,GeoY",Failed to convert point to decimal %s,"['361,742.23', '404,653.82']"
55,LastUpdatedDate,default,2017-11-20
55,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,061.79', '403,510.87']"
56,LastUpdatedDate,default,2017-11-20
56,"GeoX,GeoY",Failed to convert point to decimal %s,"['356,889.48', '401,833.48']"
57,LastUpdatedDate,default,2017-11-20
57,"GeoX,GeoY",Failed to convert point to decimal %s,"['364,916.72', '402,533.36']"
58,LastUpdatedDate,default,2017-11-20
58,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,263.90', '403,864.94']"
59,LastUpdatedDate,default,2017-11-20
59,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,260.51', '401,129.51']"
60,LastUpdatedDate,default,2017-11-20
60,"GeoX,GeoY",Failed to convert point to decimal %s,"['366,206.08', '400,056.50']"
61,LastUpdatedDate,default,2017-11-20
61,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,081.75', '406,641.62']"
62,LastUpdatedDate,default,2017-11-20
62,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,706.72', '405,459.73']"
63,LastUpdatedDate,default,2017-07-31
63,"GeoX,GeoY",Failed to convert point to decimal %s,"['362,358.74', '396,800.87']"
64,LastUpdatedDate,default,2017-07-31
64,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,511.14', '407,594.30']"
65,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,494.55', '406,080.52']"
66,LastUpdatedDate,default,2017-07-31
66,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,346.53', '400,024.56']"
67,"GeoX,GeoY",Failed to convert point to decimal %s,"['357,207.59', '404,161.43']"
68,LastUpdatedDate,default,2017-07-31
68,"GeoX,GeoY",Failed to convert point to decimal %s,"['372,262.41', '402,004.67']"
69,LastUpdatedDate,default,2017-07-31
69,"GeoX,GeoY",Failed to convert point to decimal %s,"['369,000.85', '400,849.34']"
70,LastUpdatedDate,default,2017-07-31
70,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,456.84', '400,987.92']"
71,LastUpdatedDate,default,2017-07-31
71,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,452.54', '406,938.46']"
72,"GeoX,GeoY",Failed to convert point to decimal %s,"['360,659.41', '406,390.02']"
73,LastUpdatedDate,default,2017-07-31
73,"GeoX,GeoY",Failed to convert point to decimal %s,"['363,846.26', '402,234.22']"
74,LastUpdatedDate,default,2017-07-31
74,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,303.15', '400,262.10']"
75,LastUpdatedDate,default,2017-07-31
75,"GeoX,GeoY",Failed to convert point to decimal %s,"['367,280.98', '403,515.28']"
76,LastUpdatedDate,default,2017-07-31
76,"GeoX,GeoY",Failed to convert point to decimal %s,"['359,326.58', '404,544.76']"
77,LastUpdatedDate,default,2017-07-31
77,"GeoX,GeoY",Failed to convert point to decimal %s,"['358,142.67', '406,237.28']"
78,LastUpdatedDate,default,2017-07-31
78,"GeoX,GeoY",Failed to convert point to decimal %s,"['365,706.54', '400,212.99']"
79,LastUpdatedDate,default,2017-07-31
