site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
,,,2019-12-13,,,,,Outline planning application for up to 40 dwellings (2018/0045) granted in October 2018 subject to the signing of the s106.,local-authority-eng:GED,,,,,,POINT(-1.082693 52.961695),6\7,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C7,2017-04-01
,,,2019-12-13,,,,,The site is allocated in the Local Planning Document (site H1).,local-authority-eng:GED,,,,,,POINT(-1.116093 53.003151),6\18,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C18,2017-04-01
,,,2019-12-13,,,,,The site is allocated in the Local Planning Document (site H13).,local-authority-eng:GED,,,,,,POINT(-1.180971 53.020485),6\20,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C20,2017-04-01
,,,2019-12-13,,,,,The site is allocated in the Local Planning Document (site H2). Outline planning application (2017/0155) for up to 32 homes on part of the site (to the rear of Brookfields Garden Centre) granted in October 2018 subject to the signing of the s106.,local-authority-eng:GED,,,,,,POINT(-1.102291 53.004843),6\49,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C49,2017-04-01
,,2017-12-19,2019-12-13,,,,,Site built in December 2017.,local-authority-eng:GED,,,,,,POINT(-1.175971 53.022213),6\73,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C73,2017-04-01
,,,2019-12-13,,,,,The site has full planning permission for 6 homes (2004/1471). Information from the SHLAA 2018 consultation states that the foundations to the garages have been laid and further work on the site has not yet proceeded.,local-authority-eng:GED,,,,,,POINT(-1.081316 53.041728),6\154,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C154,2017-04-01
,,,2019-12-13,,,,,Planning permission (2006/0202) for 3 dwellings lapsed in April 2009. Information from the SHLAA 2019 consultation indicates that the Council are still working on proposals to redevelop the site for social housing.,local-authority-eng:GED,,,,,,POINT(-1.085946 52.967507),6\209,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C209,2017-04-01
,,2017-12-06,2019-12-13,,,,,Site built in December 2017.,local-authority-eng:GED,,,,,,POINT(-1.225328 53.069804),6\216,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C216,2017-04-01
,,,2019-12-13,,,,,Full planning permission for residential development (2017/0157) granted in October 2017.,local-authority-eng:GED,,,,,,POINT(-1.087858 52.974199),6\229,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C229,2017-04-01
,,,2019-12-13,,,,,Construction work delayed on site (2008/0287). Full planning application to vary condition 12 of 2008/0287 for minor changes and amend previously agreed s106 planning obligation (2016/0347) was refused in December 2018. Appeal allowed in June 2019.,local-authority-eng:GED,,,,,,POINT(-1.092242 52.956599),6\260,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C260,2017-04-01
,,,2019-12-13,,,,,The site is allocated in the Local Planning Document (site X1).,local-authority-eng:GED,,,,,,POINT(-1.139637 52.999922),6\477,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C477,2017-04-01
,,,2019-12-13,,,,,The site is allocated in the Local Planning Document (site X2). Full planning permission for 72 homes (2016/0854) granted in December 2018.,local-authority-eng:GED,,,,,,POINT(-1.13259 53.014719),6\479,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C479,2017-04-01
,,,2019-12-13,,,,,The site is on brownfield land within the Green Belt. The site is part of a ribbon development on Wighay Road.,local-authority-eng:GED,,,,,,POINT(-1.207666 53.052312),6\535,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C535,2019-04-01
,,,2019-12-13,,,,,The site is on brownfield land within the Green Belt and located close to but not immediately adjacent to Calverton village. The capacity of the site needs to accord with Policy LPD 33 of the Local Planning Document.,local-authority-eng:GED,,,,,,POINT(-1.083636 53.047507),6\588,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C588,2018-04-01
,,,2019-12-13,,,,,The site is part of a site allocated for residential development in the Local Planning Document (site H16) together with other non-brownfield sites. Full planning application for 20 bungalows is currently being determined (2018/0817).,local-authority-eng:GED,,,,,,POINT(-1.098787 53.044703),6\662,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C662,2017-04-01
,,2018-08-28,2019-12-13,,,,,Site built in August 2018.,local-authority-eng:GED,,,,,,POINT(-1.089723 53.039315),6\686,http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C686,2017-04-01
