site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Haulage Depot, St Thomas's Road",yes,,2020-12-14,,0.4,15,15,Haulage Depot. Allocated in the Local Plan. Completions expected on site within 5 years.,,not owned by a public authority,,,not permissioned,,POINT(-2.911731 53.502805),UT019,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Former reservoirs off, Land at Bridge End, Macclesfield Road",yes,,2020-12-14,,1.1,11,11,Reserved Matters granted March 2018. Completions expected on site within 5 years,,not owned by a public authority,2018-03-15,,permissioned,full planning permission,POINT(-2.040834 53.113255),LE071A,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Kniveden Hall and Springhill, Mount Road",,,2020-12-14,,3.5,50,50,Care home in wooded grounds,,owned by a public authority,,,not permissioned,,POINT(-2.00214 53.106466),LE066,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Portland Mill, Portland Street",yes,31/10/2019,2020-12-14,,0.46,49,49,Retirement apartments - now complete,,not owned by a public authority,2017-08-30,,permissioned,full planning permission,POINT(-2.016988 53.107076),LE073,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Site of former, Meadows School, Tunstall Road",yes,,2020-12-14,,0.66,20,20,Former school now derelict. Pending planning application. Completions expected on site within 5 years,,owned by a public authority,,,not permissioned,other,POINT(-2.179966 53.387526),BD055,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Minster Mill, Walley Street",yes,,2020-12-14,,0.28,42,42,Underused retail & employment site. Allocated in the Local Plan. Completions expected on site within 5 years,,not owned by a public authority,,,not permissioned,,POINT(-2.175088 53.11876),BD102,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Hurst Yard, Meadow Drive / Bank Street",yes,26/02/2019,2020-12-14,,0.95,42,42,Now complete - all social rented.,,not owned by a public authority,2015-02-27,,permissioned,full planning permission,POINT(-1.989264 52.985185),CH014,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Stoddards Depot, Leek Road",yes,,2020-12-14,,0.8,32,32,Coach Depot and Oil Depot Yard. Allocated in the Local Plan. Completions expected on site within 5 years,,not owned by a public authority,,,not permissioned,,POINT(-1.986105 52.990209),CH015,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Land north of, The Green",yes,,2020-12-14,,1.2,42,42,Mixed Use Site. Allocated in the Local Plan. Planning application on part of site pending consideration. Completions expected on site within 5 years,,not owned by a public authority,,,not permissioned,other,POINT(-2.005827 52.984133),CH020,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Compton Mill, Compton Street",yes,,2020-12-14,,0.36,57,57,Planning permission for apartments age 55+ with care,,not owned by a public authority,2017-11-19,,permissioned,full planning permission,POINT(-2.02444 53.103578),LE151,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
"Big Mill, Mill Street",,,2020-12-14,,0.63,44,44,"Shade and Davenport Mill now converted, Big Mill part not started",,not owned by a public authority,2004-08-08,,permissioned,full planning permission,POINT(-2.032419 53.107558),LE088,https://www.staffsmoorlands.gov.uk/brownfield-land.csv,2017-01-12,
