name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR225-17,"Former Connaught Barracks, Dover Road, Guston, CT16 1HL, Former Connaught Barracks, Dover (Officers' Mess)",yes,,2017-12-07,,2.38,64,64,Not Started - forms part of a wider allocated site (CP10) in the Core Strategy (2010),local-authority-eng:DOV,not owned by a public authority,2016-07-01,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226317,permissioned,outline planning permission,POINT(1.317323 51.13438),BR225-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR225-17.pdf,2017-12-07,/brownfield-land/local-authority-eng/DOV/BR225-17
BR220-16,"Buckland Paper Mill, Crabble Hill, Dover, Buckland Paper Mill",yes,,2016-06-20,,4,265,265,Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site.,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.293016 51.138567),BR220-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR220-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR220-16
BR227-17,"Land at Salvatori, North and South of Grove Road, Preston, CT3 1EF, Land at Salvatori",yes,,2017-12-18,,5.07,70,70,Under Construction,local-authority-eng:DOV,not owned by a public authority,2015-05-29,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226312,permissioned,reserved matters approval,POINT(1.227322 51.307499),BR227-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR227-17.pdf,2017-12-18,/brownfield-land/local-authority-eng/DOV/BR227-17
BR229-17,"Southern Water Pumping Station, St Richards Road, Deal, Southern Water Pumping Station",yes,,2017-12-18,,0.33,14,14,Not Started,local-authority-eng:DOV,not owned by a public authority,2017-01-17,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_218321,permissioned,full planning permission,POINT(1.383371 51.208137),BR229-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR229-17.pdf,2017-12-18,/brownfield-land/local-authority-eng/DOV/BR229-17
BR233-17,"Ambulance Depot, Winchelsea Road, Dover, CT17 9TT, Ambulance Depot",yes,,2017-12-18,,0.2,9,9,Not Started,local-authority-eng:DOV,not owned by a public authority,2016-06-28,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_219062,permissioned,outline planning permission,POINT(1.300129 51.12463),BR233-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR233-17.pdf,2017-12-18,/brownfield-land/local-authority-eng/DOV/BR233-17
BR238-17,"1 Malvern Road, Dover, 1 Malvern Road",yes,,2017-12-18,,0.12,7,7,Not Started,local-authority-eng:DOV,not owned by a public authority,2016-09-23,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_227838,permissioned,full planning permission,POINT(1.303641 51.124369),BR238-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR238-17.pdf,2017-12-18,/brownfield-land/local-authority-eng/DOV/BR238-17
BR240-17,"Site rear of 162 Folkestone Road, Vale View Road, Dover, CT17 9NP, Rear of 162 Folkestone Road",yes,,2017-12-18,,0.1,6,6,Not Started,local-authority-eng:DOV,not owned by a public authority,2016-12-02,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228028,permissioned,full planning permission,POINT(1.295384 51.124045),BR240-17,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR240-17.pdf,2017-12-18,/brownfield-land/local-authority-eng/DOV/BR240-17
BR249-18,"Land off Ark Lane, Deal, Land off Ark Lane",yes,,2018-11-30,,0.35,41,41,Not Started,local-authority-eng:DOV,not owned by a public authority,2018-01-09,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229229,permissioned,full planning permission,POINT(1.401462 51.229749),BR249-18,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,2018-11-30,/brownfield-land/local-authority-eng/DOV/BR249-18
BR250-18,"Land at 191 and Forge Bungalow, London Road, Temple Ewell, Land at 191 and Forge Bungalow, London Road",yes,,2018-11-30,,0.19,10,10,Under Construction,local-authority-eng:DOV,not owned by a public authority,2016-05-27,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226021,permissioned,full planning permission,POINT(1.267275 51.153286),BR250-18,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,2018-11-30,/brownfield-land/local-authority-eng/DOV/BR250-18
BR251-18,"Land adjoining Mill Field, New Street, Ash, CT3 2BD, Land adjoining Mill Field, New Street",yes,,2018-11-30,,0.36,10,10,Not Started,local-authority-eng:DOV,not owned by a public authority,2016-09-21,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228099,permissioned,full planning permission,POINT(1.287427 51.276034),BR251-18,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,2018-11-30,/brownfield-land/local-authority-eng/DOV/BR251-18
