site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"128 North Walls, Stafford",yes,,2018-09-04,,0.02,3,3,16/24628/FUL - Existing terraces (128-130 North Walls) converted into flats and bedsits (5 units) with new external access stair.,local-authority-eng:STA,not owned by a public authority,2016-11-01,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.112711 52.80695),"128 North Walls, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"69-70 Foregate Street, Stafford",yes,,2017-11-15,,0.13,18,18,18/27848/POR - Prior approval - change of use from offices to residential (18 apartments),local-authority-eng:STA,not owned by a public authority,2015-02-23,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.119794 52.810838),"69-70 Foregate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Areva Fairway, Stafford",yes,,2017-11-15,,1.54,15,15,"15/22735/REM - Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",local-authority-eng:STA,not owned by a public authority,2015-12-02,http://www.staffordbc.gov.uk/planning-public-access,permissioned,reserved matters approval,POINT(-2.090787 52.801674),"Areva Fairway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at Elms Business Centre, Main Road, Great Haywood",yes,,2017-11-15,,0.33,6,6,15/21841/FUL - Residential development (six units) at rear of elms business centre/elms lodge/elms farmhouse including demolition of asbestos clad commercial unit,local-authority-eng:STA,not owned by a public authority,2015-03-31,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.006691 52.802585),"Land at Elms Business Centre, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",yes,,2017-11-15,,0.2,10,10,15/23140/FUL - Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),local-authority-eng:STA,not owned by a public authority,2016-08-24,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.006571 52.802114),"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at Former Carers Centre, Austin Friars, Stafford",yes,,2017-11-15,,0.08,8,8,"15/22789/OUT - Eight apartments, access, drying area, parking and associated works",local-authority-eng:STA,not owned by a public authority,2015-10-27,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,POINT(-2.116556 52.799883),"Land at Former Carers Centre, Austin Friars, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at George Street Press and Car Park, Fancy Walk, Stafford",yes,,2017-11-15,,0.18,20,20,15/22060/FUL - Conversion of Mill building to create twenty two-bedroom apartments with associated car parking,local-authority-eng:STA,mixed ownership,2016-04-11,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.120266 52.815131),"Land at George Street Press and Car Park, Fancy Walk, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at Silkmore Lane, Stafford",yes,,2017-11-15,,0.5,76,76,15/23463/FUL - Residential Care Home (Use Class C2). 76 bedroom units with on-suite facilities.,local-authority-eng:STA,mixed ownership,2016-05-25,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.105833 52.789296),"Land at Silkmore Lane, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land at Yarnfield Park, Yarnfield",yes,,2017-11-15,,2.85,45,45,"15/21721/OUT - The provision of dwellings and associated infrastructure, including parking provision and roads",local-authority-eng:STA,not owned by a public authority,2015-06-11,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,POINT(-2.199392 52.894444),"Land at Yarnfield Park, Yarnfield",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
"Land SCC Development Service Parcel 4, Riverway, Stafford",yes,,2017-11-15,,0.18,15,15,15/23103/FUL - Erection of three storey block of 15 supported living units with associated open space and car parking,local-authority-eng:STA,owned by a public authority,2016-02-03,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,POINT(-2.107118 52.80527),"Land SCC Development Service Parcel 4, Riverway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,2017-11-15
