site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
42 to 45 Nile Street,,,2018-11-30,,0.06,54,54,Permitted application ref. 16/00748/FU4. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2016-12-09,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.376472 54.906179),18,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Eagle Public House, Portsmouth Road",,,2018-11-30,,0.19,9,9,Permitted application ref. 16/00509/FUL,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.441783 54.89645),54,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Site of Foundry (The Forge, Pallion)",,2019-11-30,2018-11-30,,1.32,22,22,Permitted application ref. 17/02370/FUL,local-authority-eng:SND,not owned by a public authority,2016-09-21,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.411003 54.910395),70,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds Central",,,2018-11-30,,1.25,50,45,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.386577 54.912467),080A,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds South",,,2018-11-30,,0.89,70,63,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.384731 54.912772),080B,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds Cliff Top",yes,,2018-11-30,,0.91,80,72,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.385584 54.911051),080C,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Groves Site, Woodbine Terrace, Pallion",,,2018-11-30,,31.21,700,630,Part of Groves Development Framework. Intention for developer to submit planning application for 700 dwellings,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.424707 54.914136),85,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Former Easington Lane Primary School Building,yes,,2018-11-30,,2.95,116,116,Part of Easington Lane Development Framework SPD and Development Brief,local-authority-eng:SND,mixed ownership,2019-05-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.432274 54.805212),86,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Dubmire Primary School, Britannia Terrace",yes,,2019-11-30,,0.30,17,17,Full permission for 17 units: 18/02002/FU4,local-authority-eng:SND,owned by a public authority,2019-04-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.500423 54.842598),87,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"Ayton Village Primary School, Dunlin Drive, Ayton",yes,,2018-11-30,,1.58,40,36,Application Pending for 56 dwellings 19/01484/FU4,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.55298 54.889873),98,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
