site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Old Laundrette, Laundry Road, Filey",,,2017-12-18,,0.18,20,20,The site was previously derelict although there is now a car repair use there (planning application forthcoming April 2017). It remains an option for brownfield housing development and could accommodate circa 20 units on the site.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.28992 54.212202),BR-027,https://tinyurl.com/yacr2osx,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-027
"Land at Carlton Road, Filey",,,2017-12-18,,0.2,12,12,"The site is behind a recently developed apartment scheme. It is shoe-horned in between housing and appears to be in some form of storage use, albeit the buildings are run-down. The site could accommodate a minimum of 12 units on the site, more depending on the form of housing.",local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.294131 54.211255),BR-028,https://tinyurl.com/yantmuky,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-028
"Land at Cleveland Road, Scarborough",,,2017-12-18,,0.5,30,30,The site is in employment use and was identified in the SHELAA as a site that would be appropriate for residential use if it became available. It is unknown if this is deliverable in the short term but if so it could accommodate circa 30 dwellings.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.412059 54.282327),BR-029,https://tinyurl.com/y6us6dxk,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-029
"Land at Melrose Street, Scarborough",,,2017-12-18,,0.6,30,30,14/02177/OL. Demolition of existing premises and construction of retail units and dwellings. Awaiting S106.,local-authority-eng:SCE,not owned by a public authority,,,permissioned,outline planning permission,POINT(-0.409328 54.284242),BR-030,https://tinyurl.com/ybdqm8ov,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-030
"14-15 Queen Street, Scarborough",yes,,2017-12-18,,0.03,9,9,07/01990/FL. Proposed conversion of former auction rooms and offices to 9no flats,local-authority-eng:SCE,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.399002 54.283908),BR-032,https://tinyurl.com/y7yvmvbx,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-032
"Warehouse adjacent to 19/20 Albemarle Crescent, Scarborough",yes,,2017-12-18,,0.09,9,9,10/02272/FL. Extension to time limit relating to application reference 07/01824/FL for the demolition of two dwellings and carpet warehouse and the erection of 24 self contained two bedroomed flats,local-authority-eng:SCE,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.403342 54.282113),BR-033,https://tinyurl.com/y7q53rnc,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-033
"Filey Road Sports Club, Scarborough",yes,,2017-12-18,,2.41,40,40,Site is to be available shortly (Summer 2017) following the opening of the new Weaponness Leisure Village. This site could accommodate a minimum of 40 dwellings in a combination of houses and apartment. This could ne reduced if a suitable mixed scheme was proposed.,local-authority-eng:SCE,owned by a public authority,,,not permissioned,,POINT(-0.399484 54.26591),BR-034,https://tinyurl.com/y8fkd2wd,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-034
"Electricity Building, Filey Road, Gristhorpe (Phase 2)",yes,,2018-01-21,,1.61,40,40,Site is to the south of current permission for residential development and is suitable for further residential development on the footprint of the existing industrial units and hardstanding areas. It is considered the site could accommodate circa 40 units as included in the housing trajectory of the Local Plan.,local-authority-eng:SCE,not owned by a public authority,,,not permissioned,,POINT(-0.330221 54.220587),BR-035,https://tinyurl.com/ybkfgmns,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-035
"Hylands, Filey Road, Scarborough",yes,,2017-12-18,,0.77,27,27,"16/01217/FL. Demolition of Hylands House and garage and erection of 1 no. four storey block of apartments and 2 no. three storey blocks of apartments to create 27 no. new dwellings, with access from Holbeck Hill",local-authority-eng:SCE,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.392419 54.264774),BR-036,https://tinyurl.com/ycaf4zgs,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-036
"Green Gables Hotel, West Bank, Scarborough",yes,,2017-12-18,,0.32,20,20,14/01122/OL. Outline application for demolition of existing hotel and construction of dwellings and apartments and conversion of end terrace property to flats. The proposal is for circa 20 to 25 flats.,local-authority-eng:SCE,not owned by a public authority,,,permissioned,outline planning permission,POINT(-0.418473 54.273657),BR-037,https://tinyurl.com/yblf798w,2017-12-18,brownfield-land/local-authority-eng/SCE/BR-037
