site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Fides House, 10 Chertsey Road, Woking, Surrey",yes,,2020-12-11,,0.02,6,6,Yield from PLAN/2019/0270,local-authority-eng:WOI,not owned by a public authority,2019-05-21,,permissioned,full planning permission,POINT(-0.557 51.319),BLR2020014,http://www.woking2027.info/ldfregisters,2020-12-11,brownfield-land/local-authority-eng/WOI/BLR2020014
"Hallmark House, 10-12 St Johns Road, St Johns, Woking, Surrey, GU21 7SE",yes,,2020-12-11,,0.01,7,7,Yield from PLAN/2019/0856,local-authority-eng:WOI,not owned by a public authority,2019-10-25,,permissioned,full planning permission,POINT(-0.595 51.312),BLR2020015,http://www.woking2027.info/ldfregisters,2020-12-11,brownfield-land/local-authority-eng/WOI/BLR2020015
"21-25 Church Street West, Woking, GU21 6DJ",yes,,2020-12-11,,0.06,19,19,Yield from PLAN/2018/0176,local-authority-eng:WOI,not owned by a public authority,2018-04-03,,permissioned,full planning permission,POINT(-0.563 51.318),BLR2020016,http://www.woking2027.info/ldfregisters,2020-12-11,brownfield-land/local-authority-eng/WOI/BLR2020016
"12-16, 25-31 Portugal Road And, Lok N Store Marlborough Road, Woking, Surrey, GU21 5JE",yes,,2020-12-11,,0.34,67,67,Yield from PLAN/2019/0904,local-authority-eng:WOI,not owned by a public authority,2020-04-07,,permissioned,full planning permission,POINT(-0.551 51.322),BLR2020017,http://www.woking2027.info/ldfregisters,2020-12-11,brownfield-land/local-authority-eng/WOI/BLR2020017
"Edbrooke House, 11-13 St John's Road, St John's, GU21 7SE",,2020-12-10,2020-12-09,,0.04,,,Permission for 5 net additional homes (PLAN/2017/0774) has expired.,local-authority-eng:WOI,not owned by a public authority,,,pending decision,,POINT(-0.595 51.312),NSHLAASJT001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/NSHLAASJT001
"Library, 71 High Road, Byfleet, KT14 7QN",yes,,2020-12-09,,0.13,12,12,Replacement library and community uses also required. Yield from draft Site Allocations DPD.,local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.475 51.339),SHLAABWB012,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB012
"Land at Station Approach, West Byfleet KT14 6NG",yes,,2020-12-09,,0.91,255,208,"Retail, community, office uses also required. The range of dwellings (208 - 255 is in accordance with the outline planning permission).",local-authority-eng:WOI,not owned by a public authority,2017-12-21,,permissioned,outline planning permission,POINT(-0.504 51.338),SHLAABWB022,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB022
"Camphill Club and Scout Hut, Camphill Road, West Byfleet KT14 6EF",,,2020-12-09,,0.38,28,28,Community use (re-provision of existing community facilities) also required. Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.499 51.341),SHLAABWB024,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB024
"1, 3, 5, 7, 9, 11, 13 and 15, Old Woking Road, West Byfleet, KT14 6LW",yes,,2020-12-16,,0.14,5,5,Yield is from SHLAA (2017) (adjusted for partial implementation),local-authority-eng:WOI,not owned by a public authority,,,permissioned,,POINT(-0.504 51.338),SHLAABWB025,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB025
"Globe House, Lavender Park Road, West Byfleet KT14 6ND",,2019-11-28,2020-12-09,,0.08,,,Permission for 6 flats (PLAN/2016/0990) implemented.,local-authority-eng:WOI,not owned by a public authority,2020-06-10,,permissioned,full planning permission,POINT(-0.505 51.339),SHLAABWB027,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB027
"3 Claremont Road, West Byfleet, KT14 6DY",,2020-06-01,2020-12-09,,0.06,,,Permission for 6 dwellings (PLAN/2017/0761) implemented.,local-authority-eng:WOI,not owned by a public authority,2019-09-04,,permissioned,full planning permission,POINT(-0.505 51.34),SHLAABWB032,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAABWB032
"Trizancia House and Woodstead House, 72 Chertsey Road, Woking, GU21 5BJ",yes,,2020-12-09,,0.15,50,50,"Office uses also required (net 4,000 sq.m). Yield from draft Site Allocations DPD.",local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.555 51.322),SHLAACAN001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN001
"The Cornerstone, The Broadway and Elizabeth House, Duke Street, Woking, GU21 5AS",,2020-12-10,2020-12-10,,0.21,,,Permission (PLAN/2019/0645) implemented.,local-authority-eng:WOI,not owned by a public authority,2019-08-27,,permissioned,full planning permission,POINT(-0.555 51.32),SHLAACAN002,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN002
"2-24 and 13-28 Commercial Way and High Street, Woking, GU21 6BW",yes,,2020-12-09,,0.45,50,50,Office uses (net 400 sqm) and retail uses also required. Yield from draft Site Allocations DPD,local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(0.559 51.318),SHLAACAN004,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN004
"1-12 and 26-34 High Street and Commercial Way, Woking GU21 6EN",,,2020-12-09,,0.58,149,149,"Office uses (net 1,600 sqm) and retail uses also required. Yield from draft Site Allocations DPD",local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(-0.558 51.319),SHLAACAN006,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN006
"Regent House, 19-20, The Broadway, Woking, GU21 5AP",,2019-10-18,2020-12-10,,0.04,,,Permission implemented (PLAN/2018/0919),local-authority-eng:WOI,not owned by a public authority,2020-02-20,,permissioned,full planning permission,POINT(-0.555 51.32),SHLAACAN007,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN007
"95-105 Maybury Road, Woking GU21 5JL",,,2020-12-09,,0.81,61,61,Office or alternative employment use compliant with Core Strategy Policy CS5 also required. Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.547 51.323),SHLAACAN011,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN011
"33-35 Portugal Road, Woking, GU21 5JE",,2020-12-11,2020-12-11,,0.32,,,Incorporated into BLR2020017,local-authority-eng:WOI,not owned by a public authority,,,,,POINT(-0.551 51.322),SHLAACAN015,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN015
"Walton Road Youth Centre, Walton Road, Woking GU21 5DL",yes,,2020-12-09,,0.08,31,31,Community use (facility suitable for use by a youth group) also required. PLAN/2017/0241: Consultation from Surrey County Council for prior approval for demolition of existing building on the former Youth Centre. Yield from draft Site Allocations DPD.,local-authority-eng:WOI,owned by a public authority,2017-03-03,,permissioned,other,POINT(-0.553 51.322),SHLAACAN017,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN017
"29-31 Walton Road, Woking, GU21 5DL",yes,,2020-12-09,,0.05,10,10,Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,pending decision,,POINT(-0.553 51.322),SHLAACAN018,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN018
"27 North Road, Woking GU21 5DT",,,2020-12-09,,0.06,7,7,Yield from SHLAA (2017),local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.55 51.325),SHLAACAN020,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN020
"30-32 Woking Railway and Athletic Club, Systems House, Bridge House, Goldsworth Road, Woking, GU21 6JT",,2020-12-10,2020-12-09,,0.72,,,"Incorporated into BLR2020005. Office use (1,500 sq. m net), retail and community uses also required",local-authority-eng:WOI,not owned by a public authority,,,pending decision,,POINT(-0.562 51.317),SHLAACAN027,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN027
"1-7 Victoria Way and 1-29 Goldsworth Road, Woking GU21 6JZ",,2020-12-10,2020-12-09,,0.3,,,"Incorporated into BLR2020005. Office use (1,200 sq.m net) and retail uses also required",local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.562 51.318),SHLAACAN028,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN028
"The Big Apple American Amusements Ltd, HG Wells Conference Centre, the former Rat and Parrot PH, 48-58 Chertsey Road, Woking GU21 5AJ",yes,,2020-12-09,,0.69,400,67,"Office use (re-provision of existing floorspace), community uses (re-provision of community/cultural and entertainment floorspace) and retail uses also required. Minimum yield is from the draft Site Allocations DPD. Maximum yield is from the HIF bid. Planning permission for 68 dwellings at 46 Chertsey Road (PLAN/2017/0802).",local-authority-eng:WOI,mixed ownership,2018-04-11,,permissioned,full planning permission,POINT(-0.556 51.321),SHLAACAN030,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN030
"The former Goldsworth Arms Public House, Goldsworth Road, Woking, GU21 6LQ",yes,,2020-12-09,,0.12,43,43,Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.566 51.317),SHLAACAN033,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN033
"Chester House, 76-78 Chertsey Road, Woking, GU21 5BJ",,,2020-12-09,,0.15,14,14,"Office use (1,000 sq.m net) also required. Yield from draft Site Allocations DPD.",local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.554 51.322),SHLAACAN035,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN035
"Parrington Autos, rear of 12 and 12-16, Portugal Road, Maybury, GU21 5JE",,2020-12-11,2020-12-11,,0.12,,,Incorporated into BLR2020017,local-authority-eng:WOI,not owned by a public authority,,,permissioned,,POINT(-0.552 51.322),SHLAACAN037,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN037
"Church Gate, 9 -11 Church Street West, Woking, GU21 6DJ",,2020-12-10,2020-12-10,,0.09,,,Incorporated into BLR2020003. PLAN/2019/1090 and PLAN/2018/0741,local-authority-eng:WOI,not owned by a public authority,2019-12-20,,permissioned,full planning permission,POINT(-0.564 51.318),SHLAACAN039,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN039
"Premier House, 15-19 Church Street West, Woking, GU21 6DJ",,2020-12-10,2020-12-10,,0.09,,,Incorporated into BLR2020003. PLAN/2020/0020 and PLAN/2018/0918,local-authority-eng:WOI,not owned by a public authority,2020-03-20,,permissioned,full planning permission,POINT(-0.563 51.318),SHLAACAN041,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN041
"BHS/British Heart Foundation, 2, Crown Square, Chobham Road, Woking, GU21 6HR",,,2020-12-10,,0.3,200,98,Maximum yield is from the HIF bid. Minimum yield is from SHLAA (2019),local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(-0.557 51.32),SHLAACAN042,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAACAN042
"Lyndhurst-Langsett, Brookwood Lye Road, Brookwood, GU24 0HB",,2020-12-14,2020-12-09,,0.59,10,10,,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.625 51.305),SHLAAHEA005,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHEA005
"1 - 5 Egley Road, Woking, GU22 0AU",,,2020-12-10,,0.36,5,5,Yield from SHLAA (2017),local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.566 51.307),SHLAAHEA012,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHEA012
"Woking Football Club Woking Gymnastic Club, Woking Snooker Club, Westfield Avenue, Woking GU22 9AA",,,2020-12-10,,4.64,93,93,Yield from the draft Site Allocations DPD,local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(-0.558 51.306),SHLAAHOE001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOE001
"Hoe Valley School Temporary Site, Woking Park, Woking, GU22 9BA",,,2020-12-10,,0.16,21,21,Yield from the SHLAA (2017),local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.559 51.31),SHLAAHOE010,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOE010
"Sherpa House, Kingfield Road, Kingfield, Woking GU22 9EH",yes,,2020-12-09,,0.06,10,10,Retail use also required,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.552 51.304),SHLAAHOE019,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOE019
"Ian Allan Motors, 63-65, High Street, Old Woking, GU22 9JN",yes,,2020-12-09,,0.28,48,48,Yield from PLAN/2020/0304,local-authority-eng:WOI,mixed ownership,2020-06-10,,permissioned,full planning permission,POINT(-0.546 51.303),SHLAAHOE15,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOE15
"Timber Yard, Horsell Moor, Woking GU21 4NQ",,,2020-12-09,,0.83,67,67,Yield from draft Site Allocations DPD.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.571 51.319),SHLAAHOR001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOR001
"Garages to rear of 3-9 and 11-41 Pares Close, Woking, GU21 4QL",,,2020-12-10,,0.18,5,5,Yield from SHLAA (2017),local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.571 51.324),SHLAAHOR005,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAHOR005
"1 and 3 High Street, Knaphill, GU21 2PG",yes,,2020-12-10,,0.06,4,4,Application pending for redevelopment for 9 flats.,local-authority-eng:WOI,not owned by a public authority,2020-03-19,,permissioned,full planning permission,POINT(-0.616 51.319),SHLAAKNA001,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAKNA001
"Ambulance Station, Bagshot Road, Brookwood, GU21 2RP",,,2020-12-10,,0.15,6,6,Application pending for 7 dwellings (PLAN/2020/0313),local-authority-eng:WOI,owned by a public authority,,,pending decision,,POINT(-0.627 51.31),SHLAAKNA006,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAKNA006
"Co-op, 26 High Street, Knaphill, GU21 2PE",,,2020-12-09,,0.07,13,13,Yield from SHLAA (2017),local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.617 51.318),SHLAAKNA012,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAKNA012
"Land to the rear of Co-Op, Englefield Road, Knaphill, GU21 2PE",,2020-07-13,2020-12-09,,0.06,,,Permission implemented,local-authority-eng:WOI,not owned by a public authority,,,,,POINT(-0.616 51.318),SHLAAKNA013,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAKNA013
"Anchor Crescent, High Street, Knaphill, GU21 2HP",yes,,2020-12-10,,0.28,24,24,Yield from SHLAA (2017). Permission for 4 residential units at 4 Anchor Crescent (PLAN/2018/0515),local-authority-eng:WOI,not owned by a public authority,2019-10-15,,permissioned,full planning permission,POINT(-0.616 51.318),SHLAAKNA014,http://www.woking2027.info/ldfregisters,2017-12-20,brownfield-land/local-authority-eng/WOI/SHLAAKNA014
