site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"''Beaconsfield Garden Centre, London Road, Beaconsfield''",yes,,2018-05-22,,2.50,9,9,"Outline application for: Erection of 9 dwellings, formation of new access and associated driveway",local-authority-eng:SBU,not owned by a public authority,2016-04-27,,permissioned,outline planning permission,POINT(-0.650553 51.599443),SB0005,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",,,2018-05-22,,4.90,11,5,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:SBU,not owned by a public authority,,,not permissioned,,POINT(-0.629846 51.596336),SB0032,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''73 High Street and Land to Rear, Burnham''",yes,,2018-05-22,,0.23,15,12,,local-authority-eng:SBU,not owned by a public authority,,,not permissioned,,POINT(-0.659233 51.534196),SB0034,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Thorney Business Park, Thorney Lane South''",,,2018-05-22,,42.95,320,130,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:SBU,not owned by a public authority,,,not permissioned,,POINT(-0.51146 51.51035),SB0043,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Wilton Park Land Parcel 1, Wilton Park''",,,2018-05-22,,36.89,350,350,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,local-authority-eng:SBU,not owned by a public authority,,,not permissioned,,POINT(-0.616333 51.60359),SB0055,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Greenacres, 199 Station Road, Beaconsfield''",yes,,2018-05-22,,0.20,10,10,"Redevelopment of site to provide block comprising of 11 two bed flats with associated car parking. car port, cycle store and bin store.",local-authority-eng:SBU,not owned by a public authority,2012-10-22,,permissioned,full planning permission,POINT(-0.638634 51.605723),SB0133,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Land at Meadow Cottage Saltmarshe and Longridge, Bangors Road South, Iver''",yes,,2018-05-22,,0.95,36,36,"Redevelopment of site to provide 3 blocks comprising 39 apartments, with basement car park, surface parking, access and highway arrangements incorporating access onto Evreham Road (Outline Application).",local-authority-eng:SBU,not owned by a public authority,2013-06-28,,permissioned,outline planning permission,POINT(-0.509332 51.522721),SB0166,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Chopra Manor, Crown Lane, Farnham Royal''",yes,,2018-05-22,,0.15,7,7,Change of use from a dwellinghouse to a house of multiple occupation consisting of 7 units including one unit for family occupation.,local-authority-eng:SBU,not owned by a public authority,2015-06-22,,permissioned,full planning permission,POINT(-0.62452 51.538741),SB0197,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''Northfield, 40 Penn Road, Beaconsfield''",yes,,2018-05-22,,0.16,5,5,"Detached building containing six apartments incorporating basement and roof accommodation, access ramp and associated landscaping. Single storey concierge/refuse building and alteration to front boundary wall/gates and width of vehicular access.",local-authority-eng:SBU,not owned by a public authority,2016-11-18,,permissioned,full planning permission,POINT(-0.64767 51.615016),SB0206,http://www.southbucks.gov.uk/planning/brownfieldregister,
"''4a The Broadway, Farnham Common, ''",yes,,2018-05-22,,0.03,8,6,,local-authority-eng:SBU,not owned by a public authority,,,not permissioned,,POINT(-0.615686 51.554882),SB0285,http://www.southbucks.gov.uk/planning/brownfieldregister,
