site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Former Hewden Hire site Two Waters Road Hemel Hempstead,yes,,2019-10-14,,0.3,39,39,,local-authority-eng:DAC,not owned by a public authority,2019-08-27,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.473795 51.74095),BLR/011,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-011
Leverstock Green Tennis Club Grasmere Close Hemel Hempstead,yes,,2018-08-16,,1.16,25,25,4/00518/15/PRE,local-authority-eng:DAC,not owned by a public authority,,,not permissioned,,POINT(-0.43813 51.745292),BLR/012,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-012
233 London Road Hemel Hempstead,yes,,2018-12-31,,0.11,10,10,Application has expired,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.472068 51.738887),BLR/013,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-013
Apsley Paper Trail land London Road,yes,,2018-08-16,,0.31,31,31,4/00675/14/PRE,local-authority-eng:DAC,owned by a public authority,,,not permissioned,,POINT(-0.462418 51.733896),BLR/014,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-014
The Point (former petrol filling station) Two Waters Road Hemel Hempstead,yes,,2018-08-16,,0.15,25,25,4/02158/13/PRE,local-authority-eng:DAC,owned by a public authority,,,not permissioned,,POINT(-0.472857 51.745551),DBC/015,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/DBC-015
Former Martindale School Boxted Road Hemel Hempstead,yes,,2019-10-14,,1.41,65,65,Full application resolved to be granted subject to s106,local-authority-eng:DAC,owned by a public authority,2017-10-16,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.498282 51.760751),BLR/016,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-016
Frogmore Road Hemel Hempstead,yes,,2018-08-16,,2.93,100,100,4/03226/16/PRE,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.46659 51.73815),BLR/017,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-017
Corner of High Street / Swing Gate Lane Berkhamsted,yes,,2018-08-16,,0.1,11,11,,local-authority-eng:DAC,owned by a public authority,2015-06-29,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.556029 51.757419),BLR/018,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-018
Western Road Tring,yes,,2018-08-16,,0.47,25,25,,local-authority-eng:DAC,not owned by a public authority,,,not permissioned,,POINT(-0.66847 51.792052),BLR/019,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-019
Depot land Langdon Street Tring,yes,,2018-08-16,,0.22,10,10,,local-authority-eng:DAC,not owned by a public authority,2016-05-18,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.663863 51.791928),BLR/020,https://goo.gl/,2017-12-31,brownfield-land/local-authority-eng/DAC/BLR-020
