site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Littlejohns Coalyard, Northam Road, Bideford",yes,,2018-12-14,,0.2,13,13,Site subject to full planning permission (1/0809/2019/FULM) for thirteen dwellings.. Conversion of former collar factory to three residential units plus the erection of ten residential units.,local-authority-eng:TOR,not owned by a public authority,2020-02-28,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9500800OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9100605LA|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PX21U0QKMO000,permissioned,full planning permission,POINT(-4.211422 51.020891),BLR/BID/132,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18220,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-132
"Former Jet Garage, New Road, Bideford",yes,,2020-12-18,,0.06,8,8,Site subject to extant planning consent (1/0242/2010/FUL - 03/12/10) for eight apartments and associated site works. Site subject to historic implementation that ensures permission remains extant. Residential potential of site previously considered through SHLAA SHA/BID/72. Site determined to be deliverable through most recent Statement of Five Year Housing Land Supply (November 2019).. Eight appartments.,local-authority-eng:TOR,not owned by a public authority,2010-12-03,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I5KM3XQKS1000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KZJ1UDQK02X00,permissioned,full planning permission,POINT(-4.20594 51.012649),BLR/BID/72,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18218,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-72
"Land at Nuttaberry Works, Bideford",,,2020-12-09,,3.64,96,96,"Residential capacity of site originally considered through SHLAA SHA/BID/18. Site identified as a non-strategic housing site in North Devon and Torridge Local Plan 2011-2031 (Appendix 5). Site has resolution to grant consent (1/0041/2009/OUTM) subject to signining of s106 agreement, following committee decision on 20/08/2020. Site not identified as being deliverable through the most recent published Statement of Five Year Housing Land Supply (November 2019), although considered developable in longer term.. Residential redevelopment of former commercial brownfield site comprising up to 96 residential units including affordable homes.",local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KDINVEQK2M000,pending decision,outline planning permission,POINT(-4.201237 51.00967),BLR/BID/18,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18211,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-18
"8 - 11 Market Place, Bideford",yes,,2020-12-09,,0.16,9,9,"Site subject to extant planning permission (1/0700/2015/FUL) for residential development comprising 9 dwellings with associated access, parking and sewers (permitted 10/1/2017). Development commenced in January 2020 with laying of foundations for first plot. Site determined to be deliverable through most recent Statement of Five Year Housing Land Supply (November 2019). Ressidential potential of site previously considered through SHLAA - SHA/BID/108.. Residential development comprising 9 dwellings.",local-authority-eng:TOR,not owned by a public authority,2017-01-10,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T56QK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T5DQK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR68BRQK06T00,permissioned,full planning permission,POINT(-4.207905 51.017405),BLR/BID/108,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18219,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-108
"Car Park and Transport Depot, School Lane, Torrington",yes,,2020-12-18,,0.54,22,22,Site subject to full planning permission (1/0095/2020/FULM) for the erection of 22 dwellings. Site considered deliverable in accordance with the definition in national planning policy by virtue of full permission.. Erection of 22 houses,local-authority-eng:TOR,not owned by a public authority,2020-09-22,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8CSASQKKZ400|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q5HTZBQKGZU00,permissioned,full planning permission,POINT(-4.145461 50.953608),BLR/GTT/26,http://www.torridge.gov.uk/CHttpHandler.ashx?id=21457,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-GTT-26
"Penhaven and Rectory Farm, Bideford",yes,,2020-12-09,,1.63,12,12,"Residential potential of site previously considered through SHLAA SHA/PAR/4. Site subject to wider planning permission (1/1216/2015/OUTM & 1/1134/2019/REMM) for 21 dwellings. Only previously developed element of site has been included in calculation of yield. Site is subject to detailed planning permission and therefore in line with NPPF definition, considered to be deliverable.. Previously developed part of wider site that has planning permission for conversion of former hotel site and erection of dwellings to create up to 21no. dwellings (including affordable housing).",local-authority-eng:TOR,not owned by a public authority,2020-04-23,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYGX50QKINU00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q23LZEQKG9K00,permissioned,reserved matters approval,POINT(-4.295251 50.967721),BLR/PAR/4,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18230,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-PAR-4
"Works, Haycross Hill, Shebbear, Beaworthy",yes,,2019-12-14,,1.27,33,33,"Site is subject to allocation SHB02 (Land West of Haycross Hill) for about 20 dwellings and 3 live-work units in the North Devon and Torridge Local Plan 2011-2031. Site has resolution to grant outline planning consent subject to signing of s106 (1/0125/2015/OUTM) for 30 dwellings, 3 live work units with associated landscaping and play space (amended plans). Residential capacity of site considered through SHLAA SHA/SHB/8. Site identified as being deliverable through most recent published statement of five year housing land supply (November 2019).. 30 dwellings.",local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCXXSQKFO600,pending decision,,POINT(-4.219155 50.859892),BLR/SHB/8,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18231,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-SHB-8
"Brunswick, Queens and Clarance Wharves, Barnstaple Street, Bideford",yes,,2020-12-18,,0.89,52,52,"Residential potential of site considered through SHLAA SHA/BID/38. The site is identifies this site as a Bideford Regeneration Site (BID07) for a mix of housing, leisure and retail uses and listed as a Non Strategic Housing Site in the North Devon and Torridge Local Plan 2011-2031. Site subject to an endorsed Site Development Brief. Site historically subject to planning permission (1/0578/2014/FULM) for mixed use development comprising of 52 residential units, approximately 763 sq metres of retail / commercial development, open space, car parking, marina (including managers accommodation) and associated development; now lapsed. Site subject to pending application (1/1126/2020/FULM) for demolition of existing site buildings and mixed use redevelopment providing residential units, commercial units (Class E) with public open space, car parking, floating pontoon and associated landscaping work. Site identified as being deliverable in last published statement of five year housing land supply (November 2019).. Residential units",local-authority-eng:TOR,owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N6LA9RQK07L00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEOJXIQKH7M00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QKYPX0QK0BS00,pending decision,,POINT(-4.201256 51.016991),BLR/BID/38,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18213,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-38
"Land to east of New Road, Bideford",,,2020-12-18,,0.44,12,12,Site is part of proposed policy BID07 (Bideford Regeneration Sites) New Road in the North Devon and Torridge Local Plan 2011-2031 for development that results in the enhancement to the southern gateway to Bideford. No other pertinent planning history in relation to the site. Residential potential of site considered through SHLAA SHA/BID/52.,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.206089 51.011584),BLR/BID/52,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18216,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-52
"Land south of Longbridge Wharf, New Road, Bideford",,,2020-12-18,,0.09,6,6,Residential potential of site considered through SHLAA SHA/BID/66. Site was subject to planning consent for the redevelopment of the site for provision of 6 self contained flats within a single building (1/0924/2006/FUL); now lapsed.,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=IYZWMAQK60000,not permissioned,,POINT(-4.205901 51.012433),BLR/BID/66,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18217,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-66
"Vaughan Tapscott Glove Factory, White Lane, Torrington",yes,,2020-12-18,,0.06,9,9,Site subject to full planning consent (1/1285/2018/FULM) for the conversion of the former glove factory to 9 flats (09/10/19). Site assumed to be deliverable in accordance with the definition provided by national planning policy.. Conversion of Glove Factory to 9 flats,local-authority-eng:TOR,not owned by a public authority,2019-10-09,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFGOIQKX0000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFKYDQKX0000,permissioned,full planning permission,POINT(-4.146087 50.95205),BLR/GTT/36,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18224,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-GTT-36
"Buckleigh Service Reservoir, Bay View Road, Bideford",,,2020-12-18,,0.28,3,3,Residential potential of site considered through SHLAA SHA/NOR/115. Site historically subject to planning permission (1/0702/2015/FUL) for three dwellings; now lapsed.,local-authority-eng:TOR,owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR7TIVQK06T00,not permissioned,,POINT(-4.228276 51.03782),BLR/NOR/115,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18227,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-NOR-115
"Former Cattle Market Site, Stibb Cross, Torrington",,,2020-12-18,,0.21,3,3,Residential capacity of site considered through SHLAA SHA/LAN/11. This site (together with part of SHA/LAN/13) forms part of a wider allocation LAG02 (Land at the Former cattle market and Land to North) for approximately 8 dwellings in the North Devon and Torridge Local Plan 2011-2031.,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.237079 50.912811),BLR/LAN/11,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18225,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-LAN-11
"Land east of Devonshire Park, New Road, Bideford",,,2020-12-18,,0.52,12,12,Site is subject to Policy BID07 (Bideford Regeneration Sites) in the North Devon and Torridge Local Plan 2011-2031 for development that results in the enhancement to the southern gateway to Bideford. Residential capacity of site considered through SHLAA SHA/BID/49 No relevant planning history.,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.206674 51.012788),BLR/BID/49,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18214,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-BID-49
"Former Creamery Site, Rolle Road, Torrington",,,2019-11-26,,3.32,136,136,"Site allocated for housing development through Policy GTT01 in North Devon and Torridge Local Plan 2011-2031. Residential potential of site considered through SHLAA SHA/GTT/56 (previously SHA/GTT/11). Site subject to hybrid outline/full application (1/0039/2016/OUTM) for the erection of 13 dwellings on northern part of site with new access to Limer's Hill (full) and the erection of up to 136 dwelling on main element of the site (outline). Reserved Matters application (1/0528/2020/REMM) pending.. Previously developed part of wider site that has planning permission for Hybrid full application for the erection of 13 dwellings on northern part of site with new access to Limer's Hill, outline application for the erection of up to 136 dwelling.",local-authority-eng:TOR,not owned by a public authority,2017-06-20,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0ZW5LQKJ6Y00,permissioned,outline planning permission,POINT(-4.156576 50.949186),BLR/GTT/56,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18245,2017-12-22,brownfield-land/local-authority-eng/TOR/BLR-GTT-56
"Land At Grid Reference 249583 119849 (Former Meat Factory), Torrington",yes,,2019-11-26,,6.68,143,143,"Site recently obtained outline planning permission.. Outline application for erection of up to 143 dwellings,",local-authority-eng:TOR,not owned by a public authority,2018-09-13,,permissioned,outline planning permission,POINT(-4.14172 50.959262),BLR/GTT/59,http://www.torridge.gov.uk/CHttpHandler.ashx?id=19052,2018-12-11,brownfield-land/local-authority-eng/TOR/BLR-GTT-59
