site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Mount Denys, Pine Hill & Ridgeway, The Ridge, Hastings",,,2017-12-15,,0.64,31,31,,local-authority-eng:HAS,owned by a public authority,,,not permissioned,,POINT(0.595655 50.877524),BL16,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL16.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL16
"Horntye Park, Bohemia Road, Hastings",,,2017-12-15,,1.01,115,115,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.564585 50.860044),BL17,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL17.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL17
"Land at Church Street, Hastings",yes,,2017-12-15,,0.35,5,5,Development of site to provide five dwellings,local-authority-eng:HAS,not owned by a public authority,2017-07-20,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104541,permissioned,reserved matters approval,POINT(0.60373 50.872595),BL18,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL18.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL18
"4-5 Stockleigh Road, St Leonards",,,2017-12-15,,0.03,12,12,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.557615 50.854185),BL19,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL19.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL19
"190 Bexhill Road, St Leonards",,,2017-12-15,,0.19,32,32,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.526027 50.851333),BL20,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL20.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL20
"37 Charles Road West (former Filsham Nurseries), St Leonards",yes,,2017-12-15,,0.26,7,7,"Demolition of existing buildings and ancillary buildings. Erection of 7no residential units, landscape and parking.",local-authority-eng:HAS,not owned by a public authority,2017-07-20,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103716,permissioned,full planning permission,POINT(0.550916 50.860746),BL21,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL21.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL21
"14 Westfield Lane, St Leonards",yes,,2017-12-15,,0.33,14,14,,local-authority-eng:HAS,owned by a public authority,,,not permissioned,,POINT(0.557962 50.892197),BL22,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL22.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL22
"Century House, Menzies Road, St Leonards",,,2017-12-15,,0.1,37,37,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.548218 50.869501),BL23,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL23.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL23
"56 Alma Terrace, St Leonards",yes,,2017-12-15,,0.32,9,9,demolition of chalet bungalow and garage and construction of 10 No. new dwellings with associated off-street parking.,local-authority-eng:HAS,not owned by a public authority,2017-10-19,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104855,permissioned,reserved matters approval,POINT(0.561562 50.869403),BL24,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL24.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL24
"451 Bexhill Road, St Leonards",yes,,2017-12-15,,0.26,5,5,Erection of 5 detached house and access road,local-authority-eng:HAS,not owned by a public authority,2017-11-16,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104635,permissioned,full planning permission,POINT(0.516081 50.847478),BL25,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL25.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL25
"91-93, 109 and rear of 103 Middle Road, Hastings",yes,,2017-12-15,,0.19,11,11,Demolition of existing buildings and erection of 11 dwellings together with parking space and access.,local-authority-eng:HAS,not owned by a public authority,2015-12-23,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_102421,permissioned,full planning permission,POINT(0.612091 50.875298),BL26,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL26.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL26
"12-13 York Buildings, Wellington Place, Hastings",yes,,2017-12-15,,0.02,6,6,Alteration works to ground floor stair and to three upper storeys of existing building and conversion into six flats for residential accommodation (Application HS/LB/16/00661 also applies),local-authority-eng:HAS,owned by a public authority,2017-01-20,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103972,permissioned,full planning permission,POINT(0.58067 50.855701),BL27,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL27.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL27
"The Grove School (Former St Leonards Academy, Darwell Campus, Darwell Close), St Leonards",,,2017-12-15,,9.4,240,210,"Outline application for the erection of up to 210 dwellings (25% affordable) with associated open space, play areas, landscaping and access.",local-authority-eng:HAS,owned by a public authority,2017-11-17,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_102356,permissioned,outline planning permission,POINT(0.534928 50.865733),BL28,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL28.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL28
"Kings Head Inn, 61 Rye Road, Hastings",yes,,2017-12-15,,0.17,12,12,,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104514,pending decision,,POINT(0.613179 50.878957),BL29,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL29.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL29
"The Robert De Mortain, 373 The Ridge, Hastings",yes,,2017-12-15,,0.39,10,10,,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_114788,pending decision,,POINT(0.580504 50.882334),BL30,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL30.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL30
"1 & 2 Wayside, 490-492 Sedlescombe Road North, St Leonards",yes,,2017-12-15,,0.19,6,6,,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_105013,pending decision,,POINT(0.54987 50.885588),BL31,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL31.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL31
"62 London Road, St Leonards",yes,,2017-12-15,,0.12,11,11,,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104677,pending decision,,POINT(0.558411 50.855905),BL32,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL32.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL32
