site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Beauchamp Employment Area,,,2018-12-18,,0.63,18,18,,,not owned by a public authority,,,not permissioned,,POINT(-1.678944 52.611247),BR028,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR028.pdf,2017-12-08,
"Petrol filling station, part of Beauchamp Employment Area",,,2018-12-18,,0.26,9,9,,,not owned by a public authority,,,not permissioned,,POINT(-1.676404 52.610578),BR029,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR029.pdf,2017-12-08,
"Progressive Club, Halford Street",,,2018-12-18,,0.09,6,6,behind Norris Brothers on Lichfield Street,,not owned by a public authority,,,not permissioned,,POINT(-1.699467 52.634638),BR030,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR030.pdf,2017-12-08,
Adjacent to Tame Valley Alloys,,,2018-12-18,,0.73,26,26,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.671011 52.60133),BR031,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR031.pdf,2017-12-08,
Solway Close,,,2018-12-18,,0.78,20,20,TBC owned. In LP 25006-2031. Planning app in with resolution to permit 0424/2015,,owned by a public authority,,,pending decision,,POINT(-1.705751 52.644359),BR032,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR032.pdf,2017-12-08,
"Kettlebrook Road Industrial Estate, South",,,2018-12-18,,1.05,30,30,,,not owned by a public authority,,,not permissioned,,POINT(-1.685056 52.624756),BR033,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR033.pdf,2017-12-08,
"The Winning Post Pub, Argyle Street",,,2018-12-18,,0.17,6,6,,,not owned by a public authority,,,not permissioned,,POINT(-1.671804 52.632273),BR034,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR034.pdf,2017-12-08,
"WMC, Bowling Green Avenue",,,2018-12-18,,0.7,20,20,,,not owned by a public authority,,,not permissioned,,POINT(-1.668806 52.607151),BR035,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR035.pdf,2017-12-08,
Two Gates Working Mens Club,,,2018-12-18,,0.66,18,18,,,not owned by a public authority,,,not permissioned,,POINT(-1.683875 52.611669),BR036,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR036.pdf,2017-12-08,
Co-op filling station,,,2018-12-18,,0.32,12,12,Site allocation in LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.699491 52.629559),BR039,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR039.pdf,2017-12-08,
"High Wynard, Highfield Avenue, Amington, Tamworth, B77 3JB",,,2018-12-18,,0.19,5,5,0502/2017,,not owned by a public authority,2018-01-30,,permissioned,,POINT(-1.660506 52.633164),BR037,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR037.pdf,2017-12-08,
