site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Ayling Hill / York Road, Aldershot",yes,,2017-12-11,,0.26,24,22,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.773331 51.244003),SHELAA ID: 548,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--548
"Garages at Bideford Close and Carmarthen Close, Farnborough",yes,,2017-12-11,,0.10,5,4,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.767655 51.307898),SHELAA ID: 550,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--550
"The Galleries Shopping Centre, High Street Multi-Storey Car Park and The Arcade, Aldershot",yes,,2017-12-11,,1.77,500,450,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,mixed ownership,,,not permissioned,,POINT(-0.762928 51.249388),SHELAA ID: 554,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--554
"Briarwood, Sorrel Close, Broadhurst, Farnborough",yes,,2017-12-11,,0.64,14,13,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.794925 51.298686),SHELAA ID: 557,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--557
"30 Grosvenor Road, Aldershot",,,2017-12-11,,0.08,11,10,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.767287 51.248229),SHELAA ID: 563,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--563
"Blandford House and Malta Barracks, Shoe Lane, Aldershot",yes,,2017-12-11,,8.50,150,135,,local-authority-eng:RUH,owned by a public authority,,,pending decision,,POINT(-0.764007 51.267933),SHELAA ID: 572,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--572
"Meadowcroft, Whitchurch Close, Aldershot",yes,,2017-12-11,,0.28,9,8,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.747004 51.232196),SHELAA ID: 575,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--575
"The Wellington Centre, Victoria Road, Aldershot",yes,,2017-12-11,,0.51,25,23,"Proposals would need to be built upon the existing fabric of the building, active ground floor and town centre uses would be expected to support the viability and vitality of the town centre",local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.765166 51.248773),SHELAA ID: 577,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--577
"Aldershot Bus Station, 3 Station Road, Aldershot",yes,,2017-12-11,,0.21,32,29,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.760813 51.246533),SHELAA ID: 580,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--580
"103-109 Victoria Road, Aldershot",yes,,2017-12-11,,0.14,18,16,"Planning permission: 17/00751/COU, the site is partly permissioned (permitted development conversion of vacant office space to create 2 two-bedroom residential flats within part of the first floor of the premises), the principle of residential uses above active ground floor and town centre uses is acceptable in this location",local-authority-eng:RUH,not owned by a public authority,2017-12-05,,permissioned,full planning permission,POINT(-0.762732 51.248163),SHELAA ID: 581,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--581
"Hippodrome House, Birchett Road, Aldershot",yes,,2017-12-11,,0.40,70,63,"Ground floor uses should continue to reflect the town centre designation, with an active mix of retail, restaurants and other Class A uses",local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.761983 51.247768),SHELAA ID: 582,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--582
"208 Farnborough Road, Farnborough",,,2017-12-11,,0.09,7,6,The existing doctors surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.752783 51.292337),SHELAA ID: 583,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--583
"2 Salisbury Road, Farnborough",,,2017-12-11,,0.07,6,5,The existing doctors surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.752028 51.293713),SHELAA ID: 584,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--584
"The Old Warehouse, Star Yard, Victoria Road, Aldershot",yes,,2017-12-11,,0.01,6,5,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.766655 51.248807),SHELAA ID: 588,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--588
"124 Victoria Road, Farnborough",,,2017-12-11,,1.73,175,158,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.760458 51.292229),SHELAA ID: 590,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--590
"117 Farnborough Road, Farnborough",yes,,2017-12-11,,1.09,150,135,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.753661 51.286906),SHELAA ID: 596,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--596
"DIO Accommodation Offices, Ordnance Road, Aldershot",yes,,2017-12-11,,0.43,15,14,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.745854 51.253918),SHELAA ID: 597,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--597
"Aldershot Distribution Outlet, Ordnance Road, Aldershot",,,2017-12-11,,2.65,80,72,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.742699 51.256096),SHELAA ID: 598,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--598
"Trident House, 38-44 Victoria Road, Farnborough",yes,,2017-12-11,,0.17,23,23,"Planning permission: 17/00456/FULPP, the site is partly permissioned (change of use of part of the ground floor, and the first, second and third floors from office (B1) to residential use), the principle of residential uses above active ground floor and town centre uses is acceptable in this location. Change of use of part of the ground floor and the first, second and third floors from offices (B1) to 23 flats",local-authority-eng:RUH,not owned by a public authority,2017-10-20,,permissioned,full planning permission,POINT(-0.757289 51.293275),SHELAA ID: 599,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--599
"1 Clockhouse Road, Farnborough",yes,,2017-12-11,,0.08,6,5,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.753588 51.294369),SHELAA ID: 603,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--603
"149-165 Victoria Road, Aldershot",yes,,2017-12-11,,0.15,6,5,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.76542 51.24838),SHELAA ID: 604,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--604
"73-77 High Street, Aldershot",yes,,2017-12-11,,0.07,5,4,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.763447 51.249807),SHELAA ID: 605,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--605
"42-44 Camp Road, Farnborough",yes,,2017-12-11,,0.06,6,5,Active ground floor uses will be required as part of any development proposals,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.747237 51.276361),SHELAA ID: 606,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--606
"Land at 68-70 Hawley Lane, Farnborough",,,2017-12-11,,0.35,10,9,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.754955 51.311181),SHELAA ID: 607,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--607
