site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Battery Hotel, Sandylands Promenade, Heysham",yes,,2018-02-15,,0.13,17,17,"14/00106/CU - Change of use and conversion of former public house (A4) to five 1-bed, eight 2-bed and four 3-bed apartments (C3), construction of dormers to front and rear, creation of associated car parking and landscaping and the demolition of existing",local-authority-eng:LAC,not owned by a public authority,2014-05-22,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.886107 54.064775),692,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/692
"5-11 Brock Street, Lancaster",yes,,2018-02-15,,0.04,35,35,"14/00961/CU - Change of use of upper floors from retail and storage to student accommodation comprising 35 studio apartments, creation of a fourth floor with alterations to the roof including new dormer windows to the front and rear, alterations to fenes",local-authority-eng:LAC,not owned by a public authority,2014-12-10,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.799371 54.047569),693,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/693
"Tramway Hotel, 127 St Leonards Gate, Lancaster, LA1 1NL",,,2017-03-21,,0.03,11,11,,local-authority-eng:LAC,not owned by a public authority,,,not permissioned,,POINT(-2.797672 54.049773),696,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/696
"Westbourne House, Westbourne Road, Lancaster, LA1 5EF",,,2017-03-21,,0.54,4,4,,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.815363 54.044514),697,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/697
"47-51 North Road, Lancaster",yes,,2018-02-15,,0.11,27,27,"13/01274/FUL - Erection of two mixed use buildings and change of use of warehouse (B8) to create student accommodation for 78 students in the form of 15 Studio flats, 12 cluster flats (C4), a shop (A1), an office (A2) and a laundrette (sui generis)",local-authority-eng:LAC,not owned by a public authority,2014-04-08,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.798474 54.050155),698,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/698
"Halton Mill, Mill Lane, Halton, Lancaster, Lancashire, LA2 6ND, Halton",yes,,2018-02-15,,6.19,20,20,"Site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version. 05/01432/OUT - Renewal of application 00/00920/OUT for proposed redevelopment including demolition of existing mill, erect houses, industrial units, construct new access and provision of associated open space and landscaping",local-authority-eng:LAC,not owned by a public authority,2006-02-03,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.755491 54.076146),713,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/713
"Former TDG Site, Warton Road, Carnforth",yes,,2018-02-15,,6.42,192,192,"Site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version",local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.768977 54.131866),780,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/780
"Galgate Mill, Chapel Lane, Galgate, LA2 0PR",,,2017-03-21,,0.33,27,27,,local-authority-eng:LAC,,,,not permissioned,,POINT(-2.786778 53.995388),782,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/782
"Lune Industrial Estate, New Quay Road, Lancaster, LA1 5FT",,,2017-03-21,,8.72,398,398,,local-authority-eng:LAC,,,,not permissioned,,POINT(-2.824338 54.04812),785,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/785
"2-4 New Street, Carnforth, LA1 1EG",,,2017-03-21,,0.03,9,9,16/00172/CU,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.770202 54.128586),826,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/826
"Alice Street Works, Morecambe, LA4 5HN",,,2017-03-21,,0.03,6,6,,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.856594 54.07182),828,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/828
"Old Roof Tree Inn, Middleton, LA3 3JT",,,2017-03-21,,0.17,10,10,11/00702/FUL,local-authority-eng:LAC,not owned by a public authority,,,not permissioned,,POINT(-2.879725 54.022381),829,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/829
