site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Glendevon Hotel, 49 - 51 Railway Road, King's Lynn",yes,,2018-10-05,,0.26,6,6,16/01586/F - Conversion into 6 town houses and demolition of outbuildings to the rear,,not owned by a public authority,2017-01-26,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OCTM1NIV05900,permissioned,full planning permission,POINT(0.401067 52.754852),36,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"Waverly Warehouse Oslers Yard, Norfolk Street, King's Lynn",yes,,2018-10-05,,0.71,15,15,16/00342/F - Construction of four dwellings and conversion of barn to three dwellings and completion of previously approved (partial) demolition,,not owned by a public authority,2017-02-27,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O31R0LIV05900,permissioned,full planning permission,POINT(0.402145 52.755846),37,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"18 - 20 Railway Road, King's Lynn",yes,,2018-10-05,,0.34,8,8,15/01699/F - Proposed re-development to provide 8 dwellings and 2 commercial units following demolition of the existing,,not owned by a public authority,2016-02-26,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NWM4NQIV07800,permissioned,full planning permission,POINT(0.40056 52.754511),38,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"6 Norfolk Street, King's Lynn",yes,,2018-11-19,,0.35,8,8,15/02089/F - Conversion and extension of existing buildings to form 4 no. apartments and 4 no town houses. 17/00572/F Variation of condition 2 of planning permission 15/02089/F (Conversion and extension of existing building to form 4no. apartments and 4no. town houses): To amend previously approved drawings.,,not owned by a public authority,2016-02-17,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?keyVal=NZPVYOIV09K00&activeTab=summary,permissioned,full planning permission,POINT(0.396103 52.754853),39,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"Land Off Priory Road, North Wootton",yes,,2018-10-05,,0.25,6,6,16/00987/F - Demolition of 4 existing residential properties and development of the site to provide 9 residential units with associated landscaping and highways works.17/01966/F VARIATION OF CONDITION 2 OF PLANNING PERMISSION 16/00987/F: Demolition of 4 existing residential properties and development of the site to provide 9 residential units with associated landscaping and highways works.,,not owned by a public authority,2016-09-05,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O83LW0IV09K00,permissioned,full planning permission,POINT(0.439369 52.790226),40,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"Rosan Motors, 30 Common Road, Snettisham",,,2018-10-05,,0.44,6,6,"16/00263/F - Demolition of former lorry depot building including clearance of site (currently being used for motor maintenance, repairs and car sales) and redevelopment for 8 No chalet dwellings and garages",,not owned by a public authority,2016-11-04,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O2DR55IV07800,permissioned,full planning permission,POINT(0.490446 52.876528),41,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"21 Sutton Road, Walpole Cross Keys",yes,,2018-10-05,,0.68,15,15,16/02166/OM - Outline Application : Residential development of 10 dwellings,,not owned by a public authority,2017-03-30,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OI6P7ZIV07800,permissioned,full planning permission,POINT(0.254466 52.754789),42,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"Land South of 85 Stow Road, Stow Road, Wiggenhall St Mary Magdalen",yes,,2018-11-19,,0.25,6,6,16/00158/O - OUTLINE APPLICATION ALL MATTERS RESERVED: 9 Dwellings. 18/00844/F Variation of condition 15 of planning permission 16/00158/O - OUTLINE APPLICATION ALL MATTERS RESERVED: 9 Dwellings: To vary the condition to remove limit on GIFA.,,not owned by a public authority,2016-07-19,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O1PLNHIV09K00,permissioned,outline planning permission,POINT(0.360045 52.669005),43,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"47 - 49 Bridge Street, Downham Market",yes,,2018-11-19,,0.88,19,19,16/01723/F - Construction of 6 dwellings. 17/01971/F Variation of Condition 2 of planning permission 16/01723/F to amend the approved drawings.,,not owned by a public authority,2017-02-09,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OEBACUIV05900,permissioned,full planning permission,POINT(0.374162 52.602526),44,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"1 King Street, King's Lynn",yes,,2018-10-05,,0.44,10,10,"16/02189/F - Alterations to offices, conversion in part of building to dwellings and construction of three dwellings within yard area",,not owned by a public authority,2017-08-07,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OIFFC1IV09K00,permissioned,full planning permission,POINT(0.393089 52.753943),45,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
"The Nar Ouse Regeneration Area (NORA), Wisbech Road, King's Lynn",yes,,2018-10-05,,44.62,803,803,"2/01/0671/O - Site for mixed uses(residential/localctre(retailcommunity school)open space/employment(B1B2B8)incl A1A2A3(Sth Gates) new road/pedestrian/cycle rtes) in accord with drwg KLN002/05 04/00737/F - Variation of conditions A1 and A2 of outline planning permission 2/01/0671 to extend the period by which work should commence and to allow work to commence on Phase One independently 05/01101/RM - Construction of 195 dwellings, associated roads and infrastructure (Phase 1 Millenium Village) 05/00691/OM - Outline application: Mixed use development comprising housing, live/work units, employment office, business, light industry and warehouse uses, leisure, retail, health, education and community facilities together with the provision of car parking, strategic landscaping, strategic highway and other associated infrastructure 09/00519/RM - A cycleway bridge to replace existing bridge over the River Nar linking Nar Ouse Way to Wisbech Road. A utilities/cycleway bridge over the River Nar linking Nar Ouse Way to Morston Drift 09/02035/RMM - Reserved Matters Application - First phase of proposed new enterprise centre, comprising managed office workspace, medical centre, meeting rooms, live/work housing units, and associated parking, vehicular and pedestrian movement, landscaped and service areas 09/02010/F - Outline application: Mixed use development - Variation of condition 5 and removal of condition 7 of planning permission 05/00691/OM 11/00406/RMM - Reserved Matters Application - Mixed Use Development 11/01106/RMM - Reserved Matters Application - Construction of 18 dwellings 11/01991/RM - RESERVED MATTERS FOR PUBLIC HOUSE: Mixed use development - Variation of condition 5 and removal of condition 7 of planning permission 05/00691/OM 11/01992/RM - RESERVED MATTERS: Mixed use development - Variation of condition 5 and removal of condition 7 of planning permission 05/00691/OM 12/01210/RMM - Reserved Matters Application: construction of 54 dwellings (Phase 1) 12/00414/RMM - Reserved Matters Application: Construction of 56 dwellings 13/01377/F - To allow for phased development of area and plot substitutions on plots 12-14, 16 and 19-23 14/00997/RMM - Reserved Matters Application: construction of 126 dwellings, associated roads, parking and open space at Phase 3 14/01199/RMM - RESERVED MATTERS APPLICATION: Phase 2 of development, construction of 59 dwellings 16/00324/F - Removal of Condition 2 attached to Planning Permission 14/01199/RMM 16/01310/F - Variation of condition 9 of planning permission 16/00324/F for the omission of one dwelling (Plot 177), and allocation to plot 176 as private garden 16/00863/RMM - Reserved Matters Application: construction of 50 dwellings",,owned by a public authority,2002-09-26,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZZTIVXT300|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=HVQSHPIV90000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=IHGNBMIV70000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LV7HM1IV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=KH0LITIV05900|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=KTM9H1IV04S00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=KTK193IV04S00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LI548KIV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LNJHGNIV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LV7HM1IV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LV7HNOIV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=M7PES6IV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=M0TC8PIV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MTEWBTIV39000|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=N8DWFKIV05900|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NACCL4IV08O00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O2Y4Q6IV05900|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OAIABJIV09K00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O70GJIIV05900,permissioned,full planning permission,POINT(0.400726 52.739762),46,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2017-11-16,
Long Meadow Fring Road Great Bircham,yes,,2018-10-08,,0.7225,12,12,17/01390/FM - Proposed demolition of existing dwelling and construction of 12 residential dwellings,,owned by a public authority,,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OTB1RUIVHVL00,permissioned,full planning permission,POINT(0.624491 52.861105),47,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2018-10-08,
Skippers Piece Main Road Brancaster,yes,,2018-10-08,,0.3045,5,5,18/00156/F - Demolition of existing dwelling and construction of 5 residential dwellings,,not owned by a public authority,2018-03-29,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P36OHTIVJ6600,permissioned,full planning permission,POINT(0.646047 52.963278),48,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2018-10-08,
Hayward Revive Norfolk Barn Brancaster Road Docking,yes,,2018-10-08,,0.35,7,7,"18/00545/RM - Reserved Matters Application: Approval of the scale, appearance and landscaping for the construction of 7 dwellings, proposed access, car parking and demolition of existing buildings,15/01941/O - Outline Application: Construction of 7 dwellings, proposed access, car parking and demolition of existing buildings",,not owned by a public authority,2018-08-01,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P60J8XIVJK800|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NYMOXYIV07800,permissioned,full planning permission,POINT(0.62874 52.909972),49,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2018-10-08,
9 Station Road Heacham,yes,,2018-10-08,,0.175,8,8,18/00194/RM - Reserved Matters Application: Proposed residential development of 8no. new dwellings following removal of existing garage/workshop 17/01784/O - Outline Application: Proposed residential development of 8no. new dwellings following removal of existing garage/workshop,,not owned by a public authority,2018-03-22,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P3HSJ0IVJ7N00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OWNF22IVIBF00,permissioned,reserved matters approval,POINT(0.494615 52.910833),50,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2018-10-08,
85 Gayton Road King's Lynn,yes,,2018-10-08,,0.33,6,6,17/02374/RM - RESERVED MATTERS: Construction of 6 dwellings following demolition of existing outbuildings 15/02031/O - Outline Application: construction of 6 dwellings following demolition of existing outbuildings,,not owned by a public authority,,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P10WJUIVIXX00|https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NZE4WEIV05900,permissioned,reserved matters approval,POINT(0.430386 52.75706),51,https://www.west-norfolk.gov.uk/downloads/download/582/brownfield_site_maps,2018-10-08,
