site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Vanalloys Business Park, Stoke Row (3)",yes,,2017-12-22,,0.994896,25,25,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.018393 51.550216),SHELAA: 1050,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--1050
"Land to the rear of Thames Court, Goring",yes,,2017-12-22,,0.330166,8,8,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.136965 51.523273),SHELAA: 1085,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--1085
"Land to the north of Fane Drive, Berinsfield (3)",yes,,2017-12-22,,0.480603,12,12,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.171162 51.666467),SHELAA: 1195,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--1195
"Land north of B4526, Cray's Pond",yes,,2017-12-22,,0.27,7,7,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.069088 51.516298),SHELAA: 148,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--148
Didcot Gateway,yes,,2017-12-22,,4.34,300,300,Minimum net dwellings is based on the planning application (P15/S2159/O ) as it has a resolution to grant permission.,local-authority-eng:SOX,mixed ownership,,,pending decision,outline planning permission,POINT(-1.242473 51.610168),P15/S2159/O (SHELAA: 185),,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S2159-O--SHELAA--185-
"Thames Valley Police Station, Thame",yes,,2017-12-22,,0.32,8,8,Minimum net dwellings is based on the capacity calculated in the SHELAA rather than the planning application as there is an appeal pending on the application.,local-authority-eng:SOX,not owned by a public authority,,,pending decision,full planning permission,POINT(-0.977795 51.749428),P16/S3525/FUL (SHELAA: 202),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S3525-FUL--SHELAA--202-
"Vauxhall Barracks, Didcot",yes,,2017-12-22,,8.25,300,300,Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-1.253999 51.612714),SHELAA: 274,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--274
"CABI, Mongewell",yes,,2017-12-22,,7.33,91,91,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2017-08-31,,permissioned,full planning permission,POINT(-1.118092 51.589923),P15/S3387/FUL (SHELAA: 302),,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S3387-FUL--SHELAA--302-
"DAF, Thame",yes,,2017-12-22,,4.3,97,97,Large majority of site is Brownfield. The minimum number of net dwellings is based on the capacity calculated on the SHELAA (97) rather than the prior approval (45). This is because the prior approval only relates to the conversion of the building and not the overall site where there is potential for a higher capacity.,local-authority-eng:SOX,not owned by a public authority,2017-09-08,,permissioned,other,POINT(-0.959464 51.740887),P17/S2624/PDO (SHELAA: 308),,2017-12-22,brownfield-land/local-authority-eng/SOX/P17-S2624-PDO--SHELAA--308-
"Dovehouse Farm, Cuddesdon (1)",yes,,2017-12-22,,1.68,8,8,Large majority of site is Brownfield,local-authority-eng:SOX,not owned by a public authority,2014-06-06,,permissioned,full planning permission,POINT(-1.130226 51.723195),P10/W0093 (SHELAA: 335),,2017-12-22,brownfield-land/local-authority-eng/SOX/P10-W0093--SHELAA--335-
"Goodsons Industrial Mews, Thame",yes,,2017-12-22,,1.01,29,29,`,local-authority-eng:SOX,not owned by a public authority,2016-12-22,,permissioned,full planning permission,POINT(-0.97295 51.745897),P15/S3848/FUL (SHELAA: 347),,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S3848-FUL--SHELAA--347-
"Stuart Turner, Greys Road, Henley-on-Thames",yes,,2017-12-22,,0.75,42,42,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,local-authority-eng:SOX,not owned by a public authority,,,not permissioned,,POINT(-0.90621 51.535979),SHELAA: 360,,2017-12-22,brownfield-land/local-authority-eng/SOX/SHELAA--360
