site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"1st Floor, 234-236 Broadway, Bexleyheath",yes,,2017-12-07,,0.02,5,5,"14/01611/PRIOR, Prior approval for the change of use of the first floor from Class B1(a) to residential flats Class C3 (dwellinghouses).",local-authority-eng:BEX,not owned by a public authority,2014-10-31,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002BQPBELI000,permissioned,other,POINT(0.137412 51.457821),BLR002,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"The Former Pop In Parlour, Cornelia Place, Erith",yes,,2017-12-07,,0.026,5,5,"16/01807/FUL, Erection of a part two/part three storey building to provide 3 x 1 bed and 2 x 2 bed flats.",local-authority-eng:BEX,not owned by a public authority,2016-10-07,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00027LBELI000,permissioned,full planning permission,POINT(0.179809 51.479028),BLR003,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Ground Floor, 76 & 78 Crayford High Street, Crayford",yes,,2017-12-07,,0.028,27,27,"17/00781/PRIOR, 17/00779/PRIOR, 18/00485/PRIOR, 17/02727/PRIOR , Prior notification for the change of use from storage (Class B8) to 5 studio flats (Class C3); Prior notification for the change of use from office (Class B1) to 9 studio flats (Class C3); Prior notification for the change of use from offices (Class B1(a) to 6 x 1 bed maisonettes (Class C3); Prior notification for the change of use from storage (Class B8) to 7 studio flats (Class C3).",local-authority-eng:BEX,not owned by a public authority,2017-05-23,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002FIKBELI000,permissioned,other,POINT(0.177654 51.453438),BLR004,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Land to the rear of, 89 Sidcup High Street, Sidcup",yes,,2017-12-07,,0.045,5,5,"09/01442/FUL01, Roof extension to existing building to form an additional 2 bedroom flat with new glazed openings to existing south elevation. Erection of one residential block to rear comprising of 3x2 bedroom and 1x1 bedroom flats with communal roof terrace.",local-authority-eng:BEX,not owned by a public authority,2014-06-24,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JJGRRHBE50001,permissioned,full planning permission,POINT(0.101389 51.426664),BLR005,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"61-63 Lion Road, Bexleyheath",yes,,2017-12-07,,0.047,5,5,"15/02772/FUL, Demolition of existing buildings and erection of two apartment blocks providing 5 apartments comprising 3 x 2 bed and 2 x 1 bed apartments. Provision of 3 car parking spaces, cycle and bin store and amenity areas.",local-authority-eng:BEX,not owned by a public authority,2016-02-01,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029S0BELI000,permissioned,full planning permission,POINT(0.136162 51.456332),BLR006,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Rear of, 188d Halfway Street, Sidcup",yes,,2017-12-07,,0.043,6,6,"13/01828/FUL, Erection of one three-storey building comprising 6 one- flats with provision of 6 underground car parking spaces and refuse store.",local-authority-eng:BEX,not owned by a public authority,2016-04-15,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001K8NBELI000,permissioned,full planning permission,POINT(0.087023 51.441579),BLR015,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"70-74 Sidcup High Street, Sidcup",yes,,2017-12-07,,0.054,6,6,"15/00082/FUL, Formation of a second floor to provide 3 x 2 bed and 3 x 1 bed apartments.",local-authority-eng:BEX,not owned by a public authority,2016-04-22,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0002CHBELI000,permissioned,full planning permission,POINT(0.102774 51.426126),BLR020,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"178 Park View Road, Welling",yes,,2017-12-07,,0.06,6,6,"16/00428/FUL, Demolition of existing buildings and erection of a part two/part three storey building comprising a commercial retail unit with storage and warehousing at ground floor level and 2 x 1 bed and 4 x 2 bed flats above with communal terrace and privacy screen. Provision of 6 parking spaces to rear along with secure cycle and refuse storage.",local-authority-eng:BEX,not owned by a public authority,2016-07-11,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027MGBELI000,permissioned,full planning permission,POINT(0.114202 51.46174),BLR021,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"475, 475a and 475b Blackfen Road, Sidcup",yes,,2017-12-07,,0.067,6,6,"16/02004/FUL, Demolition of existing shops and erection of one restaurant (Class A3) and 6 x 2 bedroom flats with associated parking and amenity space.",local-authority-eng:BEX,not owned by a public authority,2017-03-21,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027F8BELI000,permissioned,full planning permission,POINT(0.115888 51.448418),BLR022,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Garage site in, Kay Street, Welling",yes,,2017-12-07,,0.22,6,6,"16/02558/FUL, Demolition of existing garages and erection of 6 dwelling houses comprising 3 x 2 bed detached and 3 x 2 bed terraced houses, bin storage areas and associated parking spaces.",local-authority-eng:BEX,not owned by a public authority,2017-01-31,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0001OOBELI000,permissioned,full planning permission,POINT(0.11118 51.470185),BLR023,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"20 and rear of 14-28 West Street, Erith",yes,,2017-12-07,,0.051,7,7,"17/00166/FUL, Demolition of existing buildings and 20 West Street to provide access and erection of 1 x 2 storey and 1 x 3 storey residential buildings comprising of 6 x 1 bed and 1 x 2 bed self-contained flats with associated parking spaces.",local-authority-eng:BEX,not owned by a public authority,2017-06-16,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00192OBELI000,permissioned,full planning permission,POINT(0.175757 51.483159),BLR028,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"241 Main Road, Sidcup",yes,,2017-12-07,,0.056,7,7,"16/00665/PRIOR, Notice of prior approval for change use from office (Use Class B1) to use for 7 x 1 bed. self contained units of accommodation (Use Class C3) and associated works including demolition of attached outbuildings/garages and alterations to the side elevation.",local-authority-eng:BEX,not owned by a public authority,2016-04-22,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0026J6BELI000,permissioned,other,POINT(0.088185 51.429526),BLR029,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"106 Sidcup High Street, Sidcup",yes,,2019-10-31,,0.055,9,9,"19/01372/FULM, Erection of a four storey building to provide a 3 screen cinema with an additional studio (Class D2), a library (Class D1), a cafe and bar (Class A3), provision of a Changing Places WC and 9 residential flats comprising 3 x 1 bed and 6 x 2 bed flats.",local-authority-eng:BEX,owned by a public authority,2019-10-14,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0002EYBELI000,permissioned,full planning permission,POINT(0.10111 51.426228),BLR033,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"28 - 32 Nuxley Road, Belvedere",yes,,2017-12-07,,0.074,8,8,"16/02008/FULM, Re-development of site to provide a retail unit (Class A1) on the ground floor and 8 x 2 bed self-contained units of accommodation on the first and second floors. Provision of car and cycle parking and refuse storage.",local-authority-eng:BEX,not owned by a public authority,2016-12-19,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0028JSBELI000,permissioned,full planning permission,POINT(0.145695 51.482472),BLR034,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Duke Of Wellington, 92 London Road, Crayford",yes,,2017-12-07,,0.093,8,8,"13/01724/FUL, Change of use and conversion of existing public house and first floor to provide 3 x 2 bedroom dwellings. Erection of new 3 storey block comprising 5 x 2 bed dwellings with associated car parking and landscaping.",local-authority-eng:BEX,not owned by a public authority,2014-03-28,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000UUIBELI000,permissioned,full planning permission,POINT(0.173985 51.451959),BLR035,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"Land Rear Of, 198 Broadway, Bexleyheath",yes,,2017-12-07,,0.062,9,9,"14/00357/FUL, Demolition of existing garages and erection of one 3 storey block of 9 apartments comprising 2 x 1 bed and 5 x 2 bed and 2 x 3 bed apartments incorporating 10 basement car spaces and 3 garages on the ground floor.",local-authority-eng:BEX,not owned by a public authority,2016-01-29,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N1NIEWBE07D01,permissioned,full planning permission,POINT(0.139747 51.457877),BLR037,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"52 - 54 Bellegrove Road, Welling",yes,,2019-10-31,,0.07,9,9,"15/00713/OUT01, Application for approval of reserved matters being access, appearance, landscaping, layout and scale following approval of outline planning permission 15/00713/OUT for an extension to provide an additional second storey to the rear consisting of 3 x 1 bed flats (C3). Change of Use and conversion of the first floor from Assembly and Leisure use (D2) to 6 flats (C3) comprising 2 x 2 bed and 4 x 1 bed flats. Provision of 4 car parking spaces, 9 cycle spaces and refuse store.",local-authority-eng:BEX,not owned by a public authority,2019-01-24,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IYBQKDBE30000,permissioned,reserved matters approval,POINT(0.103989 51.463191),BLR038,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"176-178 Bexley Road, Erith",yes,,2019-10-31,,0.11,9,9,"19/00039/FUL, Demolition of existing dwellings and erection of a block of flats comprising 9 x 2 bed flats with associated car parking, cycle and bin storage areas, amenity space and access on Horsa Road.",local-authority-eng:BEX,not owned by a public authority,2019-03-19,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0000ROBELI000,permissioned,full planning permission,POINT(0.162458 51.475122),BLR041,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
"124 Watling Street, Bexleyheath",yes,,2017-12-07,,0.112,9,9,"14/02401/FUL, Demolition of the existing dwelling and erection of one three storey block comprising of 5 x 2-bedroom and 4 x 1-bedroom apartments together with provision of on-site parking, bicycle storage, bin storage and a landscaped communal amenity area.",local-authority-eng:BEX,not owned by a public authority,2015-03-27,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=ONKPHIBE0MU01,permissioned,full planning permission,POINT(0.160255 51.45411),BLR042,https://www.bexley.gov.uk/services/planning-and-building-control/planning-policy/brownfield-land-register,2017-12-07
