site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"“Thomas St phases 3 & 4, Thomas St, Woolwich New Rd & Wellington St Woolwich“",yes,,2019-12-17,,1.82,488,488,Previous permission 06/1751/O included in 2018 Brownfield Register. Dwellings range as per Woolwich Urban Design Strategy.,local-authority-eng:GRE,not owned by a public authority,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Not Permissioned,,,RBG-01,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-01
"64 Plumstead High Street, Plumstead",yes,,2019-12-17,,0.09,7,7,17/1285/F. Started. Previous permission 07/2002/F included in 2017 Brownfield Register.,local-authority-eng:GRE,not owned by a public authority,2007-10-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.088441 51.488379),RBG-02,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-02
"“Former Greenwich District Hospital site, Vanbrugh Hill Greenwich“",yes,,2019-12-17,,2.20,686,686,"“Started. Permission 16/2591/F for 41 additional residential units increased total residential units on site to 686, up from the 645 units included in 2018 Brownfield Register and permitted by 08/0688/F.",local-authority-eng:GRE,not owned by a public authority,2009-03-31,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.009127 51.485358),RBG-03,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-03
"“The Academy (former Royal Military Academy), Academy Rd Woolwich“",yes,2018-12-17,2018-12-17,,4.41,328,328,“08/1972/F. Completed 2018.,local-authority-eng:GRE,not owned by a public authority,2009-07-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.058655 51.475956),RBG-04,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-04
"“Kidbrooke Village Phase 2, Kidbrooke Park Rd Kidbrooke“",yes,2019-12-17,2019-12-17,,5.04,595,595,“09/2269/R. Completed in 2019.,local-authority-eng:GRE,not owned by a public authority,2010-03-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,reserved matters approval,POINT(0.02368 51.460441),RBG-05,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-05
“92-94 Shooters Hill Rd Charlton“,yes,,2019-12-17,,0.07,3,3,“10/0032/F. Started,local-authority-eng:GRE,not owned by a public authority,2010-08-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.025765 51.474685),RBG-06,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-06
“83-87 Greenwich High Rd Greenwich“,yes,,2019-12-17,,0.03,14,14,18/2389/F. Previous permission 11/0848/F included in 2017 Brownfield Register lapsed.,local-authority-eng:GRE,not owned by a public authority,2019-02-14,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(-0.018096 51.476379),RBG-07,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-07
"Enderby Wharf (former Alcatel Site), Christchurch Way",yes,,2019-12-17,,3.60,677,677,“13/3025/MA. Started. Minimum net dwellings figure excludes the northern part of the site (Enderby Place) which has a separate residential permission.,local-authority-eng:GRE,not owned by a public authority,2014-11-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.006515 51.490178),RBG-08,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-08
"“Hilton's Wharf, 30-52 Norman Rd Greenwich“",yes,,2019-12-17,,0.13,85,85,“10/2354/F. Started,local-authority-eng:GRE,not owned by a public authority,2012-03-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(-0.017159 51.479727),RBG-09,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-09
"“Mast Quay Phase 2, Woolwich Church St Woolwich“",yes,,2019-12-17,,0.76,218,218,“10/0161/F. Started.,local-authority-eng:GRE,not owned by a public authority,2012-03-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,permissioned,full planning permission,POINT(0.059252 51.494012),RBG-10,,2017-12-22,brownfield-land/local-authority-eng/GRE/RBG-10
