site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Mell Square, Solihull",,,2018-12-03,,4.15,200,50,,local-authority-eng:SOL,mixed ownership,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=summary&keyVal=JV000ZOE0031G,not permissioned,,POINT(-1.776602 52.413858),BLR/039,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-039.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-039
"Four Winds, Catherine De Barnes Lane, Solihull",,,2018-12-03,,0.74,4,2,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000XZXOELI000,not permissioned,,POINT(-1.73086 52.428938),BLR/040,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-040.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-040
"Land Rear of Lavender Hall Farm, Lavender Hall Lane, Berkswell",,,2018-12-03,,3.83,2,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YGMOELI000,not permissioned,,POINT(-1.647603 52.399357),BLR/044,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-044.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-044
"Oak Farm, Hampton Lane, Catherine-De-Barnes",yes,,2019-12-09,,1.85,25,20,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000EEKOELI000,pending decision,,POINT(-1.734201 52.421151),BLR/054,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-054.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-054
"354 Stratford Road, Shirley",,,2018-12-03,,0.228,75,30,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000GKKOELI000,not permissioned,,POINT(-1.823945 52.405819),BLR/057,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-057.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-057
"NEC Land South Way, Pendigo Way, North Way, Bickenhill",,,2018-12-03,,73.42,600,250,,local-authority-eng:SOL,owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IBA2DQOE20000,not permissioned,,POINT(-1.714351 52.455177),BLR/058,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-058.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-058
"Red Star Sports Ground, Lugtrout Lane, Solihull",,,2018-12-03,,1.5,2,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=summary&keyVal=I6M04XOE20000,not permissioned,,POINT(-1.749976 52.42435),BLR/059,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-059.pdf,2018-12-03,brownfield-land/local-authority-eng/SOL/BLR-059
"147 Lugtrout Lane, Solihull",,,2018-12-03,,0.26,3,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000PX5OELI000,not permissioned,,POINT(-1.757218 52.423052),BLR/061,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-061.pdf,2018-12-03,brownfield-land/local-authority-eng/SOL/BLR-061
"Land at Highlands Road, Solihull",,,2018-12-03,,0.5,200,25,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001S6HOELI000,not permissioned,,POINT(-1.803801 52.390612),BLR/062,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-062.pdf,2018-12-03,brownfield-land/local-authority-eng/SOL/BLR-062
"Earlsmere House, Warings Green Road, Solihull",,,2018-12-03,,0.85,2,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0007Y6OELI000,not permissioned,,POINT(-1.813432 52.368036),CfS 48,http://www.solihull.gov.uk/Portals/0/Planning/BLR/CfS-48.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/CfS-48
