site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Flintham Islamic Institute, Flintham",yes,,2017-12-11,,3.45,95,95,Permission 15/03060/OUT. 95 dwelling redevelopment of the Former Islamic Institute. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NE9IFMNL08H00,local-authority-eng:RUS,not owned by a public authority,2016-09-22,https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NZLCPLNLL3L00,permissioned,outline planning permission,POINT(-0.910455 53.01476),SHLAA127,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/127.pdf,2017-12-11
"North of 1 Blind Lane, Keyworth",yes,,2017-12-11,,0.7,4,4,Permission 16/02418/FUL. 4 two bed apartments and associated car parking. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=OE48G2NL0CT00&activeTab=summary,local-authority-eng:RUS,not owned by a public authority,2016-12-16,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HO4QOANL04000,permissioned,full planning permission,POINT(-1.090355 52.870785),SHLAA164,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/164.pdf,2017-12-11
"West Bridgford Depot, West Bridgford",yes,,2017-12-11,,1.7,50,50,Suggested number of dwellings from SHLAA: 50. SHLAA assessment 50 dwellings,local-authority-eng:RUS,owned by a public authority,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000CCHNLLI000,not permissioned,,POINT(-1.119512 52.928349),SHLAA275,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/275.pdf,2017-12-11
"Former Filling Station, Radcliffe Road, West Bridgford",yes,,2017-12-11,,0.1,6,6,Planning permission 13/01936/FUL recently expired. 6 self contained flats within a mixed use development. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=MTXV7MNL07T00&activeTab=summary,local-authority-eng:RUS,not owned by a public authority,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000H06NLLI000,not permissioned,,POINT(-1.132962 52.937914),SHLAA287,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/287.pdf,2017-12-11
"Land between Lady Bay Bridge and Radcliffe Road, West Bridgford",yes,,2017-12-11,,0.15,48,48,Planning permission 16/01118/FUL. 48 apartments within a four storey building. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=O6DPXLNLMSW00&activeTab=summary,local-authority-eng:RUS,not owned by a public authority,2016-11-17,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=H8V0HENL04000,permissioned,full planning permission,POINT(-1.129413 52.939057),SHLAA319,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/319.pdf,2017-12-11
"1-27 Loughborough Road & 2-6 Bridgford Road, West Bridgford",yes,,2017-12-11,,0.7,215,215,Extended planning permission expired however still potential for brownfield development. 215 residential apartments. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I8I0DWNL04000,local-authority-eng:RUS,not owned by a public authority,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I8I0DWNL04000,not permissioned,,POINT(-1.133885 52.93642),SHLAA331,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/331.pdf,2017-12-11
"Former RAF Newton, Newton",yes,,2017-12-11,,35.4,550,550,Outline planning permission 10/02105/OUT granted in 2013. Number of dwellings in permisison: up to 550. up to 500 dwellings and up to 50 live work units. https://planningon-line.rushcliffe.gov.uk/online-applications/applicationDetails.do?keyVal=LEHRQZNL01000&activeTab=summary,local-authority-eng:RUS,not owned by a public authority,2014-01-30,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NMYENNNL08H00,permissioned,,POINT(-0.975683 52.962571),SHLAA502,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/502.pdf,2017-12-11
"15 Parkyns Street, Ruddington",yes,,2017-12-11,,0.05,5,5,Planning permission 14/01812/FUL. 5 terraced residential properties. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0097JGNLDT000,local-authority-eng:RUS,not owned by a public authority,2015-05-22,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0097JGNLDT000,permissioned,full planning permission,POINT(-1.150348 52.891186),SHLAA802,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/802.pdf,2017-12-11
"Pedigree Wholesale, The Crescent, Radcliffe on Trent",yes,,2017-12-11,,0.5,15,10,Suggested number of dwellings from SHLAA: 15. 10-15 residential dwellings as defined in a pre application for the site,local-authority-eng:RUS,not owned by a public authority,,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IP83JWNLD7000,not permissioned,,POINT(-1.004295 54.078986),SHLAA860,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/860.pdf,2017-12-11
"Reindeer Inn, Kneeton Road, East Bridgford",yes,,2017-12-12,,0.25,3,3,Planning permission 16/00630/FUL. 3 houses. https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YUINLLI000,local-authority-eng:RUS,not owned by a public authority,2016-05-13,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YUINLLI000,permissioned,full planning permission,POINT(-0.970119 52.983684),SHLAA872,http://www.rushcliffe.gov.uk/media/1rushcliffe/media/documents/pdf/planningandbuilding/planningpolicy/brownfieldregister/872.pdf,2017-12-12
