site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
TIPNER WEST,yes,,2017-12-18,,6.56,650,650,Part of City Deal. Proposed for up to 650 dwelling mixed-use as part of larger development scheme for City Deal,local-authority-eng:POR,mixed ownership,,,Not permissioned,,,1,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-001.pdf,2016-07-30,brownfield-land/local-authority-eng/POR/1
TIPNER FIRING RANGE,yes,,2017-12-18,,15.46,600,600,Part of City Deal. Proposed for up to 600 dwelling mixed-use as part of larger development scheme for City Deal,local-authority-eng:POR,owned by a public authority,,,Not permissioned,,,2,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-002.pdf,2016-07-31,brownfield-land/local-authority-eng/POR/2
LAND OFF AND BETWEEN M275 SOUTH OF TIPNER LAKE INCLUDING GREYHOUND STADIUM TWYFORD AVENUE,yes,,2017-12-18,,11.29,600,600,"Outline planning permission granted for up to 600 homes, 615sqm commercial floor space and sea wall. Permission granted for Park & Ride facility.",local-authority-eng:POR,owned by a public authority,2012-03-30,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=L7GM7TMO5G000,permissioned,outline planning permission,,3,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-003.pdf,2016-08-01,brownfield-land/local-authority-eng/POR/3
PORT SOLENT HMS EXCELLENT,yes,,2017-12-18,,25.34,500,500,"The site has considerable contaminated land issues through industrial use of the land, landfill and land reclamation. Therefore, before any development can take place the council will need to be satisfied that an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Allocated in Core Strategy (2011-2027) for approx. 500 homes. Also part of City Deal ",local-authority-eng:POR,mixed ownership,,,Not permissioned,,,4,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-004.pdf,2016-08-02,brownfield-land/local-authority-eng/POR/4
"CITY CENTRE IDENTIFIED PERMISSIONS (EUROPA HOUSE, HAVANT STREET)",yes,,2017-12-18,,0.26,200,200,Subject to conditions. Change of use from office (Class B1) to halls of residence (Class C1) at levels 6-18 of Europa House and the annex building to form 262 study bedrooms with communal facilities,local-authority-eng:POR,,2015-06-18,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCF4FMOI3V00,permissioned,full planning permission,,12,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-012.pdf,2016-08-05,brownfield-land/local-authority-eng/POR/12
TRAFALGAR WHARF,yes,,2017-12-18,,3.23,160,160,"The site has considerable contaminated land issues. Therefore, before any development can take place the council will need to be satisfied that thorough investigation of the site has taken place and an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Resolution to grant permission for 163 units. Allocated for residential development in Portsmouth City Plan 2001-2011",local-authority-eng:POR,not owned by a public authority,,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MSUUZTMO5G000,pending decision,,,14,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-014.pdf,2016-08-06,brownfield-land/local-authority-eng/POR/14
DRAYTON DAIRY,yes,,2017-12-18,,2.52,100,100,Resolution to grant permission subject to S106.. Outline application for the construction of up to 108 dwellings,local-authority-eng:POR,owned by a public authority,2017-09-20,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OL60SKMOJTS00,permissioned,Other,,16,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-016.pdf,2016-08-07,brownfield-land/local-authority-eng/POR/16
QINETIQ - FRASER BATTERY,yes,,2017-12-18,,5.45,130,130,Previous planning application withdrawn for 131 residential dwellings. Recent refused planning application for access road to accommodate residential development,local-authority-eng:POR,not owned by a public authority,,,Not permissioned,,,27,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-027.pdf,2016-08-14,brownfield-land/local-authority-eng/POR/27
42-56 GKN AUTOPARTS LTD MIDDLE STREET,yes,,2017-12-18,,0.11,60,60,Subject to conditions. Construction of 4-storey building to form 66 unit student halls of residence (within Class C1) and three commercial units to ground floor for purposes within Use Class B1 after demolition of existing building,local-authority-eng:POR,not owned by a public authority,2015-02-10,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MXWFV2MOGHQ00,permissioned,full planning permission,,32,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-032.pdf,2016-08-17,brownfield-land/local-authority-eng/POR/32
QUEENS HOTEL,yes,,2017-12-18,,0.84,30,30,Subject to conditions. Construction of eight-storey building comprising 38 apartments above extended landscapes podium level and associated car parking facilities,local-authority-eng:POR,not owned by a public authority,2012-03-15,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LDTP2UMO02T00,permissioned,full planning permission,,34,https://www.portsmouth.gov.uk/Ext/Documents-External/PLN-Brownfield-Land-Site-034.pdf,2016-08-19,brownfield-land/local-authority-eng/POR/34
