site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Horwood Hall, Keele University",yes,,2019-12-12,,7.25,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),local-authority-eng:NEC,not owned by a public authority,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,POINT(-2.273372 53.000961),KL28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,2019-12-12,brownfield-land/local-authority-eng/NEC/KL28
"Lindsey Hall, Keele University",yes,,2019-12-12,,3.66,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),local-authority-eng:NEC,not owned by a public authority,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,POINT(-2.273372 53.000961),KL29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,2019-12-12,brownfield-land/local-authority-eng/NEC/KL29
"Barnes Hall, Keele University",yes,,2019-12-12,,5.25,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),local-authority-eng:NEC,not owned by a public authority,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,POINT(-2.273372 53.000961),KL30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,2019-12-12,brownfield-land/local-authority-eng/NEC/KL30
"The Forge, Knutton Lane, Knutton",yes,,2019-12-12,,0.68,,,18/00932/FUL - Demolition of existing bungalows and construction of 30 affordable dwellings,local-authority-eng:NEC,not owned by a public authority,2019-04-26,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PTLN01BM03Y02,permissioned,full planning permission,POINT(-2.245237 53.016196),KS16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PIJR7HBMFHN00,2019-12-12,brownfield-land/local-authority-eng/NEC/KS16
Land at Nash Street Knutton,,,2019-12-12,,0.3,,,09/00092/OUT - Erection of 24 dwelling houses. Now lapsed,local-authority-eng:NEC,not owned by a public authority,2019-07-03,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0014JLBMLI000,not permissioned,,POINT(-2.248076 53.020056),KS18,,2019-12-12,brownfield-land/local-authority-eng/NEC/KS18
"Land at junction of Church Street and Chapel Street, Silverdale",yes,22/05/2019,2019-12-12,,0.12,,,16/00088/FUL - 6 dwellings. Now completed,local-authority-eng:NEC,not owned by a public authority,2016-03-30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001LWOBMLI000,permissioned,full planning permission,POINT(-2.269375 53.016712),KS19,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O1WRHBBMJ3D00,2017-12-18,brownfield-land/local-authority-eng/NEC/KS19
"Tadgedale Quarry, Mucklestone Road, Loggerheads",yes,,2019-12-12,,5.84,,,15/00015/OUT - Erection of up to 128 dwellings,local-authority-eng:NEC,not owned by a public authority,2017-03-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001P5VBMLI000,permissioned,outline planning permission,POINT(-2.398772 52.925334),LW12,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHY8TYBMKD200,2017-12-18,brownfield-land/local-authority-eng/NEC/LW12
Land Adjacent The Sheet Anchor Newcastle Road Whitmore ST5 5BU,yes,,2019-12-12,,0.48,,,16/00609/FUL - Construction of 7 new houses,local-authority-eng:NEC,not owned by a public authority,2016-12-16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001PDABMLI000,permissioned,full planning permission,POINT(-2.304841 52.960975),LW36,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OANVPWBMITT00,2017-12-18,brownfield-land/local-authority-eng/NEC/LW36
"Stoneyfields Court, May Bank",,,2019-12-12,,0.12,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.215873 53.016442),MB12,,2019-12-12,brownfield-land/local-authority-eng/NEC/MB12
"Hyacinth Court, May Bank",,,2019-12-12,,0.23,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.221597 53.019326),MB13,,2019-12-12,brownfield-land/local-authority-eng/NEC/MB13
"The Hollies, May Bank",,,2019-12-12,,0.11,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.22262 53.018218),MB15,,2019-12-12,brownfield-land/local-authority-eng/NEC/MB15
