site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"41 -51, Queen Street, Burslem, Stoke On Trent, ST6 3EH",yes,,2019-09-26,,0.07,9,9,,local-authority-eng:STE,not owned by a public authority,2018-10-26,,permissioned,full planning permission,POINT(-2.198268 53.044376),62462,,2019-09-26,brownfield-land/local-authority-eng/STE/62462
"Queen of Hearts, Lillydale Road, Bucknall, Stoke-on-Trent",yes,,2019-09-26,,0.22,16,16,,local-authority-eng:STE,not owned by a public authority,2018-09-28,,permissioned,full planning permission,POINT(-2.135015 53.022451),62528,,2019-09-26,brownfield-land/local-authority-eng/STE/62528
"6 Jasper Street, Hanley, Stoke-on-Trent, ST1 3DA",yes,,2019-09-26,,0.05,6,6,,local-authority-eng:STE,not owned by a public authority,2018-08-17,,permissioned,full planning permission,POINT(-2.173746 53.021872),62706,,2019-09-26,brownfield-land/local-authority-eng/STE/62706
"Land at Sneyd Street, Stoke-On-Trent, ST6 2NS",yes,,2019-09-26,,0.25,16,16,,local-authority-eng:STE,not owned by a public authority,2018-11-07,,permissioned,full planning permission,POINT(-2.176647 53.03787),62711,,2019-09-26,brownfield-land/local-authority-eng/STE/62711
"Snow's Garage, 706 Leek Road, Stoke-On-Trent, ST1 3NP",yes,,2019-09-26,,0.4,14,14,,local-authority-eng:STE,not owned by a public authority,2018-11-13,,permissioned,full planning permission,POINT(-2.159334 53.020776),62726,,2019-09-26,brownfield-land/local-authority-eng/STE/62726
"Former Florence County Primary School, St Clair Street, Florence, Stoke-on-Trent, ST3 4NH",yes,,2019-09-26,,0.33,20,20,,local-authority-eng:STE,not owned by a public authority,2018-11-01,,permissioned,full planning permission,POINT(-2.130706 52.980181),62728,,2019-09-26,brownfield-land/local-authority-eng/STE/62728
"Former Blurton Railway site, off Church Road, Blurton, Stoke-on-Trent",yes,,2019-09-26,,0.17,6,6,,local-authority-eng:STE,not owned by a public authority,2019-03-01,,permissioned,full planning permission,POINT(-2.150813 52.978062),62731,,2019-09-26,brownfield-land/local-authority-eng/STE/62731
"Former Blurton Railway site, off Church Road, Blurton, Stoke-on-Trent",yes,,2019-09-26,,0.16,7,7,,local-authority-eng:STE,not owned by a public authority,2013-12-13,,permissioned,full planning permission,POINT(-2.150838 52.978069),62731,,2019-09-26,brownfield-land/local-authority-eng/STE/62731
"18 Haydon Street, Basford, Stoke-on-Trent, ST4 6JE",yes,,2019-09-26,,0.04,5,5,,local-authority-eng:STE,not owned by a public authority,2018-10-08,,permissioned,full planning permission,POINT(-2.20797 53.015391),62965,,2019-09-26,brownfield-land/local-authority-eng/STE/62965
"Former Weston Coyney Arms, 331 Weston Coyney Road, Weston Coyney, Stoke-on-Trent, ST3 6ES",yes,,2019-09-26,,0.03,13,13,,local-authority-eng:STE,not owned by a public authority,2019-01-16,,permissioned,full planning permission,POINT(-2.106386 52.989329),63067,,2019-09-26,brownfield-land/local-authority-eng/STE/63067
"Land at 56 - 68 Ainsworth Street, Mount Pleasant, Stoke-on-Trent, ST4 4JR",yes,,2019-09-26,,0.12,6,6,,local-authority-eng:STE,not owned by a public authority,2018-11-06,,permissioned,outline planning permission,POINT(-2.175623 52.994164),63079,,2019-09-26,brownfield-land/local-authority-eng/STE/63079
"Former Workshops for the Blind, City Road, Fenton, Stoke-on-Trent ST4 2PL",yes,,2019-09-26,,1.31,93,93,,local-authority-eng:STE,owned by a public authority,2019-03-05,,permissioned,full planning permission,POINT(-2.166635 53.000581),63095,,2019-09-26,brownfield-land/local-authority-eng/STE/63095
"Former Fenton Local Centre and car park, Baker Street, Fenton, Stoke-on-Trent ST4 3AF",yes,,2019-09-26,,0.56,42,42,,local-authority-eng:STE,owned by a public authority,2019-03-05,,permissioned,full planning permission,POINT(-2.163762 52.998949),63096,,2019-09-26,brownfield-land/local-authority-eng/STE/63096
"Land off Pembridge Road, Blurton, Stoke-on-Trent, ST3 3BU",yes,,2019-09-26,,0.22,6,6,,local-authority-eng:STE,not owned by a public authority,2018-12-18,,permissioned,full planning permission,POINT(-2.15762 52.970493),63108,,2019-09-26,brownfield-land/local-authority-eng/STE/63108
"Land off Fallowfield, Blurton, Stoke-on-Trent, ST3 3EH",yes,,2019-09-26,,0.17,5,5,,local-authority-eng:STE,not owned by a public authority,2018-12-07,,permissioned,full planning permission,POINT(-2.156001 52.972912),63109,,2019-09-26,brownfield-land/local-authority-eng/STE/63109
"Land off Chamberlain Avenue, Stoke-on-Trent, ST4 5EQ",yes,,2019-09-26,,0.15,10,10,,local-authority-eng:STE,not owned by a public authority,2019-01-30,,permissioned,full planning permission,POINT(-2.195269 53.00017),63110,,2019-09-26,brownfield-land/local-authority-eng/STE/63110
"Lord John House, Waterloo Street, Hanley, Stoke-on-Trent, ST1 3PW",yes,,2019-09-26,,0.05,10,10,,local-authority-eng:STE,not owned by a public authority,2019-02-25,,permissioned,full planning permission,POINT(-2.169431 53.022875),63145,,2019-09-26,brownfield-land/local-authority-eng/STE/63145
"Hamil House, Hamil Road, Burslem, Stoke-on-Trent, ST6 1AQ",yes,,2019-09-26,,0.03,11,11,,local-authority-eng:STE,not owned by a public authority,2018-12-21,,permissioned,full planning permission,POINT(-2.193939 53.047481),63231,,2019-09-26,brownfield-land/local-authority-eng/STE/63231
