site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"The Tally Ho Inn, 45 Ploughley Road, Arncott",yes,,2018-12-03,,0.4,9,9,,local-authority-eng:CHR,not owned by a public authority,2017-08-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.115313 51.857422),BLR1,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,yes,,2017-12-04,,0.12,8,8,,local-authority-eng:CHR,not owned by a public authority,2016-11-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.337632 52.062033),BLR2,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"15 - 16 South Bar Street, Banbury",yes,,2018-12-03,,0.02,8,8,,local-authority-eng:CHR,not owned by a public authority,2018-02-13,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.340042 52.058863),BLR3,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"27 Park Road, Banbury",yes,,2017-12-04,,0.07,6,6,,local-authority-eng:CHR,not owned by a public authority,2015-12-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.348312 52.060824),BLR4,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"3 West Bar Street, Banbury",yes,,2017-12-04,,0.14,12,12,,local-authority-eng:CHR,not owned by a public authority,2016-12-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.342454 52.059443),BLR5,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"60 - 62 Broad Street, Banbury",yes,,2018-12-03,,0.06,12,12,,local-authority-eng:CHR,not owned by a public authority,2017-04-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.335005 52.06111),BLR6,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Admiral Holland, Woodgreen Avenue, Banbury",yes,,2017-12-04,,0.4,16,16,This is a council owned site. Planning permission for the demolition of the public house has already been granted.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,POINT(-1.353164 52.062218),BLR7,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Canalside, Banbury",,,2018-12-03,,24.78,649,649,2018 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared. Planning permission for 51 homes at Crown House has already been given and is under construction. The 51 homes have been deducted from the total of 700 homes.,local-authority-eng:CHR,mixed ownership,,,Not permissioned,,POINT(-1.328958 52.058756),BLR9,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Car Park Edmunds House, 40 South Bar Street, Banbury",yes,,2018-12-03,,0.08,6,6,,local-authority-eng:CHR,not owned by a public authority,2017-07-31,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.34132 52.05825),BLR10,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Bolton Road, Banbury",,,2018-12-03,,2,200,200,2018 HELAA site - HELAA257.,local-authority-eng:CHR,,,,Not permissioned,,POINT(-1.337983 52.062943),BLR11,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Higham Way, Banbury",yes,,2017-12-04,,3,150,150,2018 HELAA site - HELAA254.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.323207 52.058112),BLR12,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"P R Alcock And Sons Ltd, Castle Street, Banbury",yes,,2017-12-04,,0.16,5,5,,local-authority-eng:CHR,not owned by a public authority,2015-11-26,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.336673 52.063771),BLR15,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
