site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Tradelights, 19 Oxford Street, Market Rasen",yes,2019-12-06,2019-03-31,,0.09,7,7,Completed - full planning permission (132068),local-authority-eng:WLI,,2015-02-13,,permissioned,full planning permission,POINT(-0.33349 53.38617),18,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/18
"22 North Marsh Road, Gainsborough",yes,,2019-03-31,,0.19,24,24,Full planning permission (132259),local-authority-eng:WLI,,2016-07-28,,permissioned,full planning permission,POINT(-0.780437 53.409045),19,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21,brownfield-land/local-authority-eng/WLI/19
"The Mill, Whitegate Hill, Caistor",yes,,2019-03-31,,0.65,8,8,Reserved matters approval (137463),local-authority-eng:WLI,,2018-05-23,,permissioned,reserved matters approval,POINT(-0.304774 53.491277),20,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21,brownfield-land/local-authority-eng/WLI/20
"Red Lion, 1 Marton Road, Sturton by Stow",,2019-12-06,2019-03-31,,0.19,6,6,Removed - full planning permission (133052) though no longer intended for residential development,local-authority-eng:WLI,,2016-06-08,,permissioned,full planning permission,POINT(-0.665425 53.312321),21,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/21
"Officers Mess, Brookenby Business Park, Binbrook, Brookenby",yes,,2019-03-31,,2.09,9,9,Reserved matters approval (137494 / 133282),local-authority-eng:WLI,,2018-05-09,,permissioned,reserved matters approval,POINT(-0.187826 53.44251),22,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/22
"Gleadells Wharf, Bridge Street, Gainsborough",,,2019-03-31,,0.16,14,14,Full planning permission (133393),local-authority-eng:WLI,,2016-02-04,,permissioned,full planning permission,POINT(-0.776266 53.395509),23,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/23
"Peacock Hotel, Corringham Road, Gainsborough",yes,,2019-03-31,,0.8,23,23,Full planning permission (133439),local-authority-eng:WLI,,2016-11-18,,permissioned,full planning permission,POINT(-0.76315 53.405451),24,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/24
"George Hotel, 15 Main Road, Langworth",yes,,2019-03-31,,2.02,23,23,Reserved matters approval (133773),local-authority-eng:WLI,,2016-05-23,,permissioned,reserved matters approval,POINT(-0.40513 53.276082),25,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/25
"Land At Sunnyside, Caenby Road, Glentham",yes,,2019-03-31,,0.37,6,6,Reserved matters approval (134644),local-authority-eng:WLI,,2016-09-09,,permissioned,reserved matters approval,POINT(-0.496024 53.399304),26,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/26
"The Beckett School, Whites Wood Lane, Gainsborough",yes,,2019-03-31,,0.65,25,25,Reserved matters approval (138319),local-authority-eng:WLI,,2019-01-23,,permissioned,reserved matters approval,POINT(-0.752086 53.399556),27,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21,brownfield-land/local-authority-eng/WLI/27
"19 Oxford Street, Market Rasen",yes,2019-12-06,2019-03-31,,0.13,10,10,Completed - full planning permission (136394),local-authority-eng:WLI,,2017-09-29,,permissioned,full planning permission,POINT(-0.333979 53.386348),28,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/28
"Land off, Hersey Road, Caistor",yes,,2019-03-31,,0.26,10,10,Full planning permission (137074),local-authority-eng:WLI,,2018-03-05,,permissioned,full planning permission,POINT(-0.324081 53.496295),29,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21,brownfield-land/local-authority-eng/WLI/29
"Queensway, Sturton by Stow",yes,,2019-03-31,,0.27,8,8,Full planning permission (137562),local-authority-eng:WLI,,2018-09-10,,permissioned,full planning permission,POINT(-0.666512 53.309708),30,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/30
"Land to the rear of Marquis Of Granby, High Street, Waddingham",yes,,2019-03-31,,0.42,7,7,Outline planning permission (138660),local-authority-eng:WLI,,2019-03-21,,permissioned,outline planning permission,POINT(-0.520803 53.452875),31,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2019-12-06,brownfield-land/local-authority-eng/WLI/31
"The Filling Station, 3 Lincoln Road, Saxilby",yes,,2019-03-31,,0.2,5,5,Full planning permission (137869),local-authority-eng:WLI,,2018-08-01,,permissioned,full planning permission,POINT(-0.652919 53.265616),32,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2019-12-06,brownfield-land/local-authority-eng/WLI/32
