site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Rope Walks Car Park,,,2020-01-04,,1.8,20,20,,local-authority-eng:DST,mixed ownership,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.76 50.73),LA/BRID/005,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-BRID-005
St Swithins Road,,,2020-01-04,,0.3,12,12,,local-authority-eng:DST,mixed ownership,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.76 50.74),LA/BRID/006,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-BRID-006
Land off Chalky Road,,,2020-01-04,,0.27,6,6,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.39 50.68),LA/BRWK/010,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-BRWK-010
Land at Francombe Farm,yes,,2020-01-04,,0.64,14,14,,local-authority-eng:DST,not owned by a public authority,2019-05-31,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.48 50.81),LA/CERN/001,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-CERN-001
Chickerell Bus Depot,,,2020-01-04,,0.38,12,12,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.5 50.62),LA/CHIC/015,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-CHIC-015
26 - 32 Canford Bottom,,,2020-01-04,yes,0.83,26,26,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-1.94 50.8),LA/COLE/021,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-COLE-021
East Dorset Council Offices,,,2020-01-04,,1.46,40,40,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-1.98 50.82),LA/COLE/022,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-COLE-022
"Fordington Farm, Armada Way",,,2020-01-04,,0.16,6,6,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.43 50.71),LA/DORC/005,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-005
Former HMP Dorchester,yes,,2020-01-04,,1.74,185,185,,local-authority-eng:DST,not owned by a public authority,2017-02-16,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.44 50.72),LA/DORC/006,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-006
"Garages and car park, Friary Lane",,,2020-01-04,,0.28,10,10,,local-authority-eng:DST,mixed ownership,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.44 50.72),LA/DORC/007,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-007
Jonson Trading Park,,,2020-01-04,,0.29,6,6,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.42 50.71),LA/DORC/008,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-008
"Land adj The Barn, Little Britain",,,2020-01-04,,0.21,5,5,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.42 50.71),LA/DORC/009,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-009
Land to the east of Wareham Bridge,,,2020-01-04,,0.55,8,8,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.42 50.71),LA/DORC/010,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-010
