site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Mead Works 137-139 Horninglow Street,yes,,2018-09-30,,0.26,8,8,"Site now included in the Housing Permissions - Not yet commenced. Site historically a SHLAA site - Site vacant, Extention to time limit application for dwellings never implemented (Full Application approved 19/01/2010 - PA/00560/068/CLF). Demolition of No.'s 137-139 Horninglow Street and the warehouse building to the north end of the site to facilitate the erection of 10 townhouses and 4 flats, formation of vehicular access with associated car parking, hard and soft landscaping and boundar",local-authority-eng:EST,not owned by a public authority,2018-07-16,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.631766 52.808559),ESBC-BR13,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR13
Goat Maltings,,,2017-09-29,,0.19,60,60,"Site historically a SHLAA site - Site vacant (PA/07932/027 - 2006 Application for the conversion of the Goat Maltings to 60 apartments , never implemented). Conversion of the Goat Maltings building to form 60 apartments",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.643232 52.799658),ESBC-BR14,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR14
Burton Beer Mats,,,2017-09-29,,0.28,8,8,Site historically a SHLAA site - Site vacant,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.642164 52.803323),ESBC-BR15,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR15
Derby Street Auction Rooms,,,2017-09-29,,0.22,6,6,"Site historically a SHLAA site - Site vacant (P/2011/00272/MB - 2011 Application for the erection of a 61 bedroomed residential nursing home (Class C2) , never implemented)",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.636711 52.813347),ESBC-BR16,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR16
Uttoxeter Highways Depot,,,2017-09-29,,0.87,30,30,"Site historically a SHLAA site - Site could become vacant as new recycling centre now open (P/2010/01298/JPM - 2010 Application for the erection of upto 30 dwellings, never implemented). Outline application for the erection of up-to 30 dwellings",local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.86979 52.89443),ESBC-BR18,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR18
132 Derby Street Burton,,,2018-09-30,,0.13,8,8,Site included in the Housing Permissions previously but has since expired due to non commencement. Conversion of existing buildings to form 8 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.637114 52.81307),ESBC-BR19,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR19
36 Derby Road Burton,,,2018-09-30,,0.1,10,10,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of 7 dwellings and conversion and extension of existing building to form 3 flats,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.633023 52.816168),ESBC-BR20,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR20
43 High Street Burton,yes,,2017-09-29,,0.02,8,8,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Raising of roof by 1 metre to facilitate the conversion of first and second floors into 8 apartments and installation of new shop front,local-authority-eng:EST,not owned by a public authority,2012-08-21,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.62951 52.80349),ESBC-BR22,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR22
The Refinery,yes,,2017-09-29,,0.04,10,10,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Change of use of nightclub (Sui Generis) to Class A1 (Shops), Class A2 (Financial and Professional Services), Class A3 (Restaurants and Cafes) and Class B1 (Offices) uses, with 7 apartments on the first and second floors and erection of a two and half storey building and glazed link extension for Class A1, A2, A3 and B1 uses, with 3 apartments on the first and second floors",local-authority-eng:EST,not owned by a public authority,2011-03-08,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.629313 52.802294),ESBC-BR23,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR23
Britannia House,,,2018-09-30,,0.09,6,6,Site included in the Housing Permissions previously but has since expired due to non commencement. Change of use of first floor offices (Class B1a) to form six flats (Class C3),local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.634105 52.8039),ESBC-BR24,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR24
