name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
5855,"Davenshaw Mill, Buxton Road, Congleton",yes,,2019-11-15,,0.22,10,10,"Planning permission ref: 16/3826C -Demolition of existing industrial premises, site remediation and development of 10 residential units, associated car parking, landscaping, services and infrastructure",local-authority-eng:CHE,not owned by a public authority,2017-03-09,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3826C&query=d1577d2c-7d61-4dbc-ac87-554b7dadab90,permissioned,full planning permission,POINT(-2.201482 53.168523),5855,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5855
5857,"Land Off Meadowbank Avenue, Sandbach",yes,,2019-11-15,,0.19,5,5,"Planning permission ref:16/5809C- Demolition of existing building and erection of 8 dwellings, associated parking and landscaping",local-authority-eng:CHE,not owned by a public authority,2017-03-08,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/5809C&query=80c0b9fa-9433-4ca5-b403-7d7618ee25cf,permissioned,full planning permission,POINT(-2.373296 53.13089),5857,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5857
5867,"Kendal House, Kendal Road, Macclesfield",yes,2019-11-15,2019-11-15,,0.34,14,14,Site is completed. Planning permission ref: 16/6189M -Change of use from Children's Day Nursery to Permanent Residence for Supported Living for 14no. Adults. Alterations to the building consisting of conservatory to rear facing side elevation and ramp access to main front entrance,local-authority-eng:CHE,not owned by a public authority,2017-03-06,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/6189M&query=5e5e35fc-0bc2-4d66-a3f0-2010b14c1944,permissioned,full planning permission,POINT(-2.154796 53.251997),5867,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5867
5877,"Inglewood Farm, Middlewich Road, Minshull Vernon",yes,,2019-11-15,,0.63,8,8,"Planning permission ref: 16/4734N -Demolition of all of the existing buildings on the site, the change of use from residential and builders yard and the development of up to 8 residential properties",local-authority-eng:CHE,not owned by a public authority,2017-03-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/4734N&query=7cbbedba-e2b9-4c49-bc04-eef0e86a6738,permissioned,outline planning permission,POINT(-2.476456 53.14916),5877,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5877
5881,"Pyegreave Farm, Coalpit Lane, Langley",yes,,2019-11-15,,0.07,5,5,Planning permission ref: 17/0743M -Removal of condition 3 of 80919P to allow the use of the holiday lets as permanent residential properties,local-authority-eng:CHE,not owned by a public authority,2017-03-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=17/0743M&query=8a3dfffb-b116-4308-b5eb-d0db27341a5a,permissioned,full planning permission,POINT(-2.095466 53.245725),5881,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5881
5892,"1 George Street, Alderley Edge, Wilmslow",yes,,2019-11-15,,0.03,6,6,"Planning permission ref: 16/0505M -Proposed alterations and extensions to provide five apartments and five car parking spaces, including the change of use of ground and first floor offices to residential and the retention of the shop unit in the London Road frontage",local-authority-eng:CHE,mixed ownership,2016-10-14,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0505M&query=db4a0c4f-9c17-4857-acb7-099ad73ef7f2,permissioned,full planning permission,POINT(-2.236827 53.300083),5892,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5892
5899,"Elmbank House, Lodge Road, Sandbach",,,2019-11-15,,1.79,50,50,Planning permission ref: 16/2645C -Demolition of all existing on site structures and the redevelopment of the site for 50 residential dwellings with associated landscaping and vehicular access from Lodge Road,local-authority-eng:CHE,not owned by a public authority,2018-02-02,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/2645C&query=e5f3559d-7dbd-4df3-ba2d-16b4ed06b1df,permissioned,outline planning permission,POINT(-2.386599 53.140028),5899,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2017-10-19,/brownfield-land/local-authority-eng/CHE/5899
5900,"Alsager Arms Hotel, 4, SANDBACH ROAD SOUTH, ALSAGER, ST7 2LU",yes,,2019-11-15,,0.18,14,14,Planning permission ref: 16/1024C: Demolition of existing pub hotel building and construction of 14no. apartments ,local-authority-eng:CHE,not owned by a public authority,2017-08-15,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1024C&query=642e64a1-8b91-4be7-b138-dc69d83315fe,permissioned,outline planning permission,POINT(-2.300168 53.093158),5900,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2018-10-31,/brownfield-land/local-authority-eng/CHE/5900
5907,"SOMERFORD BOOTHS HALL, CHELFORD ROAD, SOMERFORD, CW12 2LY",yes,,2019-11-15,,1.08,30,30,Planning permission ref: 15/5369C -Full planning application proposing the conversion of the Grade II* listed hall from offices to residential and demolition of the existing buildings and the erection of a residential development set in attractive landscaping and open space with associated access and car parking arrangements.,local-authority-eng:CHE,not owned by a public authority,2017-09-01,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/5369C&query=f78a8658-8acf-46fb-a37f-2d12e9f94116,permissioned,full planning permission,POINT(-2.255706 53.186911),5907,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2018-10-31,/brownfield-land/local-authority-eng/CHE/5907
5958,"THE WHITE LION, AUDLEM ROAD, HANKELOW, CW3 0JA",yes,,2019-11-15,,0.2,5,5,Planning permission ref: 16/3664N -Demolition of public house and erection of 5 four-bedroom detached dwellings,local-authority-eng:CHE,not owned by a public authority,2017-07-14,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3664N&query=27f35f71-7165-4640-b284-8e3d191d9bb5,permissioned,full planning permission,POINT(-2.491763 53.004735),5958,http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,2018-10-31,/brownfield-land/local-authority-eng/CHE/5958
