site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"The Litten, Newtown Road, Newbury, RG14 7BB",yes,,2017-10-17,,0.06,7,7,Proposed change of use and conversion into 7 no. residential flats with associated internal alterations,local-authority-eng:WBK,not owned by a public authority,2016-12-02,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OEM8OIRD0JH00,permissioned,full planning permission,POINT(-1.326859 51.396556),BR/2017/11,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OEM8OIRD0JH00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-11
"Sandleford Farm, Sandleford, Newtown, Newbury, RG20 9BB",yes,,2017-10-17,,0.38,9,9,"To redevelop the site to facilitate provision of 9 residential units (barn like), two 2 bed, four 3 bed and three 4 bed. This will require a change of use from industrial to residential and a new access onto the main (A339) road along with the construction of sound barriers and provision for parking and landscaping",local-authority-eng:WBK,not owned by a public authority,2014-03-10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MU1AM1RD0EF00,permissioned,full planning permission,POINT(-1.318309 51.377983),BR/2017/12,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MU1AM1RD0EF00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-12
"Sherwood House, 78 London Road, Newbury, RG14 1LA",yes,,2017-10-17,,0.31,9,9,"Application to determine if Prior Approval is required for the Change of Use of first, second and third floor B1 office space to 9 new dwellings",local-authority-eng:WBK,not owned by a public authority,2016-06-17,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O6CJWMRD0JA00,permissioned,other,POINT(-1.319434 51.40679),BR/2017/13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6CJWMRD0JA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-13
"11-17 and land to side of Mill Lane, Newbury",yes,,2017-10-17,,0.23,12,12,Demolition of existing four almshouses and the erection of 16 No. one and two bedroom affordable flats together with associated external works,local-authority-eng:WBK,not owned by a public authority,2015-09-10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NIY0PKRD04Z00,permissioned,full planning permission,POINT(-1.319128 51.400297),BR/2017/14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NIY0PKRD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-14
"St Marys Surgery, St Marys Road, Newbury, RG14 1EQ",yes,,2017-10-17,,0.1,12,12,Demolition of existing building and the erection of 12 no. flats and associated works,local-authority-eng:WBK,not owned by a public authority,2015-05-13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NTKXTRRD0EF00,permissioned,full planning permission,POINT(-1.319933 51.406065),BR/2017/15,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NTKXTRRD0EF00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-15
"Centrix House, 5 Oxford Road, Newbury, RG14 1PD",yes,,2017-10-17,,0.16,15,15,Application to determine if Prior Approval is required for conversion of existing office building to 15 residential flats,local-authority-eng:WBK,not owned by a public authority,2017-03-09,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OKOYWPRD0IP00,permissioned,other,POINT(-1.327878 51.406444),BR/2017/16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKOYWPRD0IP00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-16
"25 Bartholomew Street, Newbury, RG14 5LL",yes,,2017-10-17,,0.17,16,16,Change of use of upper floor offices (B1a) to form 16 No. apartments (C3),local-authority-eng:WBK,not owned by a public authority,2017-07-20,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O87A7TRD04Z00,permissioned,other,POINT(-1.325462 51.399686),BR/2017/17,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O87A7TRD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-17
"Land at Former Travis Perkins, Carpenters Close, Newbury",yes,,2017-10-17,,0.24,22,22,"Full planning application for the proposed conversion of extant permission of B1a offices to residential use - erection of 22 residential dwellings including 50% affordable housing with associated car parking , cycles parking and associated works",local-authority-eng:WBK,not owned by a public authority,2017-01-10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O44Z06RD04Z00,permissioned,full planning permission,POINT(-1.315512 51.400806),BR/2017/18,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O44Z06RD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-18
"115 London Road and part of Merchant Court, Kelvin Road, Newbury",yes,,2017-10-17,,0.3,35,35,"Outline application for development of 35 apartments containing a mixture of 1, 2 and 3 bedrooms and 1,700sqm B1 Office Space. Matters to be considered: Access, Layout and Scale",local-authority-eng:WBK,not owned by a public authority,2016-11-01,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5O5FBRD0HD00,permissioned,outline planning permission,POINT(-1.3168 51.406011),BR/2017/19,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5O5FBRD0HD00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-19
"J & P Motors, Newtown Road, Newbury",yes,,2017-10-17,,0.34,37,37,Demolition of existing garage and change of use to erect 37 No.1 and 2 bedroom apartments and associated works,local-authority-eng:WBK,not owned by a public authority,2007-11-23,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JMECZERD79000,permissioned,full planning permission,POINT(-1.321287 51.385482),BR/2017/20,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JMECZERD79000,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-20
"11 -15 Bartholomew Street, Newbury",yes,,2017-10-17,,0.33,47,47,"Demolition of all existing buildings to facilitate the mixed use redevelopment of the site for residential and commercial uses comprising 4 units for Class A1/ A2/A3 use at ground floor with 47no. Class 3 flats (15 x 1 bed and 32 x 2 beds) on up to three upper floors, provision of ground floor car/cycle parking and refuse storage areas and landscaped amenity areas at ground and first floor levels",local-authority-eng:WBK,not owned by a public authority,2016-08-05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NYTX63RD0JA00,permissioned,full planning permission,POINT(-1.324746 51.400464),BR/2017/21,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYTX63RD0JA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-21
"Northcroft House And Avonbank House, Newbury",yes,,2017-10-17,,0.29,61,61,"Demolition and redevelopment to form 59 sheltered apartments for the elderly including communal facilities (Category II type accommodation), access, car parking and landscaping",local-authority-eng:WBK,not owned by a public authority,2015-09-07,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NNM840RD01V00,permissioned,full planning permission,POINT(-1.326565 51.402884),BR/2017/22,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNM840RD01V00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-22
