site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
8 to 10 Howard Street Bedford,yes,,2017-09-30,,0.08,6,6,Prior Notification submitted for change of use however approval was not required as confirmed on 30/03/17. This is not a planning application because it relates to development that is already permitted by Government Regulation.. CoU from offices (B1) to dwellinghouses (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.465972 52.137827),17/00345/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
45 Harpur Street Bedford,yes,,2017-09-30,,0.19,23,23,Prior Approval 16/00156/CPNO was granted 17/03/16 for 21 flats. A further Prior Approval 17/00664/CPNO was granted 27/04/17 which revises the first floor design and layout of 16/00156/CPNO to add an additional two flats. This is not a planning application because it relates to development that is already permitted by Government Regulation.. CoU from offices (B1) to dwelling houses (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.468029 52.138367),17/00664/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Chailey House 26 to 30 Cardington Road Bedford,yes,,2017-09-30,,0.27,38,38,Prior Approval granted 26/05/17. This is not a planning application because it relates to development that is already permitted by Government Regulation.. Change of use from offices (B1) to residential (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.463272 52.133081),17/01079/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
3 St Peters Street Bedford,yes,,2017-09-30,,0.03,6,6,Prior Approval granted 06/06/17. This is not a planning application because it relates to development that is already permitted by Government Regulation.. Change of use from offices (B1) to dwellinghouses (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.466254 52.13855),17/01122/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
6 Lansdowne Road Bedford,yes,,2017-09-30,,0.05,7,7,7 residential flats new access gates and bin store.,local-authority-eng:BDF,not owned by a public authority,2017-07-25,,permissioned,full planning permission,POINT(-0.475697 52.140174),17/01533/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Palace Chambers Silver Street Bedford,yes,,2017-09-30,,0.04,13,13,Conversion of vacant floorspace on the second third and fourth floors and an extension at fourth floor level to create 13 flats.,local-authority-eng:BDF,not owned by a public authority,2017-09-01,,permissioned,full planning permission,POINT(-0.46715 52.13715),17/01600/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
5 to 7 Priory Street Bedford,yes,,2017-09-30,,0.04,11,11,Erection of 11 self contained residential dwellings.,local-authority-eng:BDF,not owned by a public authority,2017-09-05,,permissioned,outline planning permission,POINT(-0.472748 52.136252),17/01675/MAO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
The Phoenix 45 St Johns Street Bedford,yes,,2017-09-30,,0.05,8,8,Change of use and extension of public house to form 8 additional flats and other associated works.,local-authority-eng:BDF,not owned by a public authority,2017-09-21,,permissioned,full planning permission,POINT(-0.46534 52.130716),17/01831/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Harpur House 62 Harpur Street Bedford,yes,,2017-09-30,,0.03,13,13,Prior Notification submitted for change of use however approval was not required as confirmed on 20/09/17. This is not a planning application because it relates to development that is already permitted by Government Regulation.. Change of use from offices (B1) to dwellings (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.468902 52.139736),17/02167/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
24 St Cuthberts Street Bedford,yes,,2017-09-30,,0.02,6,6,Prior Approval granted 29/09/17. This is not a planning application because it relates to development that is already permitted by Government Regulation.. Change of use from offices (B1) to dwellings (C3).,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.463331 52.138575),17/02189/CPNO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
66 College Street Kempston,yes,,2017-09-30,,0.07,6,6,*These proposals have been put forward by land owners and developers so that the Council can consider them for inclusion in the Local Plan 2035. Not all the submitted sites or proposals put forward will be allocated for development.. Residential development comprising flats.*,local-authority-eng:BDF,not owned by a public authority,,,Not permissioned,,POINT(-0.479463 52.120973),SHLAA 13,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Land off Bedesman Lane/Duckmill Lane Bedford,yes,,2017-09-30,,0.14,20,20,*These proposals have been put forward by land owners and developers so that the Council can consider them for inclusion in the Local Plan 2035. Not all the submitted sites or proposals put forward will be allocated for development.. Residential development of approximately 20 dwellings.,local-authority-eng:BDF,not owned by a public authority,,,Not permissioned,,POINT(-0.465082 52.133554),SHLAA 524,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Stewartby West Stewartby Brickworks Green Lane Stewartby,,,2017-09-30,,26.26,500,500,Delivery of the site is likely to commence beyond 2022. *These proposals have been put forward by land owners and developers so that the Council can consider them for inclusion in the Local Plan 2035. Not all the submitted sites or proposals put forward will be allocated for development.. Strategic housing site including local facilities.*,local-authority-eng:BDF,not owned by a public authority,,,Not permissioned,,POINT(-0.520036 52.073467),SHLAA 569,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Stewartby East Stewartby Brickworks Green Lane Stewartby,,,2017-09-30,,28.09,500,500,Delivery of the site is likely to commence beyond 2022. *These proposals have been put forward by land owners and developers so that the Council can consider them for inclusion in the Local Plan 2035. Not all the submitted sites or proposals put forward will be allocated for development.. Strategic housing site including local facilities.*,local-authority-eng:BDF,not owned by a public authority,,,Not permissioned,,POINT(-0.515588 52.07297),SHLAA 570,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
268 to 308 Ampthill Road Bedford,yes,,2017-09-30,,1.03,35,35,*These proposals have been put forward by land owners and developers so that the Council can consider them for inclusion in the Local Plan 2035. Not all the submitted sites or proposals put forward will be allocated for development.. Redevelopment of an employment site.*,local-authority-eng:BDF,not owned by a public authority,,,Not permissioned,,POINT(-0.474491 52.117717),SHLAA 593,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Borough Hall Bedford,,,2017-09-30,,3.87,100,100,Delivery of the site is likely to commence beyond 2022.. Redevelopment of offices to provide residential units.,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.471053 52.131977),Borough Hall,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Ford End Road excluding Brewery Bedford,yes,,2017-09-30,,24.41,200,200,MinNetDwellings refers to development that is likely to take place within 15 years.. Redevelopment to provide residential units and other uses.,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.481428 52.130655),Ford End Road,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Greyfriars Bedford,yes,,2017-09-30,,1.76,205,205,MinNetDwellings refers to development that is likely to take place within 15 years. Delivery of the site is likely to continue beyond 2032.. Redevelopment of former Police Station and other land to provide residential units.,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.473027 52.137074),Greyfriars,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
South of the river excluding Danfoss Bedford,yes,,2017-09-30,,17.26,783,783,MinNetDwellings refers to development that is likely to take place within 15 years. Delivery of the site is likely to continue beyond 2032. 17/01208/MAF is pending and relates to the erection of 72 apartments at Kingsway Apartments. 12/01039/MAF was approved subject to a planning obligation and relates to the change of use and refurbishment of Melbourne House to provide 90 new dwellings.. Redevelopment to provide residential units and other uses.,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.467579 52.129765),South River,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
The Station area Bedford,,,2017-09-30,,5.35,100,100,Delivery of the site is likely to commence beyond 2022.. Redevelopment of station car park to provide residential units and other uses.,local-authority-eng:BDF,,,,Not permissioned,,POINT(-0.478946 52.136179),Station,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
