site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",yes,,2018-12-03,,0.03,7,7,Planning permission expired in March 2018,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.340026 52.058944),BLR17,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR17
"Former Bicester Library, Old Place Yard, Bicester",yes,,2019-10-30,,0.04,3,3,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,POINT(-1.153385 51.895375),BLR20,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR20
"McKay Trading Estate, Station Approach, Bicester",yes,,2017-12-04,,1.2,60,60,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.149517 51.893962),BLR22,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR22
"St Edburg's School, Cemetery Road, Bicester",yes,,2017-12-04,,0.37,10,10,Development principles approved in October 2008 for re-use of school buildings.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.156444 51.895738),BLR23,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR23
"Varneys Garage, Quarry Road, Hornton",yes,,2019-10-30,,0.35,3,3,,local-authority-eng:CHR,not owned by a public authority,2018-05-30,https://planningregister.cherwell.gov.uk/Search,permissioned,outline planning permission,POINT(-1.448057 52.108948),BLR26,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR26
"Builder's Yard, The Moors, Kidlington",,,2019-10-30,,0.3,6,6,2017 HELAA Site - HELAA149,local-authority-eng:CHR,owned by a public authority,2018-05-25,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.285135 51.827656),BLR28,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR28
"The Plough Inn, Merton",yes,,2019-10-30,,0.38,1,1,Planning permission expired in May 2018.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.165465 51.854381),BLR31,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR31
"153 And 155 Middleton Road, Banbury",yes,,2018-12-03,,0.051,8,8,,local-authority-eng:CHR,not owned by a public authority,2017-04-21,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.32322 52.065898),BLR35,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR35
"Inside Out Interiors Ltd, 85 - 87 Churchill Road, Bicester",yes,,2018-12-03,,0.19,10,10,,local-authority-eng:CHR,not owned by a public authority,2017-05-19,https://planningregister.cherwell.gov.uk/Search,permissioned,outline planning permission,POINT(-1.139037 51.903965),BLR39,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR39
"Land Adjacent 83 And 85 Part Of Car Park Sheep Street, Bicester",yes,,2018-12-03,,0.1,9,9,,local-authority-eng:CHR,not owned by a public authority,2018-02-19,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.15333 51.899843),BLR40,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR40
"Gurkha Village, 174 Oxford Road, Kidlington",yes,,2018-12-03,,0.23,5,5,,local-authority-eng:CHR,not owned by a public authority,2017-04-18,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.282061 51.815652),BLR42,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR42
"44 Banbury Road, Kidlington",yes,,2018-12-03,,0.07,5,5,,local-authority-eng:CHR,not owned by a public authority,2017-08-29,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.292837 51.825113),BLR43,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR43
"2A - 4 Broad Street, Banbury",yes,,2019-10-30,,0.02,6,6,,local-authority-eng:CHR,not owned by a public authority,2018-08-16,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.334533 52.061476),BLR44,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR44
"Land to the rear of 45 to 53 Hightown Road, Banbury",yes,,2019-10-30,,1.5,8,8,,local-authority-eng:CHR,not owned by a public authority,2018-11-01,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.333059 51.971379),BLR45,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR45
"Banbury Cycles, 56 - 58 Broad Street, Banbury",yes,,2019-10-30,,0.04,7,7,,local-authority-eng:CHR,not owned by a public authority,2019-01-08,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.335008 52.060948),BLR46,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR46
"Ilbury Farm, Nether Worton Road, Hempton, Deddington",yes,,2019-10-30,,0.35,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-02-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.369152 51.976083),BLR47,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR47
