site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Nelson Discount Furniture, Cooper Street, Nelson",yes,,2019-10-14,,0.04,5,5,Work has not started at this site. No Building Control records available. Owner did not return the Housing Land Survey form.. Full: Conversion and partial demolition of existing building to create 5 dwellings with associated external alterations,local-authority-eng:PEN,not owned by a public authority,2015-12-23,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2132 53.8405),NN143,http://www.pendle.gov.uk/downloads/file/10016/site_plan_nn143_-_nelson_discount_furniture_cooper_street_nelson,2017-12-14
"68-70 Manchester Road, Nelson",yes,,2019-10-14,,0.02,8,8,Work has not started at this site. A Building Control application for the proposal was refused. Owner did not return the Housing Land Survey form.. Full: Conversion of HMO to 8 self-contained flats and insertion of two window openings to first and second floors at side.,local-authority-eng:PEN,not owned by a public authority,2017-02-10,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2176 53.8355),NN154,http://www.pendle.gov.uk/downloads/file/10017/site_plan_nn154_-_68-70_manchester_road_nelson,2017-12-14
"Eastern House, 29-37 Macleod Street, Nelson",yes,,2019-10-14,,2.025,20,20,No work has been started been started on this site as yet.. Full: Demolition of warehouse (29 - 37 McLeod St) and erection of a row of five dwellinghouses.,local-authority-eng:PEN,not owned by a public authority,2018-07-12,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2208 53.836),NN166,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
Pendle Rise Estates Phoenix Chambers,yes,,2019-10-14,,0.093,39,39,No work has been started been started on this site as yet.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.213 53.8367),NN169,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Walk Mill, Green Road / Spring Gardens Road, Colne",yes,,2019-10-14,,2.99,120,101,The Council's viability model suggests that this type of site is unlikely to be viable to develop. The owners of the site are consolidating their premises and have indicated their intention to release the site for housing. The current economic circumstances are restricting the progress of this scheme. There is no up-to-date information available as to the current intentions of the owner to bring the site forward. The site could come forward in the 11-15 year period.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1743 53.8533),P022,http://www.pendle.gov.uk/downloads/file/10018/site_plan_p022_-_walk_mill_green_road_spring_gardens_road_colne,2017-12-14
"Spring Gardens Mill, Green Road, Colne",yes,,2019-10-14,,3.11,207,124,"The Council's viability model suggests that this type of site is unlikely to be viable to develop. The owners of the site are consolidating their premises and have indicated their intention to release the site for housing. The mill building has now been demolished. The current economic circumstances are restricting the progress of this scheme. The owner has returned the Housing Land Survey form indicating that the site is still available. However, there have been some discussions as to whether the site could be developed for an alternative use (e.g. employment). The site could come forward within the 6-15 year period.",local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1708 53.8525),P023,http://www.pendle.gov.uk/downloads/file/10019/site_plan_p023_-_spring_gardens_mill_green_road_colne,2017-12-14
"Riverside Mill, Charles Street, Nelson",yes,,2019-10-14,,2.56,102,100,The Council's viability model suggests that this type of site is unlikely to be viable to develop. The site is allocated for housing in the Bradley Area Action Plan. The owners have indicated that the availability of finance is the key issue affecting the delivery of this site. The site is currently for sale and it is unclear whether the new owner will pursue a housing development at the site. There have been discussion as to whether the site could be developed for alternative uses (e.g. employment). The site could come forward towards the end of the 5 year period.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.2106 53.8424),P026,http://www.pendle.gov.uk/downloads/file/10020/site_plan_p026_-_riverside_mill_charles_street_nelson,2017-12-14
"Former Railway Sidings, Clitheroe Road, Brierfield",yes,,2019-10-14,,1.59,64,60,The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site was identified in the Railway Street SPD as a key regeneration site in Brierfield. The site is partially in commercial use and the economic circumstances are restricting the site from coming forward. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 1 year.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.2374 53.8221),P052,http://www.pendle.gov.uk/downloads/file/10021/site_plan_p052_-_former_railway_sidings_clitheroe_road_brierfield,2017-12-14
"Green Works, Knotts Lane, Colne",yes,,2019-10-14,,0.29,26,9,The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site has a number of contamination issues that need to be resolved before development can be undertaken. The owner of the site has previously indicated that the current economic circumstances are having an impact on development timescales. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 2-5 years.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1786 53.8524),P053,http://www.pendle.gov.uk/downloads/file/10022/site_plan_p053_-_green_works_knotts_lane_colne,2017-12-14
"Brook Shed, New Road, Earby",yes,,2019-10-14,,1.32,65,40,The Council's viability model indicates that this type of site is viable to develop. This site was previously submitted to the call for sites consultation with the owner indicating an intention to develop it for housing. Pre-application discussions have previously taken place regarding the potential redevelopment of the site for housing. The owner has not returned the Housing Land Survey form.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1432 53.9139),P064,http://www.pendle.gov.uk/downloads/file/10023/site_plan_p064_-_brook_shed_new_road_earby,2017-12-14
"Gisburn Street Works, Barnoldswick",yes,,2019-10-14,,0.09,8,3,The Council's viability model indicates that this type of site is viable to develop. This site is currently in employment use and there may be competing uses for the site. The site is located in a mainly residential area. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 2-5 years.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1884 53.9208),P077,http://www.pendle.gov.uk/downloads/file/10024/site_plan_p077_-_gisburn_street_works_barnoldswick,2017-12-14
"Black Carr Mill, Skipton Road, Trawden",yes,,2019-10-14,,0.72,29,15,This site is located within the village of Trawden. The site is also within Flood Zones 2&3. A flood risk assessment would be required as part of any planning application that is submitted setting out appropriate mitigation. The site is currently in use. The owner has returned the Housing Land Survey form indicating that the site is available for development and could come forward within 1 year.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1359 53.8476),P090,http://www.pendle.gov.uk/downloads/file/10025/site_plan_p090_-_black_carr_mill_skipton_road_trawden,2017-12-14
"Brierfield Mills, Glen Way, Brierfield",yes,,2019-10-14,,3.04,52,52,"This building is within the urban area of Brierfield. The Council own the building and with its development partner are progressing its regeneration. The Council's viability model suggests that this type of site is unlikely to be viable to develop. There is potential for part of the building to be converted into residential accommodation and plans are progressing with the specific details of the conversion. There is a planning application pending on the site for the conversion to 52 apartments.. Full: Major: Conversion of mill building to 52 residential apartments (C3) to third floor, part of 2nd and 1st floors, ground floor offices (B1a and A2) and flexible use of 1st, 2nd and 3rd floor of cafe (A3) and drinking establishment (A4).",local-authority-eng:PEN,owned by a public authority,2017-12-18,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2375 53.825),P097,http://www.pendle.gov.uk/downloads/file/10026/site_plan_p097_-_brierfield_mills_glen_way_brierfield,2017-12-14
"Land at Bright Street, Colne",yes,,2019-10-14,,0.29,12,6,"This site is within the Settlement Boundary for Colne. The site was cleared as part of the Housing Market Renewal Initiative, however, no new development has yet taken place on the site. The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site is owned by Pendle Borough Council. The Council and its development partner are looking at bringing this site forward in the future once a viable scheme can be prepared.",local-authority-eng:PEN,owned by a public authority,,,not permissioned,,POINT(-2.1715 53.8581),P167,http://www.pendle.gov.uk/downloads/file/10027/site_plan_p167_-_land_at_bright_street_colne,2017-12-14
"Land off Fry Street, Nelson",yes,,2019-10-14,,0.42,30,13,"This is a vacant, former horticultural nursery site in Nelson. The Council's viability model suggests that this type of site is unlikely to be viable to develop. The site has been actively marketed and a planning application has recently been submitted but has since been withdrawn. The owner has returned the Housing Land Survey form indicating that the site is available and development could come forward within 1 year.",local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1991 53.8373),P211,http://www.pendle.gov.uk/downloads/file/10028/site_plan_p211_-_land_off_fry_street_nelson,2017-12-14
"Land at Giles Street, Nelson",yes,,2019-10-14,,0.93,37,35,This is a cleared housing site in Nelson. The site has been allocated for housing development in the Bradley Area Action Plan. The site is owned by Pendle Borough Council and is likely to be developed by the Council's development partner. New site specific viability work will be carried out as part the development scheme for the site.,local-authority-eng:PEN,owned by a public authority,,,not permissioned,,POINT(-2.2097 53.8396),P257,http://www.pendle.gov.uk/downloads/file/10029/site_plan_p257_-_land_at_giles_street_nelson,2017-12-14
"Former LCC Depot, Halifax Road, Brierfield",yes,,2019-10-14,,0.25,10,9,This is a former depot site in Brierfield. The previous Outline planning permission has now expired. The site has been marketed for residential development. The site has been submitted to the Council's call for sites consultation and there may be interest in bringing the site forward in the future. The owner of the site has not returned the Housing Land Survey form and it is unclear when the site will come forward.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.2273 53.8247),P267,http://www.pendle.gov.uk/downloads/file/10030/site_plan_p267_-_former_lcc_depot_halifax_road_brierfield,2017-12-14
"Salterforth Mill, Earby Road, Salterforth",yes,,2019-10-14,,0.13,14,4,This is a mill building which is currently occupied by a number of businesses. A planning permission was previously granted at the site for conversion. However the permission has now expired. There have been some pre-application interest from the owner/developer about bringing the site forward.. Full: Major: Conversion of mill building to 14 one and two bed flats on three floors with garages at ground floor and parking accessed off Kelbrook Road. Dwelling numbers taken from previous (lapsed) application.,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.1687 53.905),SH013,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2017-12-14
"Former Cement Works, Knotts Lane, Colne",yes,2019-10-14,2019-10-14,,0.29,5,5,Residential development completed during 2018/19 monitoring year.. Full: Erection of five detached dwelling houses with garages.,local-authority-eng:PEN,not owned by a public authority,2016-02-05,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.17601 53.8497),CE143,http://www.pendle.gov.uk/downloads/file/10007/site_plan_ce143_-_former_cement_works_knotts_lane_colne,2017-12-14
"6-18 Scotland Road and 7-17 Leeds Road, Nelson",yes,2019-10-14,2017-12-14,,0.07,12,12,"Residential development completed during 2018/19 monitoring year.. Full: Demolition of 11 Leeds Road, conversion and extension at 7-9 Leeds Road to form 9 flats and external alterations to 9-17 Leeds Road and 6-18 Scotland Road including access ramp and new shop fronts.",local-authority-eng:PEN,not owned by a public authority,2014-06-18,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.21423 53.8371),NN127,http://www.pendle.gov.uk/downloads/file/10013/site_plan_nn127_-_6-8_scotland_road_and_7-17_leeds_road_nelson,2017-12-14
"Reedyford Mill, Pendle Street, Nelson",,2019-10-14,2017-12-14,,1.42,0,0,"Site redeveloped to provide business units (B1/B8). Development completed during the 2019/20 monitoring year.. Outline: Major: (Access only): Erection of 65 dwellings with access from Pendle Street, Erection of 2040 Sq.m of commercial floor space (B1(c), B2 and B8 use) with access off Westfield, Full: Erection of petrol filling station (Sui Generis) 472 Sq.m.",local-authority-eng:PEN,not owned by a public authority,2015-06-23,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.21875 53.8412),NN135,http://www.pendle.gov.uk/downloads/file/10015/site_plan_nn135_-_reedyford_mill_pendle_street_nelson,2017-12-14
