site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Rear of former Three Cups, Fore Street, Wellington, TA21 8AQ",,,2017-12-31,,0.09,7,7,Erection of 7 dwellings,local-authority-eng:TAU,not owned by a public authority,2015-10-22,,permissioned,full planning permission,POINT(-3.229297 50.976804),43/14/0137,https://www.tauntondeane.gov.uk/media/2079/rear-of-former-three-cups-fore-street-wellington.pdf,2017-12-31
"Weavers Arms/Oaken Ground, Rockwell Green, Wellington, TA21 9BY",,,2017-12-31,,0.46,16,16,"Demolish public house, public toilets & 10 council houses and erect 26 dwellings",local-authority-eng:TAU,owned by a public authority,2015-10-30,,permissioned,full planning permission,POINT(-3.246357 50.975059),43/15/0059,https://www.tauntondeane.gov.uk/media/2081/weavers-arms-rockwell-green-wellington.pdf,2017-12-31
"The Brewery, Golden Hill, Wiveliscombe TA2 8LH",,,2017-12-31,,0.26,14,14,Demolition of old brewery buildings to form 14 dwellings,local-authority-eng:TAU,not owned by a public authority,2006-04-19,,permissioned,full planning permission,POINT(-3.309551 51.043152),49/06/0008,https://www.tauntondeane.gov.uk/media/2180/the-brewery-golden-hill-wiveliscombe.pdf,2017-12-31
"Staceys Yard, Mill Lane, Wiveliscombe, TA4 2LX",,,2017-12-31,,0.28,8,8,"COU from builders yard, erection of 8 dwellings",local-authority-eng:TAU,not owned by a public authority,2017-01-31,,permissioned,full planning permission,POINT(-3.307134 51.03987),49/15/0044,https://www.tauntondeane.gov.uk/media/2099/staceys-yard-mill-lane-wiveliscombe.pdf,2017-12-31
"The Office Building, Station Road, Wiveliscombe, TA4 2LX",,,2017-12-31,,0.06,8,8,COU office to flats,local-authority-eng:TAU,not owned by a public authority,2015-12-23,,permissioned,full planning permission,POINT(-3.306987 51.040223),49/15/0058CO,https://www.tauntondeane.gov.uk/media/2100/the-office-building-station-road-wiveliscombe.pdf,2017-12-31
"Former Tone Vale Hospital, Graham Way, Cotford St Luke, TA4 1GQ",,,2017-12-31,,0.35,10,10,"Conversion of lodge house, demolition of ballroom to create 10 dwellings",local-authority-eng:TAU,not owned by a public authority,2016-10-13,,permissioned,full planning permission,POINT(-3.186615 51.038027),53/16/0006,https://www.tauntondeane.gov.uk/media/2104/former-tone-vale-hospital-cotford-st-luke.pdf,2017-12-31
"Quantock House, Paul Street, Taunton, TA1 3NX",,,2017-12-31,,0.38,58,58,Demolition of office block and erection of care led facility (62 bed care home and 58 assisted living apartments),local-authority-eng:TAU,not owned by a public authority,2017-07-06,,permissioned,full planning permission,POINT(-3.101342 51.01299),38/16/0345,https://www.tauntondeane.gov.uk/media/2202/quantock-house-paul-street-taunton.pdf,2017-12-31
"42-44 Upper Street/23 The Crescent, Taunton, TA1 4EB",,,2017-12-31,,0.3,8,8,Conversion of offices to flats,local-authority-eng:TAU,not owned by a public authority,2017-08-02,,permissioned,full planning permission,POINT(-3.104969 51.01203),38/17/0224,https://www.tauntondeane.gov.uk/media/2201/42-44-upper-street-23-the-crescent-taunton.pdf,2017-12-31
"Former Livestock Market, Firepool, Taunton, TA1 1PN",,,2017-12-31,,3.91,200,200,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.102908 51.020125),SHLAATAUN005,https://www.tauntondeane.gov.uk/media/2200/former-livestock-market-firepool-taunton.pdf,2017-12-31
"Coal Orchard, Taunton, TA1 1JP",,,2017-12-31,,0.45,36,36,,local-authority-eng:TAU,not owned by a public authority,,,pending decision,,POINT(-3.103382 51.017261),SHLAATAUN007,https://www.tauntondeane.gov.uk/media/2199/coal-orchard-taunton.pdf,2017-12-31
"Bus Depot, Hamilton Road, Taunton, TA1 2BF",,,2017-12-31,,0.51,50,50,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.086511 51.016996),SHLAATAUN015,https://www.tauntondeane.gov.uk/media/2198/bus-depot-hamilton-road-taunton.pdf,2017-12-31
"High Street, East & West, Taunton, TA1",,,2017-12-31,,3.6,210,210,,local-authority-eng:TAU,mixed ownership,,,not permissioned,,POINT(-3.105601 51.012231),SHLAATAUN016,https://www.tauntondeane.gov.uk/media/2197/high-street-east-west-taunton.pdf,2017-12-31
"St James Street, Taunton, TA1 1JH",,,2017-12-31,,0.17,45,45,,local-authority-eng:TAU,mixed ownership,,,not permissioned,,POINT(-3.100632 51.017296),SHLAATAUN017,https://www.tauntondeane.gov.uk/media/2196/st-james-street-taunton.pdf,2017-12-31
"Kilkenny Car Park, Taunton, TA2 7BL",,,2017-12-31,,0.62,40,40,,local-authority-eng:TAU,owned by a public authority,,,not permissioned,,POINT(-3.103819 51.023632),SHLAATAUN018,https://www.tauntondeane.gov.uk/media/2195/kilkenny-car-park-taunton.pdf,2017-12-31
"Former Cameron Dixon Works, Albemarle Road, Taunton, TA1 1BJ",,,2017-12-31,,1.09,30,30,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.107998 51.021884),SHLAATAUN019,https://www.tauntondeane.gov.uk/media/2194/former-cameron-dixon-works-albemarle-road-taunton.pdf,2017-12-31
"Tangier, Castle Street, Taunton, TA1 4AS",,,2017-12-31,,5.24,90,90,,local-authority-eng:TAU,mixed ownership,,,not permissioned,,POINT(-3.110896 51.013718),SHLAATAUN020,https://www.tauntondeane.gov.uk/media/2193/tangier-castle-street-taunton.pdf,2017-12-31
"Wood Street, Taunton, TA1",,,2017-12-31,,1.68,80,80,,local-authority-eng:TAU,mixed ownership,,,not permissioned,,POINT(-3.106874 51.016005),SHLAATAUN021,https://www.tauntondeane.gov.uk/media/2192/wood-street-taunton.pdf,2017-12-31
"Police Station, Shuttern, Taunton, TA1 4ET",,,2017-12-31,,1.23,0,0,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.108 51.010634),SHLAATAUN024,https://www.tauntondeane.gov.uk/media/2191/police-station-shuttern-taunton.pdf,2017-12-31
"Swallowfield Factory, Wellington, TA21 8NL",,,2017-12-31,,1.47,50,50,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.239293 50.983111),SHLAAWELL001,https://www.tauntondeane.gov.uk/media/2190/swallowfield-factory-wellington.pdf,2017-12-31
"Swallowfield West of Station Road, Wellington, TA21 8NL",,,2017-12-31,,1.04,35,35,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.241312 50.982972),SHLAAWELL002,https://www.tauntondeane.gov.uk/media/2189/swallowfield-west-of-station-road-wellington.pdf,2017-12-31
"Relyon, Wellington TA21 8NN",,,2017-12-31,,8.19,250,250,,local-authority-eng:TAU,not owned by a public authority,,,not permissioned,,POINT(-3.23876 50.983413),SHLAAWELL003,https://www.tauntondeane.gov.uk/media/2188/relyon-wellington.pdf,2017-12-31
