site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Royal & Sunalliance Parkview House Victoria Road South,yes,,2019-04-15,,0.03,,,,local-authority-eng:CHL,not owned by a public authority,2016-08-19,,permissioned,full planning permission,POINT(0.468876 51.733981),15/01651/MAT/1,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Royal & Sunalliance Parkview House Victoria Road South,yes,,2019-04-15,,0.03,,,,local-authority-eng:CHL,not owned by a public authority,2016-08-19,,permissioned,full planning permission,POINT(0.468876 51.733981),15/01590/MAT/1,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Royal & Sunalliance Parkview House Victoria Road South,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2017-04-21,,permissioned,Other,POINT(0.46701 51.740136),17/00378/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Flair Recruitment First and Second Floors 54A High Street Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2018-12-19,,permissioned,full planning permission,POINT(0.474629 51.731909),18/01465/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
42 Moulsham Street Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2017-05-10,,permissioned,full planning permission,POINT(0.471996 51.729581),17/00401/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
"23-27 Moulsham Street, Chelmsford",yes,01/02/2020,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2016-11-07,,permissioned,other,POINT(0.473336 51.730236),16/01603/COUPA,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 25 St Johns Road Chelmsford,yes,,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2019-01-14,,permissioned,full planning permission,POINT(0.470332 51.726415),18/01949/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 27 St Johns Road Chelmsford,yes,,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-08,,permissioned,full planning permission,POINT(0.470388 51.726377),18/01032/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 5 Baddow Road Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2018-06-11,,permissioned,full planning permission,POINT(0.474721 51.730684),18/00411/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 10 amd 10A Duke Street Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,,,permissioned,full planning permission,POINT(0.471631 51.735102),18/01845/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
4 Duke Street Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2018-04-04,,permissioned,full planning permission,POINT(0.472006 51.734806),18/00154/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 34 Waterson Vale Chelmsford,yes,31/12/2019,2019-04-15,,0.2,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-16,,permissioned,full planning permission,POINT(0.478948 51.721916),18/00962/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 14 Arnhem Road Chelmsford,yes,,2019-04-15,,0.04,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-24,,permissioned,full planning permission,POINT(0.45242 51.749974),18/00985/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
21 Seven Ash Green Chelmsford,yes,,2019-04-15,,0.18,,,Works Stalled,local-authority-eng:CHL,not owned by a public authority,2012-11-30,,permissioned,full planning permission,POINT(0.481899 51.744858),12/01499/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Block 1 to 11 Abbotts Place Chelmsford,yes,,2019-04-15,,0.09,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-09,,permissioned,full planning permission,POINT(0.483024 51.736579),18/00761/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Poplar Farm Bicknacre Road Danbury Chelmsford,yes,,2019-04-15,,0.08,,,,local-authority-eng:CHL,not owned by a public authority,2017-04-28,,permissioned,full planning permission,POINT(0.578619 51.704203),17/00403/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Galleywood Medical Centre 7 Bekeswell Medical Centre Barnard Road Galleywood,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2018-06-07,,permissioned,full planning permission,POINT(0.475761 51.698296),18/00570/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
"Bell House, Bell Street Great Baddow Chelmsford",yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2017-06-01,,permissioned,full planning permission,POINT(0.501424 51.715936),17/00662/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
