site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Central Parade West, Central Parade",yes,,2017-12-31,,2.07,290,50,"Mixed development including residential, community, healthcare facility, leisure, retail and open space. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",local-authority-eng:CRY,owned by a public authority,,,not permissioned,,POINT(-0.015917 51.341001),44,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/44
130 Oval Road,yes,,2017-12-31,,0.22,57,10,Residential development. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.088634 51.377102),68,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/68
114-118 Whitehorse Road,yes,,2017-12-31,,0.04,8,7,Residential conversion and extension. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.096246 51.386534),78,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/78
"Valley Park (B&Q and Units A-G Daniell Way), Hesterman Way",,,2017-12-31,,6.75,641,237,"Redevelopment of this area to a mixture of residential, retail, healthcare facility (if required by the NHS), community and leisure to form the basis of a new residential community and local centre.. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.12548 51.380188),314,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/314
"Valley Leisure Park, Hesterman Way",,,2017-12-31,,0.95,90,34,"Redevelopment of this area to a mixture of residential, retail, healthcare facility (if required by the NHS), community and leisure to form the basis of a new residential community and local centre.. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf",local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.124581 51.377926),334,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/334
"Zodiac Court, 161-183 London Road",,,2017-12-31,,0.71,184,32,Residential redevelopment. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.106993 51.381753),337,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/337
"Homebase & Matalan stores, 60-66 Purley Way",,,2017-12-31,,2.84,482,128,Mixed use residential and retail development. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.122932 51.383448),348,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/348
"Praise House, 145-149 London Road",,,2017-12-31,,0.25,52,9,Redevelopment for mixed use residential and community use. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.105971 51.381089),396,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/396
"Challenge House, 618 Mitcham Road",,,2017-12-31,,0.8,136,36,Residential redevelopment or conversion. Conversion would need to adhere to Local Plan and London Plan Standards to improve the sustainability of the development.. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.129494 51.389227),416,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/416
"Masonic Hall car park, 1- 1B Stanton Road",,,2017-12-31,,0.15,39,7,Residential development. https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,local-authority-eng:CRY,not owned by a public authority,,,not permissioned,,POINT(-0.10166 51.382125),471,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2017-12-31,brownfield-land/local-authority-eng/CRY/471
