site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Units on Arthur Street and Kingsfield Road, Barwell",yes,,2018-12-21,,0.8,30,23,Hybrid application for the redevelopment of factory/warehouse including part demolition and part conversion for up to 42 dwellings to include: (1) Full application for part conversion of existing factory to 7 flats and partial demolition of existing factory and erection of 7 dwellings. (2) Outline application (access only) for the demolition of existing factory and erection of up to 28 dwellings.,local-authority-eng:HIN,not owned by a public authority,2018-01-03,https://pa.hinckley-bosworth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NXN9IJII09O00,permissioned,other,POINT(-1.343375 52.569984),AS86,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2017-12-22,brownfield-land/local-authority-eng/HIN/AS86
"Industrial Unit and adjacent land, Willowbank Road, Hinckley",yes,,2018-12-21,,0.53,20,15,,local-authority-eng:HIN,not owned by a public authority,,https://pa.hinckley-bosworth.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OEBP2HIIFG400,not permissioned,,POINT(-1.376499 52.53672),AS911,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2017-12-22,brownfield-land/local-authority-eng/HIN/AS911
"Thornton Nurseries and Land South of Resevoir Road, Thornton",,,2018-12-21,,0.85,30,21,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.306201 52.66209),AS36,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2017-12-22,brownfield-land/local-authority-eng/HIN/AS36
"Atherstone Hunt Kennels, Kennel Lane, Witherley",,,2018-12-21,,0.85,30,21,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.515287 52.571981),AS589,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2017-12-22,brownfield-land/local-authority-eng/HIN/AS589
"Midland Studio College, London Road, Hinckley",yes,,2018-12-21,,0.36,16,13,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.363214 52.541855),AS808,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2017-12-22,brownfield-land/local-authority-eng/HIN/AS808
"Units on Dawson's Lane, Barwell",yes,,2018-12-21,,0.91,34,26,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.339405 52.566177),LPR34,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2018-12-21,brownfield-land/local-authority-eng/HIN/LPR34
"Hinckley Sewage Treatment Site, Burbage",,,2018-12-21,,9.22,259,202,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.383842 52.529279),LPR44,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2018-12-21,brownfield-land/local-authority-eng/HIN/LPR44
"Clarendon Club, Coventry Road, Hinckley",,,2018-12-21,,0.25,11,9,,local-authority-eng:HIN,not owned by a public authority,,,not permissioned,,POINT(-1.38132 52.537743),AS1020,http://www.hinckley-bosworth.gov.uk/brownfieldregister,2018-12-21,brownfield-land/local-authority-eng/HIN/AS1020
