site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land at Willows Farm, Immingham",yes,,2017-10-18,,0.66,8,8,Outline application to erect 8 dwellings and associated works with access to be considered (Planning application reference DM/0167/17/OUT).,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OLF6C6LJIYH00,permissioned,outline planning permission,POINT(-0.208316 53.591564),BS0017,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0017
"Land at 65 Park Street/brereton Avenue, Cleethorpes",yes,,2017-10-18,,0.18,14,14,"Planning permission available upon appeal, DC/729/12/SSU now expired.",local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVALJXB335,not permissioned,,POINT(-0.057951 53.569261),BS0018,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0018
"Land at Trenchard close, Immingham",yes,,2017-10-18,,0.34,18,18,Erect 18 dwellings (Planning application reference DC/863/10/IMM).,local-authority-eng:NEL,not owned by a public authority,2010-10-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVLLJXB895,permissioned,full planning permission,POINT(-0.198411 53.618384),BS0020,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0020
"29-31 Chantry Lane, Grimsby",yes,,2017-10-18,,0.08,11,11,Change of use into eleven residential units (Planning application reference DC/928/12/WMA).,local-authority-eng:NEL,not owned by a public authority,2013-04-05,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVHLJXB627,permissioned,full planning permission,POINT(-0.092516 53.564648),BS0021,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0021
"Former leaking boot public house, Grimsby Road and Suggitts Lane, Cleethorpes",yes,,2017-10-18,,0.27,21,21,Approved conditions and signing of S106 (Planning application reference DM/0128/15/FUL).,local-authority-eng:NEL,not owned by a public authority,2016-02-10,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJPTBTLJJZ400,permissioned,full planning permission,POINT(-0.041635 53.566765),BS0022,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0022
"Land at Utgard Way, Grimsby",yes,,2017-10-18,,0.2,8,8,Erect 4 pairs of semi-detached dwellings (Planning application reference DM/0769/16/FUL).,local-authority-eng:NEL,not owned by a public authority,2016-09-28,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBN9JTLJIV500,permissioned,full planning permission,POINT(-0.101976 53.543582),BS0027,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0027
"7 Barkhouse Lane, Cleethorpes",yes,,2017-10-18,,0.81,8,8,Under construction (Planning application reference DM/0653/16/FUL).,local-authority-eng:NEL,not owned by a public authority,2017-01-27,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9XV1ILJ02A00,permissioned,full planning permission,POINT(-0.024978 53.556063),BS0028,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0028
"Land at Station Road, Stallingborough",yes,,2017-10-18,,0.58,7,7,Approved conditions and signing of S106 (Planning application reference DM/0782/16/OUT).,local-authority-eng:NEL,not owned by a public authority,2017-04-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBQW5FLJIYO00,permissioned,outline planning permission,POINT(-0.182717 53.586684),BS0030,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0030
"St James Tennis club, Hereford Avenue, Grimsby",yes,,2017-10-18,,0.15,4,1,Approved conditions and signing of S106 (Planning application reference DM/0498/16/OUT ).,local-authority-eng:NEL,not owned by a public authority,2017-05-16,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7MSVNLJFLP00,permissioned,outline planning permission,POINT(-0.098145 53.553959),BS0031,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0031
"Garages Service Road 8, Grimsby",yes,,2017-10-18,,0.16,5,5,Under construction (Planning application reference DM/1312/14/FUL).,local-authority-eng:NEL,not owned by a public authority,2017-03-12,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NGZ8FILJHT000,permissioned,full planning permission,POINT(-0.124571 53.57223),BS0032,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0032
"r/o 71 and 73 Sea View Street, Cleethorpes",yes,,2017-10-18,,0.14,9,9,Development of up to 9 two/three storey dwellings (Planning application reference DM/0503/18/FUL).,local-authority-eng:NEL,not owned by a public authority,2015-05-22,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PAMC0OLJ00H00,permissioned,full planning permission,POINT(-0.027134 53.556449),BS0033,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0033
"Land adjacent to 103 Roberts Street, Grimsby",yes,,2017-10-18,,0.08,4,4,Erect four terraced houses (Planning application reference DM/1324/14/FUL).,local-authority-eng:NEL,not owned by a public authority,2015-07-17,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NH1NGWLJHVN00,permissioned,full planning permission,POINT(-0.063746 53.566379),BS0034,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0034
