site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Garage Court Rear Of, 38-42 Whitehall Lane, Erith",yes,,2017-12-07,,0.17,12,12,"16/01230/FULM. Demolition of existing garage blocks and erection of one 3 storey residential block of 12 flats comprising 6 x 1 bed and 6 x 2 bed together with associated car parking, amenity space and landscaping.",local-authority-eng:BEX,not owned by a public authority,2016-10-21,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JCOGICBE30000,permissioned,full planning permission,POINT(0.187586 51.466652),BLR050,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Garage-Court-rear-of-38-to-42-Whitehall-Lane-Erith.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR050
"21-23 Watling Street, Bexleyheath",yes,,2017-12-07,,0.13,16,16,"16/02086/FULM. Re-development of the site to provide one 3/4 storey block of 16 residential units comprising 4 x 1 bed and 12 x 2 bed incorporating a covered drive through, cycle and bin storage on the ground floor. Provision of sixteen associated car parking spaces.",local-authority-eng:BEX,not owned by a public authority,2017-03-27,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029JEBELI000,permissioned,full planning permission,POINT(0.153899 51.454811),BLR052,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/21-to-23-Watling-Street-Bexleyheath.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR052
"Broadway House, Trinity Place, Bexleyheath",yes,,2017-12-07,,0.14,18,18,17/00967/PRIOR. Prior notification for the proposed change of use from Office Use (Class B1(a) on the first and second floors to provide 18 residential units (Class C3) comprising 2 x 2 bed and 16 x 1 bed self contained flats including provision of car parking and secure cycle parking.,local-authority-eng:BEX,not owned by a public authority,2017-05-26,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029F2BELI000,permissioned,other,POINT(0.139098 51.457807),BLR054,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Broadway-House-Trinity-Place-Bexleyheath.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR054
"Roxby House, 20-22 Station Road, Sidcup",yes,,2017-12-07,,0.1,20,20,14/00459/PRIOR. Prior notification of change of use from Offices to residential comprising 20 flats.,local-authority-eng:BEX,not owned by a public authority,2014-04-25,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002703BELI000,permissioned,other,POINT(0.101752 51.427916),BLR055,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Roxby-House-20-to-22-Station-Road-Sidcup.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR055
"221-225 Erith Road, Bexleyheath",yes,,2017-12-07,,0.63,28,28,16/03252/PRIOR. Notification for Prior Approval for the proposed change of use from Office Use (Class B1(a)) to upto 28 residential units of accommodation.,local-authority-eng:BEX,not owned by a public authority,2017-02-17,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002ACWBELI000,permissioned,other,POINT(0.15234 51.465721),BLR057,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/221-to-225-Erith-Road-Bexleyheath.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR057
"Westminster House, 186-194 Broadway, Bexleyheath",yes,,2017-12-07,,0.11,47,47,"17/00988/PRIOR. Prior notification for a proposed change of use of a building from Office Use (Class B1(a)) to Residential use (Class C3) to provide 47 self contained units of accommodation comprising 1 on the ground floor, 20 on each of the first and second floors and 6 on the third floor.",local-authority-eng:BEX,owned by a public authority,2017-05-30,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029IDBELI000,permissioned,other,POINT(0.139932 51.457486),BLR061,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Westminster-House-186-to-194-Broadway-Bexleyheath.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR061
"Queen Marys Hospital, Forgnal Avenue, Sidcup",yes,,2017-12-07,,1.32,74,74,"16/01518/FULM. Erection of a three storey building comprising an 80 bed care home and a four storey building to provide 74 extra care apartments with associated access roads, provision of 65 parking spaces.",local-authority-eng:BEX,owned by a public authority,2017-03-03,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0026F7BELI000,permissioned,full planning permission,POINT(0.100274 51.419525),BLR068,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Queen-Marys-Hospital-Forgnal-Avenue-Sidcup.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR068
"Land West Of Sedgemere Road And East Of Harrow Manorway, Abbey Wood",,,2017-12-07,,1.19,219,219,"16/01275/OUTM. Outline application for demolition of existing buildings and hardstanding, residential development of upto 219 units and upto 3225 sq metres of commercial floorspace (with flexible uses across classes A1-A4 (retail, financial and professional services, cafe and restaurants) and B1a (office) and D1 (community uses) and associated works including informal and formal open space; internal road network; landscaping; car and cycle parking and waste storage.",local-authority-eng:BEX,mixed ownership,2016-12-22,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=INA2KFBELI475,permissioned,outline planning permission,POINT(0.121765 51.492223),BLR074,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-west-of-Sedgemere-Road-and-east-of-Harrow-Manorway-Abbey-Wood.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR074
"Land At Binsey Walk, Thamesmead",,,2017-12-07,,1.86,329,329,"16/01287/OUTM. Outline application for demolition of existing buildings and hard standing, residential development of up to 329 units and up to 1,050 sq metres of commercial floorspace (with flexible uses across classes A1 - A4 (retail, financial and professional services, café and restaurants) and B1a (office) and D1 (community uses) and D2 (Boat Club), with all matters reserved, and associated works including, informal and formal open space, internal road network; landscaping; car and cycle parking; waste storage.",local-authority-eng:BEX,mixed ownership,2016-12-22,http://pa.bexley.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O7OARLBE01D00,permissioned,outline planning permission,POINT(0.122363 51.49982),BLR076,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-at-Binsey-Walk-Thamesmead.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR076
"Former Linpac Site And Adjoining Warehouse, Richmer Road, Erith",yes,,2017-12-07,,5.75,336,336,"15/00370/OUTM. Outline application for re-development of the former Linpac Site comprising of up to 336 residential units in a mix of one, two, three and four bed houses and flats, up to 500 sqm of flexible A1/D1 floorspace, public open space (including children's playspace), associated landscaping and car parking.",local-authority-eng:BEX,not owned by a public authority,2016-10-13,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002AYLBELI000,permissioned,outline planning permission,POINT(0.187246 51.471883),BLR077,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Former-Linpac-site-and-adjoining-warehouse-Richmer-Road-Erith.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR077
"Land At Southmere Village, Yarnton Way,Thamesmead",yes,,2017-12-07,,3.78,525,525,"16/01251/FULM. Demolition of existing buildings/hard standing, residential development of 525 units and 3691 sqm (GIA) of commercial floorspace with flexible uses across classes A1-A3 (retail, financial/professional services, café/restaurants), B1a (office), D1 (Non-residential institutions) and D2 (Assembly and leisure) and associated works including, informal and formal open space, internal road network; landscaping;car & cycle parking;waste storage.",local-authority-eng:BEX,mixed ownership,2016-12-22,http://pa.bexley.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O7GV6JBE01D00,permissioned,full planning permission,POINT(0.122497 51.497444),BLR079,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-at-Southmere-Village-Yarnton-Way-Thamesmead.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR079
"Land At Coralline Walk, Harrow Manorway, Abbey Wood",,,2017-12-07,,3.03,549,549,"16/01288/OUTM. Outline application for demolition of existing buildings and hardstanding, residential development of upto 549 units and upto 3225 sq. metres of commercial floorspace (with flexible uses across Classes A1 - A4 (Retail, financial and professional services, cafe and restaurants) and B1a (office) and D1 (community uses) and associated works including informal and formal open space; internal road network; landscaping; car and cycle parking and waste storage.",local-authority-eng:BEX,not owned by a public authority,2016-12-22,http://pa.bexley.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O7OHI6BE00Q00,permissioned,outline planning permission,POINT(0.12232 51.495181),BLR080,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-at-Coralline-Walk-Harrow-Manorway-Abbey-Wood.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR080
"Lamorbey Baths, 155-159 Station Road, Sidcup",,,2017-12-07,,0.15,10,10,See Lamorbey Planning Brief (2007),local-authority-eng:BEX,not owned by a public authority,,http://pa.bexley.gov.uk/online-applications/spatialDisplay.do?action=display&searchType=Application,not permissioned,,POINT(0.10145 51.435457),BLR089,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Lamorbey-Baths-155-to-159-Station-Road-Sidcup.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR089
"Abbey Car Breakers, Wheatley Terrace Road, Erith (Balance Site F)",,,2017-12-07,,0.07,5,5,See Manor Road (North West) Site F Planning Brief (1996) and UDP Policy TS5,local-authority-eng:BEX,not owned by a public authority,,http://pa.bexley.gov.uk/online-applications/spatialDisplay.do?action=display&searchType=Application,not permissioned,,POINT(0.187196 51.479861),BLR105,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Abbey-Car-Breakers-Wheatley-Terrace-Road-Erith.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR105
"GT Print London Heron Hill, Belvedere",,,2017-12-07,,0.07,8,8,"Lapsed permission 11/00688/FUL01. Demolition of one existing building and development with integration of remaining buildings creating a three storey building comprising of 6x1 bedroom and 2x2 bedroom flats with amenity space, refuse and 5 parking spaces.",local-authority-eng:BEX,not owned by a public authority,,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0028CHBELI000,not permissioned,,POINT(0.142962 51.484985),BLR226,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/GT-Print-London-Heron-Hill-Belvedere.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR226
"Land adjacent 98 Milton Road, Belvedere",,,2017-12-07,,0.06,5,5,Lapsed permission 08/09365/FUL. Erection of three storey building comprising 3 x 2 bedroom and 2 x 1 bedroom apartments with 5 parking spaces and amenity space.,local-authority-eng:BEX,not owned by a public authority,,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0007HBBELI000,not permissioned,,POINT(0.146964 51.4877),BLR227,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-adjacent-98-Milton-Road-Belvedere.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR227
Erith Western Gateway,,,2017-12-07,,4.62,300,300,"17040174, This site falls within a town or neighbourhood centre boundary and therefore the ground floor uses should be appropriate for its town centre location. See Erith Western Gateway Development Framework (2012)",local-authority-eng:BEX,mixed ownership,,http://pa.bexley.gov.uk/online-applications/spatialDisplay.do?action=display&searchType=Application,not permissioned,,POINT(0.178623 51.481306),BLR159,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Erith-Western-Gateway.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR159
74 CRAYFORD ROAD,,,2017-12-07,,0.29,30,30,"17040068, 13/00972/FULM pending s106. Demolition of existing buildings and erection of a 4/5 storey development providing 30 units of accommodation, comprising 1 x 3 bed, 22 x 2 bed and 7 x 1 bed self-contained flats, new vehicular access with basement parking associated works and amenity spa",local-authority-eng:BEX,not owned by a public authority,,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0025AMBELI000,pending decision,,POINT(0.183536 51.449667),BLR192,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/74-Crayford-Road.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR192
Former Civic Offices,,,2017-12-07,,1.54,300,300,"17040027, This site falls within a town or neighbourhood centre boundary and therefore the ground floor uses should be appropriate for its town centre location. See Bexleyheth Civic Offices Planning Brief (updated 2015)",local-authority-eng:BEX,owned by a public authority,,http://pa.bexley.gov.uk/online-applications/spatialDisplay.do?action=display&searchType=Application,not permissioned,,POINT(0.150207 51.455275),BLR111,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Former-Civic-Offices-Bexleyheath.pdf,2017-12-07,brownfield-land/local-authority-eng/BEX/BLR111
