site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Regent Hotel 3 Cavendish Place,yes,,2017-12-20,,0.01,5,5,Conversion of property into 5 flats 3no 2 bed flats and 2no 1 bed flats,local-authority-eng:EAS,not owned by a public authority,2016-03-08,,permissioned,full planning permission,,160056,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages between 5 and 10 North Street,,,2017-12-20,,0.04,5,5,Outline planning permission (Layout and Scale) for construction of three storey building containing 4x1 bedroom apartments over ground and first floor and 1x2 bedroom apartment to second floor,local-authority-eng:EAS,not owned by a public authority,2015-11-19,,permissioned,outline planning permission,,150992,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Central Methodist Church, Langney Road",,,2017-12-20,,0.06,10,10,Conversion of existing meeting rooms and hall into 10no. one bedroom flats together with the retention of the existing worship space,local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,TO03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Burlington Hotel car park, Burlington Road",,,2017-12-20,,0.13,12,12,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,TO01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
2a Cavendish Avenue,,,2017-12-20,,0.10,7,7,"Proposed redevelopment and change of use, demolition of part of existing building and conversion of 1 ground floor store to 1no. one bedroom flat. Erection of 2no. 3 bedroom semi-detached houses and 4no.2 bedroom semi-detached houses along with parking spaces (Outline planning permission with landscaping reserved)(AMENDED PLANS RECIEVED RELOCATING 2x UNITS ALONG BOURNE STREET AND REVISED PARKING LAyOUT",local-authority-eng:EAS,not owned by a public authority,2017-05-23,,permissioned,outline planning permission,,170009,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
17-18 Lushington Lane,yes,,2017-12-20,,0.02,6,6,Demolition of existing garages and erection of a three storey buildingwith 6 No. two bedroom flats with private courtyard gardens to the rear serving the ground floor flats.,local-authority-eng:EAS,not owned by a public authority,2016-09-21,,permissioned,full planning permission,,TO22,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"WRVS Centre, Hyde Road",yes,,2017-12-20,,0.03,6,6,Demolition of existing community centre with change of use for a new build residential development comprising of 3no. three bed properties,local-authority-eng:EAS,not owned by a public authority,2017-03-28,,permissioned,full planning permission,,TO63,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
14 Lismore Road,yes,,2017-12-20,,0.03,6,6,Conversion of offices to provide 6no. self contained flats with single storey rear extension and replacement UPVC windows throughout the property.,local-authority-eng:EAS,not owned by a public authority,2016-06-13,,permissioned,full planning permission,,160425,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"St Andrew’s United Reform Church, Blackwater Road",,,2017-12-20,,0.10,35,35,Demolition of St Andrews Church and Albury House behind retained facade to Blackwater Road. Construction of 3-4 Storey building comprising 35 (down from 36) residential units and 13 (up from 10) parking spaces accessed from Wish Road and Cornfield Lane,local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,TO04,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Map House 34-36 St Leonards Road,,,2017-12-20,,0.07,6,6,Change of use from B1 (office) to C3 (dwelling),local-authority-eng:EAS,not owned by a public authority,2015-08-04,,permissioned,other,,150598,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Land to rear of 48 St Leonards Road,yes,,2017-12-20,,0.05,7,7,New build 2 storey residential accommodation consisting of 7 dwellingsand 7 car parking spaces.,local-authority-eng:EAS,not owned by a public authority,2016-02-26,,permissioned,full planning permission,,160538,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Greencoat House 32 St Leonards Road,,,2017-12-20,,0.07,12,12,"Change of use from office (class B1) to residential (class C3), comprising 12no. self-contained apartments.",local-authority-eng:EAS,not owned by a public authority,2015-02-19,,permissioned,other,,141527,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
St Annes House 2 St Annes Road,,,2017-12-20,,0.18,35,35,Change of use from office B1 to one and two bedroom flats C3.,local-authority-eng:EAS,,2016-05-05,,permissioned,other,,160337,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Eastbourne Police Station, Grove Road",,,2017-12-20,,0.12,50,50,"Proposed refurbishment and extension of former Police Station, with roof extension to existing building and 5 storey side/rear extension to create 50 flats in total",local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,TO56,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
7 Upperton Road,yes,,2017-12-20,,0.23,58,58,"Demolition of existing buildings and redevelopment to form circa 61 one and two bed sheltered apartments for the elderly including communal facilities, access, car parking and landscaping",local-authority-eng:EAS,not owned by a public authority,2016-02-03,,permissioned,full planning permission,,170813,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Land Between Upperton Road and Southfields Road,,,2017-12-20,,0.52,63,63,,local-authority-eng:EAS,mixed ownership,,,not permissioned,,,TO02,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Land adjoining the Railway Station and the Enterprise Centre,,,2017-12-20,,3.06,370,370,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,TO55,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Steel House, 2 Enys Road",yes,,2017-12-20,,0.08,6,6,Change of use of existing offices to form 6 x 1 & 2-bed residential flats,local-authority-eng:EAS,not owned by a public authority,2016-08-31,,permissioned,other,,UP13,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
12 Eversfield Road,yes,,2017-12-20,,0.05,8,8,"Change of use from language school to 8N° Self contained flats, including single storey extension to rear.",local-authority-eng:EAS,not owned by a public authority,2017-03-06,,permissioned,full planning permission,,170037,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Ashberry Court, 39 Lewes Road",yes,,2017-12-20,,0.06,9,9,"Conversion of residential care home into nine self-contained flats, together with external alterations and the provision of a refuse store, cycle store and five parking spaces accessed from Lewes Road",local-authority-eng:EAS,not owned by a public authority,2016-02-08,,permissioned,full planning permission,,151349,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
54-56 Upperton Road,,,2017-12-20,,0.10,10,10,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,UP07,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Twin English Centre, 25 St Annes Road",yes,,2017-12-20,,0.08,11,11,"The converstion of the existing building with rear extension to provide 11 no.residential flats together with landscaping, waste and cycle storage. The proposals include the removal of the existing rear external escape gantry, and a single storey ground side addition.",local-authority-eng:EAS,not owned by a public authority,2014-08-06,,permissioned,full planning permission,,140833,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
20 Upperton Road,yes,,2017-12-20,,0.20,56,56,Change of use from B1 (office) to C3 (dwelling houses) - creation of 32no. 1 bed apartments and 24no. 2 bed apartments.,local-authority-eng:EAS,not owned by a public authority,2016-12-16,,permissioned,other,,170527,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Bedfordwell Depot, Bedfordwell Road",,,2017-12-20,,2.42,102,102,"Residential development of 102 dwellings (flats and houses), includingthe conversion of the existing Pump House into flats, together with access roads and parking spaces",local-authority-eng:EAS,owned by a public authority,2015-03-31,,permissioned,full planning permission,,UP03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
