site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Courier House, Aldershot Road, Ash",,,2017-12-05,,0.6,14,14,"Application ref. 16/P/02004. Demolition of existing office/distribution building and erection of 9 houses (7x3 bed and 2x4 bed), 5x2 bed flats and a religious meeting hall (D1 use)",local-authority-eng:GRT,not owned by a public authority,2017-07-31,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_173518,Not permissioned,full planning permission,POINT(-0.734908 51.243029),BFLR2017_018,https://www.guildford.gov.uk/media/26694/Courier-House-Aldershot-Road-Ash/pdf/BFLR2017_018,2017-12-05,brownfield-land/local-authority-eng/GRT/BFLR2017-018
"Slyfield Area Regeneration Project, Guildford",,,2017-09-27,,4E+1,1000,1000,2017 Submission Local Plan allocation ref. A24,local-authority-eng:GRT,mixed ownership,,,Not permissioned,,POINT(-0.564657 51.257549),BFLR2017_019,https://www.guildford.gov.uk/media/26695/Slyfield-Area-Regeneration-Project-Guildford/pdf/BFLR2017_019,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-019
"Land at Westway, off Aldershot Road, Guildford",yes,,2017-09-27,,0.56,38,38,2017 Submission Local Plan allocation ref. A19,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.601427 51.250593),BFLR2017_020,https://www.guildford.gov.uk/media/26696/Land-at-Westway-off-Aldershot-Road-Guildford/pdf/BFLR2017_020,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-020
"Land at Guildford Cathedral, Alresford Road, Guildford",,,2017-09-27,,3.28,93,93,2017 Submission Local Plan allocation ref. A15,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.589994 51.240708),BFLR2017_021,https://www.guildford.gov.uk/media/26697/Land-at-Guildford-Cathedral-Alresford-Road-Guildford/pdf/BFLR2017_021,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-021
"The Plaza, Portsmouth Road, Guildford",yes,,2017-09-27,,0.38,90,90,2017 Submission Local Plan allocation ref. A1,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.578025 51.233963),BFLR2017_022,https://www.guildford.gov.uk/media/26698/The-Plaza-Portsmouth-Road-Guildford/pdf/BFLR2017_022,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-022
"Jewsons, Walnut Tree Close, Guildford",,,2017-09-27,,0.64,175,175,2017 Submission Local Plan allocation ref. A5,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.582017 51.241088),BFLR2017_023,https://www.guildford.gov.uk/media/26699/Jewsons-Walnut-Tree-Close-Guildford/pdf/BFLR2017_023,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-023
"Surrey Police Headquarters, Mount Browne, Sandy Lane, Guildford",,,2017-09-27,,5.9,116,116,2017 Submission Local Plan allocation ref. A32,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.585445 51.222282),BFLR2017_024,https://www.guildford.gov.uk/media/26700/Surrey-Police-Headquarters-Mount-Browne-Sandy-Lane-Guildford/pdf/BFLR2017_024,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-024
"Former Pond Meadow School, Pond Meadow, Guildford",yes,,2017-09-27,,0.6,11,11,2017 Submission Local Plan allocation ref. A20,local-authority-eng:GRT,owned by a public authority,,,Not permissioned,,POINT(-0.608353 51.246638),BFLR2017_025,https://www.guildford.gov.uk/media/26701/Former-Pond-Meadow-School-Pond-Meadow-Guildford/pdf/BFLR2017_025,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-025
"Land between Farnham Road and the Mount, Guildford",,,2017-09-27,,0.64,70,70,2017 Submission Local Plan allocation ref. A3,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.57977 51.234991),BFLR2017_026,https://www.guildford.gov.uk/media/26702/Land-between-Farnham-Road-and-the-Mount-Guildford/pdf/BFLR2017_026,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-026
"Land at Coltsfoot Drive, 1 Bryony Road and garages, Guildford",,,2017-09-27,,0.64,18,18,,local-authority-eng:GRT,not owned by a public authority,,,Not permissioned,,POINT(-0.54489 51.257233),BFLR2017_027,https://www.guildford.gov.uk/media/26703/Land-at-Coltsfoot-Drive-1-Bryony-Road-and-garages-Guildford/pdf/BFLR2017_027,2017-09-27,brownfield-land/local-authority-eng/GRT/BFLR2017-027
