site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
York Barbican Paragon Street,yes,,2017-12-21,,0.96,187,187,"13/02135/FULM. Erection of 1 no. part 4/part 5 storey building comprising 175no. apartments and 1 no. 3 storey building comprising 12no. apartments with associated access, parking and landscaping",local-authority-eng:YOR,not owned by a public authority,2017-08-24,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.074263 53.953425),BR-022,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-022
Garage Court Site at Challoner Road,yes,,2017-12-21,,0.12,8,8,14/01191/FUL. Residential development to include 6no. apartments and 2no. houses with associated parking and landscaping,local-authority-eng:YOR,owned by a public authority,2014-08-08,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.118166 53.934619),BR-013,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-013
1-12 Kensal Rise,yes,,2017-12-21,,0.15,6,6,"14/01857/FUL. Additional floor to accommodate 6no. roof top apartments with three new staircase pods and associated cycle stores, bin stores and parking to 1-12 Kensal Rise",local-authority-eng:YOR,not owned by a public authority,2015-01-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.073002 53.949101),BR-014,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-014
Del Monte Skelton Park Trading Estate Skelton,yes,,2017-12-21,,2.29,60,60,14/01478/OUTM. Residential development for up to 60 dwellings,local-authority-eng:YOR,not owned by a public authority,2016-03-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,outline planning permission,POINT(-1.13509 53.995663),BR-023,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-023
G1 Newbury Avenue,yes,,2017-12-21,,0.28,9,9,14/01517/GRG3. Erection of 9no. apartments with associated parking and landscaping following demolition of garages,local-authority-eng:YOR,owned by a public authority,2014-10-08,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.120418 53.94561),BR-018,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-018
"Hungate Development Site (Blocks D, F, G & H)",yes,,2017-12-21,,4.1,683,683,"15/01709/OUTM. Outline application for Blocks G and H comprising either use class C3 or C2 and flexible commercial uses. Full application for Block D (186 residential units); and Block F (101 residential units), community centre (use class D1) and multi-storey car park",local-authority-eng:YOR,not owned by a public authority,2006-07-18,https://www.york.gov.uk/SearchPlanningApplications,permissioned,outline planning permission,POINT(-1.075113 53.959076),BR-025,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-025
Car Parking Area Holgate Road,yes,,2017-12-21,,0.03,6,6,15/02295/FUL. Erection of 3 storey block of 6 no. Apartments,local-authority-eng:YOR,not owned by a public authority,2016-03-01,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.094808 53.953959),BR-003,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-003
Colin Hicks Motors Garage & Yard to R/O 33 Bootham,yes,,2017-12-21,,0.05,9,9,15/02762/FUL. Erection of 9no. apartments and single storey detached refuse/recycling store following demolition of existing workshop/garage (B1c),local-authority-eng:YOR,not owned by a public authority,2016-07-07,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.086026 53.963905),BR-007,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-007
26-30 Swinegate,yes,,2017-12-21,,0.06,8,8,"16/01532/FUL. Conversion of upper floors of 4-6 Church Street and 26-30 Swinegate (use Class B1a) to form 8no. apartments, bin/recycling storage at ground floor and alterations to ground floor shop front",local-authority-eng:YOR,not owned by a public authority,2016-10-07,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.081185 53.960156),BR-009,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-009
Mack & Lawler Builders Ltd 2a Low Ousegate,yes,,2017-12-21,,0.02,8,8,16/02710/ORC. Proposed change of use from offices to flats (use class C3) under Class J Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 (resubmission),local-authority-eng:YOR,not owned by a public authority,2017-03-06,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.083357 53.957719),BR-001,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-001
The Cocoa Works Haxby Road,yes,,2017-12-21,,2.35,258,258,17/00284/FULM. Conversion and extension of the former Confectionery blocks to 258no. apartments; demolition of buildings and extension to accommodate concierge and community room; erection of convenience store,local-authority-eng:YOR,not owned by a public authority,2017-09-14,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.07857 53.974409),BR-024,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-024
Pizza Hut Ltd 10 Pavement,yes,,2017-12-21,,0.03,8,8,"17/00835/FUL. Change of use of first, second and third floors(use Class A3) to 8no. residential units (Use Class C3)",local-authority-eng:YOR,not owned by a public authority,2017-06-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.079773 53.958527),BR-002,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-002
The Fleeting Arms 54 Gillygate,yes,,2017-12-21,,0.07,17,17,17/00580/FULM. Conversion of ground floor public house (use class A4) to retail (use class A1) with new shop front and change of use of first and second floors to student residential accommodation (18no. studio apartments) with first floor rear extension,local-authority-eng:YOR,not owned by a public authority,2017-10-06,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.083612 53.964174),BR-010,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-010
Ryedale House 58-60 Piccadilly,yes,,2017-12-21,,0.24,73,73,16/02022/ORC. Proposed change of use from offices to 73 apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,local-authority-eng:YOR,not owned by a public authority,2016-12-23,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.077393 53.955876),BR-017,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-017
Hudson House Toft Green,yes,,2017-12-21,,0.55,127,127,"17/00576/FULM. Erection of 4 no. buildings comprising 127no. flats (C3), office (B1a) use and office or restaurant (B1 or A3) uses following the demolition of existing office building (B1a)",local-authority-eng:YOR,not owned by a public authority,2017-08-23,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.090775 53.957218),BR-021,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-021
Coal Yard 11 Mansfield Street,yes,,2017-12-21,,0.16,32,32,15/01571/FULM. Erection of four storey block for student accommodation (84 units) following demolition of existing building,local-authority-eng:YOR,not owned by a public authority,2016-11-23,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.071915 53.961676),BR-015,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-015
Land Registry James House James Street,yes,,2017-12-21,,0.48,60,60,17/00474/ORC. Proposed change of use from offices (use class B1a) to 60no. apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 (previously approved app: 16/02631/ORC),local-authority-eng:YOR,not owned by a public authority,2017-04-12,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.067122 53.956551),BR-019,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-019
Buildmark House George cayley Drive,yes,,2017-12-21,,0.11,8,8,17/00732/FUL. Erection of three storey building comprising 8no. Apartments,local-authority-eng:YOR,not owned by a public authority,2017-06-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.098597 53.986021),BR-011,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-011
Former Saxon House 71-73 Fulford Road,yes,,2017-12-21,,0.05,10,10,15/02888/FUL. Conversion of guesthouse (use Class C1) to 10no. flats (use class C3),local-authority-eng:YOR,not owned by a public authority,2017-09-14,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.074869 53.950113),BR-008,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-008
Arabesque House Monks Cross Drive Huntington,yes,,2017-12-21,,0.18,56,56,17/01369/ORC. Proposed change of use of units 1 to 6 Arabesque House from offices (use class B1a) to 56 flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,local-authority-eng:YOR,not owned by a public authority,2017-07-31,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.049153 53.988741),BR-016,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,brownfield-land/local-authority-eng/YOR/BR-016
